#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC190043;Свадьба. Вы не должны видеть этого.;;;;;;;;;;;;;x
EVTOPTA190043;Прекратите смотреть на это!;;;;;;;;;;;;;x
EVTTOOLTIP190043;Будет найден супруг/супруга.;;;;;;;;;;;;;x
EVTDESC75114;[From.GetTitledFirstName] поверил[From.GetEndA] мне, когда я сказал, что никогда не видел девушку, которая обвиняет меня в изнасиловании.;;;;;;;;;;;;;x
EVTOPTA75114;Мне сходит с рук;;;;;;;;;;;;;x
EVTDESC200000;Мы начали рано, солнце едва поднялось над горизонтом. Было много добычи, собаки поймали много кроликов, и я убил одного большого кабана, прежде чем он убил мою лошадь и меня.;;;;;;;;;;;;;x
EVTOPTA200000;Я охотни[GetTsaK];;;;;;;;;;;;;x
EVTDESC200001;Новая птица просто замечательная. Мне нравится охотиться с ней, у моих поваров всегда есть проблемы с поиском новых рецептов для пойманной нами дичи.;;;;;;;;;;;;;x
EVTOPTA200001;Я сокольнич[GetAyaIy];;;;;;;;;;;;;x
EVTDESC200002;Я не был[GetEndA] бы так счастлив[GetEndA] без своих книг. Книги самый великий дар, что послали нам Боги;;;;;;;;;;;;;x
EVTOPTA200002;Я учён[GetAyaYy];;;;;;;;;;;;;x
EVTDESC200003;Я наш[GetLaYol] странную книгу, собирающую пыль в забытом уголке библиотеки замка. Мне потребовалось несколько недель интенсивного изучения, прежде чем тайна открылась мне. Часть текста была зашифрована, и через несколько часов, пытаясь понять его, мне удалось подобрать шифр, чтобы было легче читать. Ее тайна до сих пор не решена...;;;;;;;;;;;;;x
EVTOPTA200003;Я мистик;;;;;;;;;;;;;x
EVTDESC200004;Мне нравится причинять людям боль. Я много времени провожу в подземелье замка за пытками.;;;;;;;;;;;;;x
EVTOPTA200004;Я мучитель[GetEndNitsa];;;;;;;;;;;;;x
EVTDESC200005;Мой сад дороже всего на свете для моего сердца, он моя гордость и радость. Я не доверяю своему садовнику и провел[GetEndA] бы каждый час дня в моем саду, если бы мог[GetNoneEOpp].;;;;;;;;;;;;;x
EVTOPTA200005;Я садовни[GetTsaK];;;;;;;;;;;;;x
EVTDESC200006;Я никогда не собира[GetLasLsya] публиковать свои скромные попытки в написании стихов, но куда бы я ни пош[GetLaYol], барды и менестрели читают или поют мои стихи.;;;;;;;;;;;;;x
EVTOPTA200006;Я поэт;;;;;;;;;;;;;x
EVTDESC200007;После долгого времени созерцания и самоанализа я подумал[GetEndA], что смог[GetNoneE] бы жить в безбрачии.;;;;;;;;;;;;;x
EVTOPTA200007;Я принял[GetEndA] обет безбрачия;;;;;;;;;;;;;x
EVTDESC200008;Мой образ жизни доставляет мне удовольствие. Словно я уже на небесах;;;;;;;;;;;;;x
EVTOPTA200008;Я гедонист[GetEndKa];;;;;;;;;;;;;x
EVTDESC200009;Поединок был равный, но, в конце концов, я одержал[GetEndA] победу над моим оппонентом. Я был[GetEndA] на вершине блаженства от этой победы и знал[GetEndA], что смог[GetNoneE] бы сделать это снова.;;;;;;;;;;;;;x
EVTOPTA200009;Я дуэлянт[GetEndKa];;;;;;;;;;;;;x
EVTOPTD50002;Долой голову персонажа [From.GetPossPronoun]!;;;;;;;;;;;;;x
EVTDESC50000;Мои друзья придумали дерзкий план освободить меня из тюрьмы. Долж[GetNaEn] ли я поддержать их идею?;;;;;;;;;;;;;x
EVTOPTA50000;Это слишком рискованно;;;;;;;;;;;;;x
EVTOPTB50000;Ради свободы мы пойдем на любой риск;;;;;;;;;;;;;x
EVTDESC4300;В этом году Летняя ярмарка имела большой успех! Купцы и торговцы из города [Root.Capital.GetName] оживили нашу экономику.;;;;;;;;;;;;;x
EVTOPTA4300;Ok;;;;;;;;;;;;;x
EVTTOOLTIP452;Я пойду к пленнице по имени [This.GetFirstName] в камеру;;;;;;;;;;;;;x
EVTDESC454;[From.GetFirstName] отверг[From.GetNoneE] мои очарования.;;;;;;;;;;;;;x
EVTOPTA454;Как мог[From.GetNoneE] [From.GetSheHe] сопротивляться моему очарованию?;;;;;;;;;;;;;x
EVTDESC453;Я пош[GetLaYol] к [From.GetAgedPersonDAT] в комнату и хорошо провел[GetEndA] время;;;;;;;;;;;;;x
EVTDESC190074;Это было несправедливо!;;;;;;;;;;;;;x
EVTOPTA190074;Ну что ж;;;;;;;;;;;;;x
EVTDESC190075;Это не честный поступок!;;;;;;;;;;;;;x
EVTOPTA190075;Ну что ж;;;;;;;;;;;;;x
EVTDESC190076;Это не добрый поступок!;;;;;;;;;;;;;x
EVTOPTA190076;Ну что ж;;;;;;;;;;;;;x
commit_suicide;Покончить жизнь самоубийством;;;;;;;;;;;;;x
commit_suicide_desc;Я разочарован[GetEndA] в жизни!;;;;;;;;;;;;;x
IMPRISON_INTERACTION_1;\n\nИспользование этой возможности увеличит вашу §Yтиранию§! на §R10§! для придворных или на §R20§! для вассалов (за исключением известных дезертиров и принадлежащих рабов).\n\nВаш §Yстрах§! увеличится на §R5§! для ваасалов.;;;;;;;;;;;;;x
EXECUTE_IMPRISONED_INTERACTION_1;Использование этой возможности увеличит вашу тиранию на §R5§! для придворных или на §R10§! для вассалов (кроме принадлежащих рабов).;;;;;;;;;;;;;x
opinion_refused_convert;Отказаться от присвоения;;;;;;;;;;;;;x
opinion_converted;Присвоить;;;;;;;;;;;;;x
REVOKE_TITLE_INTERACTION_2C;Благодаря законам короны в земле §Y$CROWN_TITLE$§!, ваши вассалы не будут возражать.;;;;;;;;;;;;;x
player_no_ambition;Отсутствие Амбиций;;;;;;;;;;;;;x
player_no_ambition_desc;Отсутствие Амбиций;;;;;;;;;;;;;x
tp_school_3;Большая Церковная Школа;;;;;;;;;;;;;x
holy_war_desc;§Y$CLAIMANT$§! может использовать этот повод для войны, чтобы захватить все титулы принадлежащие неверным, §Y$TARGET$§!, в де-юре территориях §Y$TITLE$§!. Deus Vult!;;;;;;;;;;;;;x
TECH_DEM_INC_K_E;§G+0.5§! размер вотчины для Королей и Императоров;;;;;;;;;;;;;x
TECH_DEM_INC_D;§G+0.5§! размер вотчины Верховных Лордов;;;;;;;;;;;;;x
TECH_DEM_INC_C;§G+0.5§! размер вотчины для Лордов-знаменосцев;;;;;;;;;;;;;x
TECH_DEM_INC_B;§G+0.5§! размер вотчины для Лордов-вассалов;;;;;;;;;;;;;x
