#CODE;ENGLISH;x
BM_CENTURY_OF_BLOOD;Век Крови;x
BM_CENTURY_OF_BLOOD_DESC;Валирийский Фригольд пал. На полуостров обрушился Рок и Валирия исчезла. Говорят, что огонь и дым были настолько жаркими, что даже драконы сгорели. Разрушение Валирии сильно уменьшило число драконьих владык, оставшихся в известном мире: дом Таргариенов уже переселился в Драконий Камень. Некоторые владыки, те, кто не были в Валирии, когда произошел Рок, также выжили. Разрушение Валирии принесло вакуум власти в Эссос. Аурион, посещавший Квохор, провозгласил себя первым императором Валирии и собрал квохорские войска. Волантис, самый могущественный из девяти вольных городов, претендует на главенство. Тем временем ходят слухи, что дотракийцы грядут с востока...;x
#;;x
BM_HARDHAND;Харвин Жесткая Рука;x
BM_HARDHAND_DESC;После смерти короля Куорвина Хоара, его сын, Харвин по прозвищу  Жесткая Рука, вернулся из рейда по Вольным городам, чтобы получить Морской трон. Не такой осторожный человек, каким был его отец, Харвин приглядывается к зеленым землям, где речные лорды раздражены властью штормовых королей..;x
#;;x
BM_SARNOR;Падение Сарнора;x
BM_SARNOR_DESC;Слишком долго высокие люди Сарнора игнорировали угрозу, исходящую от дотракийских кхалов.  По мере того как город за городом грабили и разрушали до основания, высокие люди спрятались за своими стенами.  Теперь, наконец объединившись с Верховным Королем Мазором Алекси, люди Сарнора готовят свой последний бой против конных владык.;x
#;;x
BM_SEVEN_KINGDOMS;Кровавые годы;x
BM_SEVEN_KINGDOMS_DESC;Перед завоеванием семь королей правили в Вестеросе, и каждый сражался за власть и господство над другими. Сможете ли вы повторить путь Эйгона Таргариена и объединить все королевства под одним правителем?;x
#;;x
BM_AEGONS_LANDING;Война Завоевания;x
BM_AEGONS_LANDING_DESC;Эйгон Таргариен и его сёстры высадились в устье Черноводной, вооружённые тремя драконами. Аргиллак Надменный отверг предложение Эйгона о браке его друга Ориса и своей дочери, отправив назад руки посланника Эйгона. Как следствие, Эйгон пообещал завоевать семь королевств, заявив что "Теперь будет только один король".;x
BM_AEGONS_LANDING_ERA;Война Завоевания;x
BM_AEGONS_LANDING_ERA_INFO;Эйгон Таргариен и его сёстры высадились в устье Черноводной, вооружённые тремя драконами. Аргиллак Надменный отверг предложение Эйгона о браке его друга Ориса и своей дочери, отправив назад руки посланника Эйгона. Как следствие, Эйгон пообещал завоевать Семь Королевств, заявив, что "Теперь будет только один король".;x
ERA_CHAR_NAME_77000;Эйгон Завоеватель;x
