#CODE;ENGLISH;x
setting_culture_mythological;Мифология;x
setting_culture_mythological_tooltip;Мифические расы Эпохи Легенд возрождаются...;x
setting_culture_all;Все;x
setting_culture_all_tooltip;Все мифические, животные и человеческие культуры борются за превосходство;x
ALT_e_iron_throne;[target_ruler.GetAltIronThroneName];x
GetAltIronThroneName_The_Iron_Throne;Железный Трон;x
GetAltIronThroneName_The_Golden_Throne;Золотой Трон;x
GetAltIronThroneName_Westeros;Вестерос;x
GetAltIronThroneName_Essos;Эссос;x
GetAltIronThroneName_The_Summer_Islands;Летние острова;x
GetAltIronThroneName_The_Summer_Sea;Летнее море;x
GetAltIronThroneName_Valyria;Валирия;x
GetAltIronThroneName_The_Jade_Sea;Нефритовое море;x
GetAltIronThroneName_The_Jade_Throne;Нефритовый трон;x
GetAltIronThroneName_Ghiscar;Гискар;x
GetAltIronThroneName_The_Bone_Mountains;Костяные Горы;x
GetAltIronThroneName_The_ThisCultureGetGroupName_Throne;[This.Culture.GetGroupName] Трон;x
GetAltIronThroneName_The_ThisGetLastWordInDynastyName_Throne;[This.GetLastWordInDynastyName] Трон;x
GetAltIronThroneName_The_Sunrise_Throne;Рассветный Трон;x
GetAltIronThroneName_The_White_Throne;Белый Трон;x
GetAltIronThroneName_The_Black_Throne;Чёрный Трон;x
GetAltIronThroneName_The_Silver_Throne;Серебряный Трон;x
GetAltIronThroneName_The_Red_Throne;Красный Трон;x
GetAltIronThroneName_The_Summer_Throne;Летний Трон;x
GetAltIronThroneName_The_Winter_Throne;Зимний Трон;x
GetAltIronThroneName_The_Ice_Throne;Ледяной Трон;x
GetAltIronThroneName_The_Fire_Throne;Огненный Трон;x
GetAltIronThroneName_The_Great_Throne;Великий Трон;x
setting_random_scenario_iron_throne;Железный Трон;x
setting_random_scenario_iron_throne_tooltip;Создаёт государство где-то в мире Песни Льда и Пламени. Будет состоять до 8-и областей в размере и, в основном, религиозно однородно.\n\n - Требование §Y'де-юре Королевства и Империи'§! должны быть 'Случайны'.;x
setting_num_dragons;Количество драконов;x
setting_num_dragons_tooltip;Определяет, насколько распространены драконы.\n\n - Если §Yдраконов в игре§! отключить, это не будет иметь никакого эффекта.;x
setting_num_dragons_none;Нет;x
setting_num_dragons_none_tooltip;Драконы не генерируются;x
setting_num_dragons_few;Несколько;x
setting_num_dragons_few_tooltip;Количество драконов генерируются аналогично времени Завоевания Эйгона. (Примерно 1-7);x
setting_num_dragons_normal;Нормальное;x
setting_num_dragons_normal_tooltip;Количество драконов генерируются аналогично времени Танца Драконов. (Примерно в 8-20);x
setting_num_dragons_many;Много;x
setting_num_dragons_many_tooltip;Генерируется большее количество драконов. (Примерно 20-40);x
setting_num_dragons_zenith;Расцвет;x
setting_num_dragons_zenith_tooltip;Количество драконов генерируются аналогично времени Фригольда. (Примерно 40-75);x
setting_num_dragons_widespread;Грандиозное;x
setting_num_dragons_widespread_tooltip;Генерируется огромное количество драконов. (Примерно 75-150);x
setting_num_dragons_all;Перегрузка;x
setting_num_dragons_all_tooltip;Драконов генерируются ОЧЕНЬ много. (Примерно 150-300);x
setting_ruins;Руины;x
setting_ruins_tooltip;Определяет, какой процент провинций определится как руины;x
setting_base_value_buildings;Базовые здания;x
setting_base_value_buildings_tooltip;Определяет, стартуют ли владения со случайными базовыми уровнями зданий;x
setting_base_value_buildings_on;Вкл;x
setting_base_value_buildings_on_tooltip;Базовые значения присутствуют и генерируются случайным образом в произвольном порядке.\n\n - При §Yравном старте§! не будет иметь никакого эффекта.;x
setting_base_value_buildings_off;Выкл;x
setting_base_value_buildings_off_tooltip;Базовые значения отсутствуют, и удаляются в исторических владениях.;x
setting_random_holdings_historical;Исторические;x
setting_random_holdings_historical_tooltip;Тип владений соостветствует канону;x
setting_random_scenario_nights_watch;Ночной Дозор;x
setting_random_scenario_nights_watch_tooltip;Образует 'одичалую' культуру к северу от Стены и может либо образовать Ночной Дозор, либо одичалых правителей, которые завоевали Стену.;x
setting_pirates;Пираты;x
setting_pirates_tooltip;Определяет, насколько распространены пираты.;x
setting_pirates_none;Нет;x
setting_pirates_none_tooltip;Пираты не генерируются;x
setting_pirates_canon;Канон;x
setting_pirates_canon_tooltip;Пираты появляются на Ступенях, островах Василиска и Кинжальном озере;x
setting_pirates_random_low;Случайное (Нормальное);x
setting_pirates_random_low_tooltip;Пираты генерируются в 1-2 случайных прибрежных районах;x
setting_pirates_random_medium;Случайное (Большое);x
setting_pirates_random_medium_tooltip;Пираты генерируются в 3-4 случайных прибрежных районах;x
setting_pirates_random_high;Случайное (Значительное);x
setting_pirates_random_high_tooltip;Пираты генерируются в 5-8 случайных прибрежных районах;x
setting_pirates_pirate_world;Пиратский Мир;x
setting_pirates_pirate_world_tooltip;Пираты генерируются почти во всех прибрежных регионах;x
setting_random_scenario_noble_oligarchies;Олигархия знати;x
setting_random_scenario_noble_oligarchies_tooltip;Производит небольшое количество олигархий знати по всему миру.;x
setting_canon_dynasties;Каноничные Дома;x
setting_canon_dynasties_tooltip;Определяет распространение каноничных Домов Вестероса по всему миру;x
setting_canon_dynasties_culture;Культурные;x
setting_canon_dynasties_culture_tooltip;Каноничные Дома Вестероса распределяются случайным образом только среди их канонических культур (или эквивалента случайного имени);x
setting_canon_dynasties_full_random;Полностью случайное;x
setting_canon_dynasties_full_random_tooltip;Каноничные Дома Вестероса распределяются случайным образом по всему миру независимо от культуры;x
setting_canon_dynasties_off;Откл;x
setting_canon_dynasties_off_tooltip;Каноничные Дома Вестероса не распространяются по всему миру;x
