#CODE;ENGLISH;x
aegons_crown;Корона Эйгона;x
aegons_crown_desc;Простой обруч из валирийской стали с инкрустированными в него большими прямоугольными рубинами.;x
aenys_crown;Корона Эйниса;x
aenys_crown_desc;Золотая корона искусной работы, большая и богато украшенная.;x
jaehaerys_crown;Корона Джейхейриса;x
jaehaerys_crown_desc;Простой золотой обруч с семью инкрустированными драгоценными камнями разных цветов.;x
aegon_III_crown;Корона Эйгона III;x
aegon_III_crown_desc;Тонкий золотой неукрашенный обруч.;x
baelors_crown;Корона Бейлора;x
baelors_crown_desc;Корона из цветов и лозы.;x
aegon_IV_crown;Корона Эйгона IV;x
aegon_IV_crown_desc;Большая и тяжёлая корона из красного золота, украшенная по кругу головами драконов с глазами из драгоценных камней.;x
maekars_crown;Корона Мейкара;x
maekars_crown_desc;Корона из чёрного железа и красного золота, украшенная заострениями.;x
aegons_crown_B;Валирийская Корона;x
aegons_crown_B_desc;Простой обруч из валирийской стали с инкрустированными в него большими прямоугольными рубинами.;x
aenys_crown_B;Золотая Корона;x
aenys_crown_B_desc;Золотая корона искусной работы, большая и богато украшенная.;x
jaehaerys_crown_B;Корона с драгоценными камнями;x
jaehaerys_crown_B_desc;Простой золотой обруч с семью инкрустированными драгоценными камнями разных цветов.;x
aegon_III_crown_B;Простой Венец;x
aegon_III_crown_B_desc;Тонкий золотой неукрашенный обруч.;x
baelors_crown_B;Цветочная Корона;x
baelors_crown_B_desc;Корона из цветов и лозы.;x
aegon_IV_crown_B;Корона с головами драконов;x
aegon_IV_crown_B_desc;Большая и тяжёлая корона из красного золота, украшенная по кругу головами драконов с глазами из драгоценных камней.;x
maekars_crown_B;Корона Воина;x
maekars_crown_B_desc;Корона из чёрного железа и красного золота, украшенная заострениями.;x
good_bow;Лук Летних Островов;x
good_bow_desc;Лук, широко распространенный на Летних Островах;x
golden_bow;Лук из Златосерда;x
golden_bow_desc;Большой лук, сделанный из златосерда с Летних Островов. Способен стрелять длинными стрелами из твердого дерева с такой силой, что они пробьют даже стальную броню.;x
roberts_hammer;Молот Роберта;x
roberts_hammer_desc;Шипованный железный молот, созданный для Роберта Баратеона. Роберт убил Рейгара Таргариена ударом этого молота в битве на Трезубце.;x
joffreys_crown;Корона Джоффри;x
joffreys_crown_desc;Золотая корона, усыпанная рубинами и чёрными алмазами.;x
daenerys_crown;Корона Дейнерис;x
daenerys_crown_desc;Корона в виде трехглавого дракона – туловище золотое, крылья серебряные, головы из яшмы, слоновой кости и оникса.;x
crown_of_winter;Корона Зимы;x
crown_of_winter_desc;Открытый обруч из бронзы, украшенный рунами первых людей и девятью чёрными металлическими пиками в форме мечей.;x
crown_of_winter_mid;Корона Зимы;x
crown_of_winter_mid_desc;Открытый обруч из бронзы, украшенный рунами первых людей и девятью чёрными металлическими пиками в форме мечей.;x
fine_armour;Комплект превосходной брони;x
fine_armour_desc;Доспех отличного качества, заказанный и выполненный за морем.;x
golden_armour;Комплект золотой брони;x
golden_armour_desc;Очень дорогие позолоченные доспехи, показывающие богатство и статус владельца.;x
forrester_sword;Двуручный меч Форрестеров;x
