#CODE;ENGLISH;x
ca_asoiaf_basevalue_1;Небольшой Форт;x
ca_asoiaf_basevalue_2;Большой Форт;x
ca_asoiaf_basevalue_3;Небольшой Замок;x
ca_asoiaf_basevalue_4;Обычный Замок;x
ca_asoiaf_basevalue_5;Большой Замок;x
ca_asoiaf_basevalue_6;Огромная Крепость;x
ct_asoiaf_basevalue_1;Маленькая деревня;x
ct_asoiaf_basevalue_2;Деревня;x
ct_asoiaf_basevalue_3;Небольшой Городок;x
ct_asoiaf_basevalue_4;Большой Городок;x
ct_asoiaf_basevalue_5;Небольшой Город;x
ct_asoiaf_basevalue_6;Большой Город;x
ca_asoiaf_north_basevalue_1;Небольшой Форт Северян;x
ca_asoiaf_north_basevalue_2;Большой Форт Северян;x
ca_asoiaf_north_basevalue_3;Небольшой Замок Северян;x
ca_asoiaf_north_basevalue_4;Обычный Замок Северян;x
ca_asoiaf_north_basevalue_5;Большой Замок Северян;x
ca_asoiaf_north_basevalue_6;Огромная Крепость Северян;x
ct_asoiaf_north_basevalue_1;Маленькая деревня Северян;x
ct_asoiaf_north_basevalue_2;Деревня Северян;x
ct_asoiaf_north_basevalue_3;Небольшой Городок Северян;x
ct_asoiaf_north_basevalue_4;Большой Городок Северян;x
ct_asoiaf_north_basevalue_5;Небольшой Город Северян;x
ct_asoiaf_north_basevalue_6;Большой Город Северян;x
ca_asoiaf_river_basevalue_1;Небольшой Форт Речников;x
ca_asoiaf_river_basevalue_2;Большой Форт Речников;x
ca_asoiaf_river_basevalue_3;Небольшой Замок Речников;x
ca_asoiaf_river_basevalue_4;Обычный Замок Речников;x
ca_asoiaf_river_basevalue_5;Большой Замок Речников;x
ca_asoiaf_river_basevalue_6;Огромная Крепость Речников;x
ct_asoiaf_river_basevalue_1;Маленькая деревня Речников;x
ct_asoiaf_river_basevalue_2;Деревня Речников;x
ct_asoiaf_river_basevalue_3;Небольшой Городок Речников;x
ct_asoiaf_river_basevalue_4;Большой Городок Речников;x
ct_asoiaf_river_basevalue_5;Небольшой Город Речников;x
ct_asoiaf_river_basevalue_6;Большой Город Речников;x
ca_asoiaf_dorne_basevalue_1;Небольшой Форт Дорнийцев;x
ca_asoiaf_dorne_basevalue_2;Большой Форт Дорнийцев;x
ca_asoiaf_dorne_basevalue_3;Небольшой Замок Дорнийцев;x
ca_asoiaf_dorne_basevalue_4;Обычный Замок Дорнийцев;x
ca_asoiaf_dorne_basevalue_5;Большой Замок Дорнийцев;x
ca_asoiaf_dorne_basevalue_6;Огромная Крепость Дорнийцев;x
ct_asoiaf_dorne_basevalue_1;Маленькая деревня Дорнийцев;x
ct_asoiaf_dorne_basevalue_2;Деревня Дорнийцев;x
ct_asoiaf_dorne_basevalue_3;Небольшой Городок Дорнийцев;x
ct_asoiaf_dorne_basevalue_4;Большой Городок Дорнийцев;x
ct_asoiaf_dorne_basevalue_5;Небольшой Город Дорнийцев;x
ct_asoiaf_dorne_basevalue_6;Большой Город Дорнийцев;x
ca_asoiaf_ironislands_basevalue_1;Небольшой Форт Железнорожденных;x
ca_asoiaf_ironislands_basevalue_2;Большой Форт Железнорожденных;x
ca_asoiaf_ironislands_basevalue_3;Небольшой Замок Железнорожденных;x
ca_asoiaf_ironislands_basevalue_4;Обычный Замок Железнорожденных;x
ca_asoiaf_ironislands_basevalue_5;Большой Замок Железнорожденных;x
ca_asoiaf_ironislands_basevalue_6;Огромная Крепость Железнорожденных;x
ct_asoiaf_ironislands_basevalue_1;Маленькая деревня Железнорожденных;x
ct_asoiaf_ironislands_basevalue_2;Деревня Железнорожденных;x
ct_asoiaf_ironislands_basevalue_3;Небольшой Городок Железнорожденных;x
ct_asoiaf_ironislands_basevalue_4;Большой Городок Железнорожденных;x
ct_asoiaf_ironislands_basevalue_5;Небольшой Город Железнорожденных;x
ct_asoiaf_ironislands_basevalue_6;Большой Город Железнорожденных;x
ca_asoiaf_crown_basevalue_1;Небольшой Королевский Форт;x
ca_asoiaf_crown_basevalue_2;Большой Королевский Форт;x
ca_asoiaf_crown_basevalue_3;Небольшой Королевский Замок;x
ca_asoiaf_crown_basevalue_4;Обычный Королевский Замок;x
ca_asoiaf_crown_basevalue_5;Большой Королевский Замок;x
ca_asoiaf_crown_basevalue_6;Огромная Королевская Крепость;x
ct_asoiaf_crown_basevalue_1;Маленькая Королевская деревня;x
ct_asoiaf_crown_basevalue_2;Королевская Деревня;x
ct_asoiaf_crown_basevalue_3;Небольшой Королевский Городок;x
ct_asoiaf_crown_basevalue_4;Большой Королевский Городок;x
ct_asoiaf_crown_basevalue_5;Небольшой Королевский Город;x
ct_asoiaf_crown_basevalue_6;Большой Королевский Город;x
ca_asoiaf_storm_basevalue_1;Небольшой Штормовой Форт;x
ca_asoiaf_storm_basevalue_2;Большой Штормовой Форт;x
ca_asoiaf_storm_basevalue_3;Небольшой Штормовой Замок;x
ca_asoiaf_storm_basevalue_4;Обычный Штормовой Замок;x
ca_asoiaf_storm_basevalue_5;Большой Штормовой Замок;x
ca_asoiaf_storm_basevalue_6;Огромная Штормовая Крепость;x
