#CODE;ENGLISH;x
#Historical;x
nick_black_dread;Черный Ужас;x
nick_blood_wyrm;Кровавый Змей;x
nick_red_queen;Красная Королева;x
nick_golden;Золотой;x
nick_blue_queen;Синяя Королева;x
nick_bronze_fury;Бронзовая Ярость;x
nick_sea_dragon;Морской Дракон;x
#Random;x
nick_red_dread;Красный Ужас;x
nick_white_dread;Белый Ужас;x
nick_yellow_dread;Желтый Ужас;x
nick_blazing_fire;Пылающий Огонь;x
nick_shining_light;Сияющий Свет;x
nick_red_fury;Красная Ярость;x
nick_shining_queen;Сияющая Королева;x
nick_destroyer;Разрушитель;x
nick_black_fire;Черный Огонь;x
nick_red_fire;Красный Огонь;x
nick_white_fire;Белый Огонь;x
nick_yellow_fire;Желтый Огонь;x
nick_snake;Змей;x
nick_blood_fire;Кровавый Огонь;x
nick_dark_eyes;Темный Глаз;x
nick_dark_fire;Темный Огонь;x
nick_shadow;Тень;x
nick_colour;[This.GetDragonColour];x
nick_colour_dread;[This.GetDragonColour] Ужас;x
nick_colour_flame;[This.GetDragonColour] Пламя;x
nick_colour_fire;[This.GetDragonColour] Огонь;x
nick_colour_king;[This.GetDragonColour] Король;x
nick_colour_queen;[This.GetDragonColour] Королева;x
nick_colour_beast;[This.GetDragonColour] Зверь;x
nick_colour_whip;[This.GetDragonColour] Бич;x
nick_colour_scale;[This.GetDragonColour] Чешуя;x
nick_colour_wing;[This.GetDragonColour] Крыло;x
nick_colour_fury;[This.GetDragonColour] Ярость;x
nick_the_furious;Яростный;x
nick_the_elusive;Неуловимый;x
nick_the_splendid;Блистающий;x
nick_the_smouldering;Тлеющий;x
nick_the_sly;Коварный;x
nick_the_diabolical;Дьявольский;x
nick_the_bloody;Кровавый;x
nick_the_doombringer;Несущий Гибель;x
nick_the_ravager;Разоритель;x
nick_the_light_claw;Сияющий Коготь;x
nick_the_dark_eye;Темноглазый;x
nick_the_ravenous;Ненасытный;x
nick_the_baleful;Злобный;x
nick_the_lazy;Ленивый;x
nick_the_ghost;Призрак;x
nick_colour_ghost;[This.GetDragonColour] Призрак;x
