#CODE;ENGLISH;x;;;
dragon_egg;Владелец яйца дракона;x;;;
dragon_egg_desc;Драконы откладывали большие чешуйчатые яйца для размножения. Спустя века невылупившиеся яйца могут стать окаменелостями. Драконы не имеют постоянной половой принадлежности - согласно словам Мейстера Эймона, драконы «теперь одно, а теперь другое, изменчивы, как пламя», это означает, что они могут менять пол с одного на другой и обратно по собственным причинам. А способ спаривания драконов не совсем понятен.\n\nПо причине смерти владельца яйца, порядок его наследования такой:\n1- Текущий наследник, если одна династия\n2- Ребенок той же династии\n3- Брат/сестра той же династии\n4- Любой представитель династии\n5- Текущий наследник\n6- Любой ребенок\n7- Супруг\n8- Лорд\n9- Любой вассал;x;;;
dragon_rider;Наездник дракона;x;;;
dragon_rider_desc;Этот персонаж контролирует дракона. Драконы были обнаружены около пяти тысяч лет назад Валирийцами в Четырнадцати Огнях, кольце вулканов на Валирийском Полуострове. Валирийцы овладели искусством подчинения драконов и, используя их как оружие во время войн, создали могущественную империю.\n\n-Драконы драконьих наездников обозначаются как их 'друзья'\n-Драконы могут использоваться в битвах и при осадах с помощью 'решений'\n-При смерти наездника его дракон может быть унаследован его наследником, если он достаточно взрослый. В противном случае дракон создаст логово. Если в месте его расположения (локации) нет Драконей ямы, то он может улететь на вулкан Драконья Гора на Драконьем Камне.\nС враждебными драконьими всадниками можно вступать в поединок, как правило побеждает тот у кого больше Драконья сила(т.е. военных очков).\n;x;;;
dragon;Дракон;x;;;
dragon_desc;Это дракон, волшебное существо. Они являются чешуйчатыми рептилиями с двумя лапами и двумя крыльями. Сильный жар исходит от их тел, вплоть до образования пара холодными ночами. Их дыханье - раскалённое пламя, которое они используют для поджаривания мяса перед его поеданием. Говорят, первые драконы пришли с Востока, из Края Теней за Асшаем и островов Нефритового моря.\n\n-Военные очки Дракона являются показателем его размера и силы. Они продолжают расти вплоть до самой смерти.\n-Драконий наездник обозначается как их 'друг'\n-Драконы могут быть использованы в бою и при осаде с помощью 'решений'\n;x;;;
dragon_culture;Дракон;x;;;
dragon_culture_desc;"Это дракон, волшебное существо. Они являются чешуйчатыми рептилиями с двумя лапами и двумя крыльями. Сильный жар исходит от их тел, вплоть до образования пара холодными ночами. Их дыханье - раскалённое пламя, которое они используют для поджаривания мяса перед его поеданием. Говорят, первые драконы пришли с Востока, из Края Теней за Асшаем и островов Нефритового моря.\n\n-Военные очки Дракона являются показателем его размера и силы. Они продолжают расти вплоть до самой смерти.\n-Драконий наездник обозначается как их 'друг'\n-Драконы могут быть использованы в бою и при осаде с помощью 'решений'\n";x;;;
wild_dragon;Дикий дракон;x;;;
wild_dragon_desc;Этот персонаж приковывал дикое животное цепью.;x;;;
child_dragon;Молодой дракон;x;;;
child_dragon_desc;Этот персонаж владеет молодым драконом.;x;;;
dragon_slayer;Драконоубийца;x;;;
dragon_slayer_desc;Этот персонаж убил легендарное животное.;x;;;
wanna_buy_egg;Со всех концов Узкого моря к вам съезжаются торговцы, предлагая купить яйцо дракона за немаленькую сумму.;x;;;
buy_the_egg;Да, у меня будет свой дракон!;x;;;
no_thanks;Яйцо дракона?! Это просто камень необычной формы.;x;;;
EVTDESC3370000;[Root.GetTitledFirstName] оставил вам своё яйцо дракона.;x;;;
EVTDESC3370050;[Root.GetTitledFirstName] оставил вам своего дракона.;x;;;
EVTDESCdragon.2;[From.GetTitledFirstName] приобрел[From.GetEndA] яйцо дракона.;x;;;
EVTOPTdragon.2;Возможно, это просто странный кусок камня.;x;;;
EVTDESCdragon.5;Время настало. Я узнал[GetEndA] достаточно информации, с помощью которой заставлю дракона вылупился из своего яйца. Никто не сможет противостоять мне!;x;;;
EVTOPTdragon.5;Огонь и кровь!;x;;;
EVTOPTdragon.5DANY;Я - Матерь Драконов!;x;;;
EVTDESCdragon.7;Путешественники приносят слухи об огне и крови в земле [From.Location.GetName]. Если им верить, то драконы снова появились в нашем мире, и [FromFrom.GetTitledFirstNameWithDynasty] является владельцем одного из них.;x;;;
EVTOPTAdragon.7;Это какое-то безумие!;x;;;
EVTDESCdragon.799;Новости из земли [From.Location.GetName], [Root.PrimaryTitle.GetFOA], новый дракон пришёл в мир. [FromFrom.GetTitledFirstNameWithDynasty], по-видимому, успешно вывел[FromFrom.GetEndA] одного, [From.GetSheHe] получил имя [From.GetFirstName].;x;;;
EVTDESCdragon.799B;Новости из земли [From.Location.GetName], [Root.PrimaryTitle.GetFOA], новый дракон пришёл в мир. [FromFrom.GetTitledFirstNameWithDynasty], по-видимому, вывел[FromFrom.GetEndA] слабого и хилого дракона, [From.GetSheHe] получил имя [From.GetFirstName].;x;;;
EVTOPTAdragon.799;Благо для н[FromFrom.GetHerHis];x;;;
EVTDESCdragon.17;Путешественники приносят слухи о пламени и крови. Говорят, драконы снова вернулись в наш мир, и что [FromFrom.GetTitledFirstNameWithDynasty] и [FromFrom.GetHerHis] дракон [From.GetFirstName] готовы к битве.;x;;;
EVTDESCdragon.17B;Новости из земли [From.Location.GetName], [FromFrom.GetTitledFirstNameWithDynasty] использовал[FromFrom.GetEndA] [FromFrom.GetHerHis] драконий рог, чтобы стать наездником дракона [From.GetFirstName]!;x;;;
EVTOPTAdragon.17;Драконы? А может быть ещё и Снарки с Иными? Пошел прочь!;x;;;
EVTOPTBdragon.17;Достаточно ли места в этом мире для другого драконьего всадника?;x;;;
EVTDESCdragon.36;Путешественники приносят слухи об огне и крови. Говорят, что [FromFrom.GetTitledFirstNameWithDynastyAndTitleNoRegnal] убил[FromFrom.GetEndA] дракона [From.GetFirstName]!;x;;;
EVTOPTAdragon.36;Истинный храбрец!;x;;;
dragon_intel_dragonpit_desc;Находясь в Королевской Гавани, вы посещаете яму драконов, где разводились животные старой Валирии. Огромные ямы и разрушенные стены наполнили вашу голову фантазиями. Эх, если бы драконы все еще обитали...;x;;;
dragon_intel_dragonpit_descB;Находясь в Королевской Гавани, вы посещаете Драконье логово, где разводят и содержат тварей старой Валирии. Большие ямы и высокие стены наполняют ваш разум фантазиями и идеями...;x;;;
dragon_intel_dragonpit_opt;Что если есть ещё жизнь в этих старых камнях?;x;;;
dragon_intel_dragonstone_desc;На Драконьем Камне вы замечаете статуи драконов на стенах старого замка. Что, если бы эти огромные каменные животные могли бы прийти в себя и вновь заполнить небеса огнем?;x;;;
dragon_intel_dragonstone_descB;На Драконьем камне вы замечаете каменных драконов на стенах старого замка. Что, если эти огромные каменные звери могут ожить и наполнить небо огнем?;x;;;
dragon_intel_dragonstone_opt;Каменный дракон... или каменное яйцо дракона.;x;;;
dragon_intel_citadel_desc;Во время вашего пребывания в Цитадели вы замечаете книгу, озаглавленную как 'Огонь и Кровь', с драконом на обложке. Вы решаете взять её с собой.;x;;;
dragon_intel_citadel_opt;Возможно это будет более полезным, чем мысли тех старых дураков.;x;;;
dragon_intel_fof_desc;Проезжая через Простор, вы находите легендарное Пламенное поле. Говорят, что это то место, где армии Простора и Западных земель объединили силы, чтобы победить Эйгона Завоевателя - и были уничтожены за несколько минут, когда Таргариены послали в атаку всех трёх драконов.;x;;;
dragon_intel_fof_opt;Если только у меня было такое могущество!;x;;;
dragon_intel_harrenhal_desc;Двигаясь мимо ворот Харенхолла, вы замечаете расплавленный чёрный камень. Есть только одно существо в мире, которое может оплавить эти стены - дракон.;x;;;
dragon_intel_harrenhal_opt;Поразительно.;x;;;
dragon_intel_summerhall_desc;И все же Летний Замок был любимым местом принца. Он время от времени навещал это место, и всю компанию ему составляла одна лишь арфа. Даже рыцари Королевской гвардии не сопровождали его. Принцу нравилось спать в разрушенном зале под луной и звездами, и всякий раз, когда он возвращался он приносил с собой песню...;x;;;
dragon_intel_summerhall_opt;А что здесь происходило на самом деле?;x;;;
dragon_intel_eggs_desc;Однажды вечером вы изучали свое яйцо дракона и были почти уверены, что оно излучает тепло. Быть может, оно реагирует на мое прикосновение и скоро раскроет свой секрет?;x;;;
dragon_intel_eggs_opt;Я открою его!;x;;;
EVTDESCdragon.31;Несчитанное количество врагов ждёт боя. Их отряды уходят за линию горизонта, а броня сияет на полуденном солнце. Вал дракон рвётся в бой, и никто не сможет его остановить.;x;;;
EVTNAMEdragon.31;Атака дракона;x;;;
BURN_THEM_ALL;Дракарис!;x;;;
not_now_dracarys;Мои рыцари сами с этим справятся.;x;;;
