#CODE;ENGLISH;x;;;
EVTDESCESSOS2;На протяжении столетий люди, приплывавшие в Наат покорить его жителей, страдали от болезней и смертей. Наатийцы верят, что их боги защищают их через бабочек, обитающих на острове.;x;;;
EVTDESCESSOS3;Владыка Гармонии поразил наших воинов.;x;;;
EVTDESCESSOS4;Город Мантарис расположен ближе к Року Валирии, чем любой другой город.;x;;;
EVTOPTAESSOS4;Город чудовищ...;x;;;
EVTDESCESSOS5;[shadowbinder_target.GetTitledFirstName] подходит ко мне с планом снятия осады. Она утверждает, что знает магию Асшая, и говорит, что наше слияние высвободит силу внутри меня и, [shadowbinder_siege_target.GetTitledFirstName], будет поражён.;x;;;
EVTOPTAESSOS5;Очень хорошо, колдунья, давай сольёмся;x;;;
EVTOPTBESSOS5;Все не так плохо, чтобы прибегать к магии;x;;;
EVTDESCESSOS6;На вершине зубчатых стен, руководя обороной замка [Root.Location.GetName], я мельком вижу странную тень, плывущую ко мне. Прежде чем я смог отреагировать, тень погружает темный клинок в мою грудь! Меня переполняет боль. Когда я умирал, последняя вещь, которую я видел - это как тень исчезает.;x;;;
EVTOPTAESSOS6;Это колдовство!;x;;;
EVTOPTBESSOS6;Бороться с клинком [Root.GetValyrianSwordOwned]!;x;;;
EVTDESCESSOS7;Местные колдуны вызвали вспышки заболеваний в наших осаждающих лагерях.;x;;;
EVTDESCESSOS8;Болезнь распространилась по нашим лагерям. Люди обвиняют колдунов.;x;;;
EVTDESCESSOS9;Странная женщина, с лицом спрятанным за лаковой маской, подходит ко мне и говорит о силах, которыми владеют Заклинатели Теней из Асшая;x;;;
EVTOPTAESSOS9;Я долж[GetNaEn] принять эту новую религию!;x;;;
EVTOPTBESSOS9;Еретика - в тюрьму!;x;;;
EVTOPTCESSOS9;Как скучно;x;;;
EVTDESCESSOS10;Один из моих сообщников считает, что мантикора может стать решением нашей проблемы.;x;;;
EVTOPTAessos.10;Очень хорошо, используйте мантикору.;x;;;
EVTOPTBessos.10;Я никому не доверяю, Я сам куплю мантикору.;x;;;
EVTOPTCessos.10;У меня есть приятель на пристани, который продаёт мантикор, конечно же, он предоставит мне одного.;x;;;
EVTDESCESSOS11;Один из моих сообщников считает, что мантикора может стать решением нашей проблемы.;x;;;
EVTDESCESSOS12;Мой сообщник испытывает трудности в приобретении мантикоры и попросил меня предоставить дополнительные средства.;x;;;
EVTDESCESSOS13;Хорошо, это того стоит.;x;;;
EVTDESCESSOS14;Неумелый дурак, он ничего не получит.;x;;;
EVTDESCESSOS15;Время пришло. Одной из служанок персонажа [Root.GetFirstName] было заплачено, чтобы она спрятала мантикору в господской спальне сегодня вечером.;x;;;
EVTOPTAESSOS15;Успех! [Root.GetFirstName] был[Root.GetEndA] укушен[Root.GetEndA] мантикорой, которая убила за несколько секунд.;x;;;
EVTOPTBESSOS15;[Root.GetFirstName] заметил[Root.GetEndA] мантикору и раздавил[Root.GetEndA] ее до укуса.;x;;;
EVTDESCESSOS16;Когда я ложи[GetLasLsya] спать, я заметил[GetEndA] что-то странное на полке возле моей кровати, это, кажется, нефритовый зеленый скарабей. Когда я потяну[GetLasLsya] к нему, он развернулся. Я услышал[GetEndA] громкое шипение и увидел[GetEndA] смутное человеческое лицо, а потом почувствовал[GetEndA] это. Боль накрывает меня, тогда я понимаю, что меня укусила мантикора.;x;;;
EVTOPTAessos.16;Это конец;x;;;
EVTDESCESSOS17;Когда я ложи[GetLasLsya] спать, я заметил[GetEndA] что-то странное на полке возле моей кровати, это, кажется, нефритовый зеленый скарабей. Когда я потяну[GetLasLsya] к нему, он развернулся. Я услышал[GetEndA] громкое шипение и увидел[GetEndA] смутное человеческое лицо, а потом почувствовал[GetEndA] это. Боль накрывает меня, тогда я понимаю, что меня укусила мантикора.;x;;;
EVTOPTAESSOS17;Это конец;x;;;
EVTDESCESSOS18;Когда я ложи[GetLasLsya] спать, я заметил[GetEndA] что-то странное на полке возле моей кровати, это, кажется, нефритовый зеленый скарабей. Когда я потяну[GetLasLsya] к нему, он развернулся. Я услышал[GetEndA] громкое шипение и увидел[GetEndA] смутное человеческое лицо, и с тревогой понимаю, что это мантикора. Быстро хватаю ближайшую вещь - пустую чашку и ударяю со всей силы, сокрушая тварь. Это не случайно, кто-то подложил мантикору в мою комнату.;x;;;
EVTOPTAESSOS19;Они должны заплатить.;x;;;
EVTDESCESSOS18;Когда я ложи[GetLasLsya] спать, я заметил[GetEndA] что-то странное на полке возле моей кровати, это, кажется, нефритовый зеленый скарабей. Когда я потяну[GetLasLsya] к нему, он развернулся. Я услышал[GetEndA] громкое шипение и увидел[GetEndA] смутное человеческое лицо, и с тревогой понимаю, что это мантикора. Быстро хватаю ближайшую вещь - пустую чашку и ударяю со всей силы, сокрушая тварь. Это не случайно, кто-то подложил мантикору в мою комнату.;x;;;
EVTOPTAESSOS19;Они должны заплатить.;x;;;
EVTDESCESSOS20;[Root.GetFirstName] имеет множество слуг. Мой сообщник полагает, что, подкупив кого-то из них, мы сможем забросить мантикору внутрь.;x;;;
EVTDESCESSOS21;Это звучит многообещающе, вперед.;x;;;
EVTDESCESSOS22;Плану был дан ход.;x;;;
EVTDESCESSOS23;Хоть [Root.GetFirstName] и был[Root.GetEndA] убит[Root.GetEndA], девушка, которую мы подкупили, была схвачена и при допросе указала не меня.;x;;;
EVTDESCESSOS24;План сработал идеально. [Root.GetFirstName] был[Root.GetEndA] убит[Root.GetEndA], и хоть они предполагают убийство, на меня у них ничего нет.;x;;;
EVTOPTAessos.24;Хорошо проделанная работа.;x;;;
EVTDESCESSOS25;[Root.GetFirstName] не только не был[Root.GetEndA] укушен[Root.GetEndA] мантикорой, но стража еще и схватила подкупленную девушку, на допросе она раскрыла мою причастность.;x;;;
EVTOPTAESSOS25;Может ли быть еще хуже?;x;;;
EVTDESCESSOS26;Хотя план и провалился, я, по крайней мере, очень рад[GetEndA], что мое участие не было обнаружено.;x;;;
EVTDESCESSOS27;Когда вы были при дворе, перед вами предстала группа воинов Джогос Нхая. Их лидер выразил восхищение, которое они испытывали к вам, и подарил вам молодого жеребца Зеброконя, полосатого чёрно-белого верхового животного, на котором Джогос Нхаи ездят по равнинам.;x;;;
EVTOPTAESSOS27;Я благодарю вас всех за этот прекрасный подарок.;x;;;
gift_zorse;Зеброконь;x;;;
gift_zorse_desc;Этот человек владеет Зеброконем, полосатым чёрно-белым верховым животным, на которых Джогос Нхаи ездят по равнинам.;x;;;
EVTOPTBESSOS27;Мне нужны люди такие как вы, прошу вас, останьтесь. [Root.Capital.GetName] примет Вас;x;;;
EVTDESCESSOS28;Зеброконь, который был вам подарен, вырос в могучего жеребца, а из-за его свирепости ему выделили собственную конюшню, чтобы он не убивал лошадей. Человек, который приручит этого зверя и поведёт его в бой, несомненно заслужит уважение как у лордов, так и у простых людей.;x;;;
EVTOPTAESSOS28;Я долж[GetNaEn] укротить его!;x;;;
TOOLTIPessos.29;Зеброконь был успешно приручен;x;;;
TOOLTIPessos.30;Зеброконь не приручается;x;;;
EVTOPTBESSOS28;[Root.Heir.GetTitledFirstName] покажет себя и станет хозяином зверя;x;;;
EVTOPTCESSOS28;[Root.job_marshal.GetTitledFirstName] является наиболее достойным, чтобы принять его;x;;;
EVTOPTDESSOS28;Наш уважаемый гость Джогос Нхаи покажет нам как;x;;;
EVTOPTFESSOS28;Один из моих сыновей будет претендовать на это верховое животное;x;;;
EVTOPTEESSOS28;Я думаю, что лучше оставить его в покое;x;;;
EVTDESCESSOS29;Когда вы приближаетесь к дикому зеброконю, вы пытаетесь вспомнить все, что знаете о том как подчинить себе такого сильного жеребца. Сначала зверь бросается на вас, яростно брыкается и лягается. В конце концов, вы получаете его доверие и, наконец, садитесь на него, и скачете прямо к изумленному народу.;x;;;
zorse_rider;Наездник Зеброконя;x;;;
zorse_rider_desc;Этот персонаж ездит на огромном свирепом чёрно-белом зеброконе, внушая трепет своему окружению;x;;;
EVTOPTAESSOS29;Я буду ездить на нем во всех моих сражениях;x;;;
EVTDESCESSOS30;Вы входите в загон, где содержится зеброконь и можете сразу сказать, что ему не нравится ваше присутствие. Когда вы приближаетесь к нему, он стервенеет и сердито лягается, вызывая сильную боль, когда достаёт вас копытами несколько раз. Вам удаётся один раз взобраться на него, но он вскинулся на дыбы, выбросив вас. Ясно, что этот зверь не может быть приручен.;x;;;
EVTOPTAESSOS30;Бесполезное животное;x;;;
EVTDESCESSOS31;Поскольку ваш [From.GetRootRelation] [From.GetTitledFirstName] приближается к дикому зеброконю, вы обеспокоены [From.GetHerHis] безопасностью. Сначала зверь недоволен [From.GetHerHis] присутствием, отчаянно лягаясь и пинаясь. В конце концов, [From.GetSheHe] получает его доверие, и, наконец, садится на него и скачет до изумленной толпы.;x;;;
EVTOPTAESSOS31;Это впечатляет!;x;;;
EVTDESCESSOS32;Ваш [From.GetRootRelation] [From.GetTitledFirstName] входит в загон, где содержится Зеброконь, и можно сразу сказать, что это не нравится зверю. Когда [From.GetSheHe] приближается, зеброконь отчаянно лягается и пинается, [From.GetFirstName] получает несколько ударов. [From.GetSheHeCap] смог лишь раз сесть на животное, но оно сразу поднялось на дыбы, выкинув седока. Ясно, что этот зверь не может быть приручен.;x;;;
EVTDESCESSOS33;Зеброконь вызывает большие проблемы, как говорит [Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName]. Конюхи, по-видимому, не могут совладать с ним, некоторых он уже ранил и покалечил, лягаясь и вставая на дыбы. Такой яростный жеребец должен жить отдельно от лошадей, их он тоже покалечил и убил несколько. [Root.job_marshal.GetTitledFirstName] говорит, что нужно что-то делать.;x;;;
EVTOPTAESSOS33;Убейте его, а мясо и шкуру продайте;x;;;
EVTOPTBESSOS33;Им придётся иметь дело с ним;x;;;
EVTOPTCESSOS33;Я знаю как успокоить диких зверей;x;;;
EVTDESCESSOS34;Мой [From.GetRootRelation] [From.GetTitledFirstName] недавно получил экзотического зеброконя в качестве подарка от Джогос Нхаи. Дикий зверь уже вызвал много неприятностей в конюшне, а однажды убежал в стадо лошадей и влез на множество кобыл, а также запинал моего бесценного жеребца!;x;;;
EVTOPTAESSOS34;Я буду требовать компенсации!;x;;;
TOOLTIPessos.35;[From.GetTitledFirstName] ответит;x;;;
