#CODE;ENGLISH;x;;;
EVTDESCfuneral.1;Ваш[From.GetEndA] [From.GetRootRelation], [From.GetTitledFirstNameWithDynasty], умер[From.GetNoneE], и теперь именно вы должны решить, устраивать ли большие похороны особым мероприятием, или сделать их небольшими и семейными.;x;;;
EVTOPTAfuneral.1;М[From.GetOyaOy] [From.GetRootRelation] заслуживает достойных похорон;x;;;
EVTOPBfuneral.1;Достаточно небольших и закрытых похорон;x;;;
EVTDESCfuneral.2;[FromFrom.GetTitledFirstNameWithDynasty] скоро упокоится с миром. Кого вы хотите пригласить на похороны?;x;;;
EVTOPTAfuneral.2;Семьи [FromFrom.GetOnlyDynastyName] будет достаточно;x;;;
EVTOPTBfuneral.2;Все придворные столицы [Root.Capital.GetName] будут присутствовать;x;;;
EVTOPTCfuneral.2;Мои вассалы и двор почтят семью на похоронах;x;;;
EVTOPTDfuneral.2;Приглашаются все Лорды и Леди государства;x;;;
TOOLTIPfuneral_invite;[FromFrom.GetTitledFirstNameWithDynasty] будет приглашен[GetEndA] на похороны;x;;;
TOOLTIPrealm_funeral_invite;[FromFrom.GetTitledFirstNameWithDynasty] и [FromFrom.GetHerHis] память будут почтены присутствием всего государства;x;;;
EVTDESCfuneral.3;[Root.GetTitledFirstName], м[From.GetOyaOy] [GetFromVsFromFromFromRelation] [FromFromFrom.GetTitledFirstNameWithDynasty], умер[From.GetNoneE], и Вы приглашены на [FromFromFrom.GetHerHis] похороны.\n\nПодпись\n[From.GetTitledFirstNameWithDynasty];x;;;
EVTOPTAfuneral.3;Конечно, я буду присутствовать;x;;;
EVTOPTBfuneral.3;[From.GetTitledFirstName] узнает, что я не смогу там быть;x;;;
EVTDESCfuneral.4;Приглашения на похороны были отосланы всем Лордам и Леди страны. Пришло время подготовить пир и похороны.;x;;;
EVTOPTAfuneral.4;Гости скоро прибудут, лучше поскорее завершить;x;;;
EVTDESCfuneral.5;Все гости прибыли в столицу [Root.Capital.GetName], пришло время начать пиршество, чтобы прославить жизнь персонажа [FromFromFromFrom.GetTitledFirstNameWithDynasty].;x;;;
EVTOPTAfuneral.5;Пусть пир начнется!;x;;;
EVTTITLEfuneral.7; Похороны;x;;;
