#CODE;ENGLISH;x
RULE_CULTURE_CONVERSION_OFF_DESC;Культура провинции никогда не будет изменена.;x
RULE_CULTURE_CONVERSION_RARE_DESC;Культура провинции редко меняется, в шесть раз медленнее, чем в ваниле.;x
RULE_CULTURE_CONVERSION_VANILLA;Оригинальная;x
RULE_CULTURE_CONVERSION_VANILLA_DESC;Культура провинции будут меняться так же, как в оригинале.;x
RULE_RELIGIOUS_CONVERSION_FASTER_DESC;Скорость, с которой религия провинции изменяется посредством использования действия 'обратить в свою веру', увеличивается в два раза.;x
RULE_OPTION_FASTER;Быстрее;x
RULE_MEGA_WARS;§RAGoT:§! Мега-Войны;x
RULE_MEGA_WARS_ON_DESC;Мега-войны будут происходить, когда правитель императорского уровня станет участником войны. Королевство расколется, и Великие Дома будут решать, поддержать Империю, восставших, воевать за себя или остаться нейтральным и выжидать;x
RULE_MEGA_WARS_OFF_DESC;Мега-войны §RНЕ§! будут происходить, когда правитель императорского уровня станет участником войны, королевство не будет разделяться, и войны будут происходить в обычном режиме.;x
RULE_WHITE_WALKERS;§RAGoT:§! Белые Ходоки;x
RULE_WHITE_WALKERS_ON_DESC;Белые ходоки могут вторгнуться и в более поздних закладках.;x
RULE_WHITE_WALKERS_OFF_DESC;Белые ходоки §RНЕ§! будут вторгаться и будут удалены из игры при запуске на поздних закладках.;x
RULE_WHITE_WALKERS_CANON_DESC;Белые Ходоки нападут примерно в то же время, как в каноничном источнике, первая суровая зима после 8290.;x
RULE_WHITE_WALKERS_HARD;Сложнее;x
RULE_WHITE_WALKERS_HARD_DESC;Белые ходоки будут иметь увеличенное §Yв 2 раза§! количество войск от изначального и все последующие усиления от ивентов также §Yв 2 раза§! увеличат величину от нормальной.;x
RULE_NON_LORE_INVASIONS;Неисторические завоевания;x
RULE_NON_LORE_INVASIONS_ON_DESC;Будут происходить неисторические вторжения, такие как Пятнистых людей, Горных Кланов и Летних Островов;x
RULE_NON_LORE_INVASIONS_RARE_DESC;Будут происходить неисторические вторжения, такие как Пятнистых людей, Горных Кланов и Летних Островов, но их вероятность снижена в 3 раза;x
RULE_NON_LORE_INVASIONS_OFF_DESC;Неисторические вторжения, такие как Пятнистых людей, Горных Кланов и Летних Островов §RНЕ§! будут происходить.;x
RULE_DRAGON_HATCHING;§RAGoT:§! Вылупление и приручение драконов;x
RULE_DRAGON_HATCHING_NORMAL_DESC;Трудное вылупление и приручение драконов - это нормально.;x
RULE_DRAGON_HATCHING_EASY;Легче;x
RULE_DRAGON_HATCHING_EASY_DESC;Трудность вылупления и приручения драконов уменьшена, в 25 раз больше шансов добиться успеха в приручении.;x
RULE_DRAGON_HATCHING_LESS_HARD;Труднее;x
RULE_DRAGON_HATCHING_LESS_HARD_DESC;Трудность вылупления и приручения драконов менее жесткая, в пять раз больше шансов добиться успеха в приручении.;x
RULE_DRAGON_HATCHING_HARD;Ещё труднее;x
RULE_DRAGON_HATCHING_HARD_DESC;Трудность вылупления и приручения драконов больше чем обычно, в три раза меньше шансов добиться успеха в приручении.;x
RULE_DRAGON_HATCHING_VALYRIAN_ONLY;Только валирийцы;x
RULE_DRAGON_HATCHING_VALYRIAN_ONLY_DESC;Вылуплять и приручать драконов могут только Валирийские культуры и Высшие валирийские династии.;x
RULE_DRAGON_HATCHING_OFF_DESC;Драконы удалены из игры и не могут быть приручены. Это отключает события Завоевания Эйгона.;;;;;;;;;;;;;x
RULE_HIGH_VALYRIAN_CULL;§RAGoT:§! Отбрасывание высшей валирийской культуры;x
RULE_HIGH_VALYRIAN_CULL_ON_DESC;Высших валирийцев низкого происхождения игра будет автоматически устранять. Изменение культуры персонажей на высшую валирийскую тоже запрещено;x
RULE_HIGH_VALYRIAN_CULL_OFF_DESC;Высших валирийцев низкого происхождения игра §RНЕ§! будет автоматически устранять. Изменение культуры персонажей на высшую валирийскую разрешено;x
RULE_DUEL_OUTCOME_RANDOMNESS;§RAGoT:§! Случайный исход дуэли;x
RULE_DUEL_OUTCOME_RANDOMNESS_NORMAL_DESC;Результаты поединков будут иметь небольшую степень случайности (например, у грозного воина будет шанс в §Y80%§! выиграть против обученного воина, при прочих равных условиях);x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW;Очень низкий;x
RULE_DUEL_OUTCOME_RANDOMNESS_VERY_LOW_DESC;Результаты поединков будут иметь очень низкую степень случайности (например, у грозного воина будет шанс в §Y98%§! выиграть у обученного воина, при прочих равных условиях);x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW;Низкий;x
RULE_DUEL_OUTCOME_RANDOMNESS_LOW_DESC;Результаты поединков будут иметь более низкую степень случайности (например, у грозного воина будет шанс на победу в §Y90%§! против обученного воина, при прочих равных условиях);x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH;Высокий;x
RULE_DUEL_OUTCOME_RANDOMNESS_HIGH_DESC;Результаты поединков будут иметь более высокую степень случайности (например, у грозного воина будет шанс на победу в §Y66%§!  против обученного воина, при прочих равных условиях);x
RULE_NOMAD_INVASIONS;§RAGoT:§! Вторжение Кочевников;x
RULE_NOMAD_INVASIONS_NORMAL_DESC;Размах вторжения кочевников ограничен их собственной культурой, если только они не приняли титул Великого Кхала или Джаттара Джогос Нхая;x
RULE_NOMAD_INVASIONS_UNRESTRICTED_DESC;Вторжения кочевников §RНЕ§! ограничены ничем;x
RULE_HL_CREATION_REQUIREMENT;§RAGoT:§! Требования созданий Высших Владений;x
