#CODE;ENGLISH;x
world_beyond_the_wall;За Стеной;x
world_the_wall;Стена;x
world_north;Север;x
world_iron_isles;Железные острова;x
world_riverlands;Речные земли;x
world_westerlands;Западные земли;x
world_vale;Долина;x
world_reach;Простор;x
world_crackclaw_point;Расколотая Клешня;x
world_dragonstone;Драконий Камень;x
world_stormlands;Штормовые земли;x
world_dorne;Дорн;x
world_crownlands;Королевские земли;x
world_westeros;Вестерос;x
world_stepstones;Ступени;x
world_braavos;Браавос;x
world_andalos;Андалос;x
world_lorath;Лорат;x
world_norvos;Норвос;x
world_qohor;Квохор;x
world_pentos;Пентос;x
world_rhoynar;Ройнары;x
world_tyrosh;Тирош;x
world_lys;Лис;x
world_myr;Мир;x
world_volantis;Волантис;x
world_free_cities;Вольные Города;x
world_essaria;Эссария;x
world_sarnor;Сарнор;x
world_dothraki;Дотракия;x
world_ifeqevron;Ифекеврон;x
world_dothraki_sea;Дотракийское Море;x
world_ibben;Иббен;x
world_north_valyria;Северная Валирия;x
world_hazdahn;Хаздан;x
world_meereen;Миэрин;x
world_yunkai;Юнкай;x
world_astapor;Астапор;x
world_new_ghis;Новый Гис;x
world_lhazar;Лхазар;x
world_skahazadhan;Скахазадхан;x
world_ghiscar;Гискар;x
world_slavers_bay;Залив Работорговцев;x
world_bone_mountains;Хребет Костей;x
world_qarth;Кварт;x
world_moraq;Морак;x
world_jade_sea;Нефритовое море;x
world_leng;Лэнг;x
world_yin;Инь;x
world_jinqi;Цзиньци;x
world_tiqui;Тикуи;x
world_linqi;Линки;x
world_piqui;Пикуи;x
world_xin;Ксин;x
world_trader_town;Торговый Город;x
world_yi_ti;И-Ти ;x
world_jogo_nhai_plains;Равнины Джогос Нхай;x
world_nghai;Н`гай;x
world_jogos_nhai;Джогос Нхай;x
world_asshai;Асшай;x
world_essos;Эссос;x
world_summer_islands;Летние Острова;x
world_basilisk_isles;Острова Василиска;x
world_sothoryos;Соториос;x
world_summer_sea;Летнее Море;x
world_far_east;Дальний Восток;x
world_westeros_north;Северный Вестерос;x
world_westeros_east;Восточный Вестерос;x
world_westeros_south;Южный Вестерос;x
world_westeros_west;Западный Вестерос;x
world_shivering_sea;Дрожащее море;x
world_mountains_of_moon;Матерь Гор;x
world_forest_of_qohor;Квохорский лес;x
world_disputed_lands;Спорные Земли;x
world_five_forts;Пять Крепостей;x
world_shadowlands;Земли теней;x
world_the_sisters;Сёстры;x
world_the_rhoyne;Ройна;x
world_east_coast_of_north;Восточное побережье Севера;x
world_valyria;Валирийские срединные земли;x
world_long_summer;Край Долгого Лета;x
world_valyrian_peninsula;Валирийский полуостров;x
world_dornish_marches;Дорнийские марки;x
world_rainwood;Дождливый лес;x
world_masseys_hook;Крюк Масси;x
world_kingswood;Королевский лес;x
world_red_mountains;Красные горы;x
world_ib_isle;Иб;x
world_jhala;Джала;x
world_walano;Валано;x
world_dornish_desert;Дорнийская пустыня;x
world_east_dorne;Восточный Дорн;x
