#CODE;ENGLISH;x
LORDPARAMOUNT;Верховный лорд;x
LORDPARAMOUNT_female;Верховная леди;x
LORDPARAMOUNT_FOA;Милорд;x
LORDPARAMOUNT_FOA_female;Миледи;x
KING_TITLE;Король;x
QUEEN_TITLE;Королева;x
YOUR_GRACE_TITLE;Ваша светлость;x
empire_andal;Королевство;x
empire_of_andal;Королевство;x
emperor_andal;Верховный король;x
emperor_female_andal;Королева;x
emperor_foa_andal;Ваша светлость;x
emperor_foa_female_andal;Ваша светлость;x
empire_dornish;Королевство;x
empire_of_dornish;Королевство;x
emperor_dornish;Верховный король;x
emperor_female_dornish;Королева;x
emperor_foa_dornish;Ваша светлость;x
emperor_foa_female_dornish;Ваша светлость;x
empire_first_men;Королевство;x
empire_of_first_men;Королевство;x
emperor_first_men;Верховный король;x
emperor_female_first_men;Королева;x
emperor_foa_first_men;Ваша светлость;x
emperor_foa_female_first_men;Ваша светлость;x
emperor_foa_old_first_man;Мой король;x
emperor_foa_female_old_first_man;Моя королева;x
empire_iron_isles_culture;Королевство;x
empire_of_iron_isles_culture;Королевство;x
emperor_iron_isles_culture;Верховный король;x
emperor_female_iron_isles_culture;Королева;x
emperor_foa_iron_isles_culture;Мой король;x
emperor_foa_female_iron_isles_culture;Моя королева;x
king_title_queen_mother_female;Вдовствующая Королева;x
king_foa;Ваша светлость;x
king_foa_female;Ваша светлость;x
king_foa_iron_isles_culture;Мой Король;x
king_foa_female_iron_isles_culture;Моя Королева;x
king_foa_old_first_man;Мой Король;x
king_foa_female_old_first_man;Моя Королева;x
#kingdom_dornish;Княжество;x
#kingdom_of_dornish;Княжество;x
#king_dornish;Принц;x
#king_female_dornish;Принцеса;x
#king_foa_dornish;Мой принц;x
#king_foa_female_dornish;Моя принцеса;x
duke_title_prince;Лорд;x
duke_title_prince_female;Леди;x
duke_title_queen_mother_female;Леди;x
duke;Лорд;x
duke_female;Леди;x
duke_title_ruler_consort;Лорд;x
duke_title_ruler_consort_female;Леди;x
duke_title_prince_dornish;Принц;x
duke_title_prince_female_dornish;Принцеса;x
duchy;Владение;x
duchy_of;Владение;x
duke_foa;Милорд;x
duke_foa_female;Миледи;x
duke_iron_isles_culture;Железный лорд;x
count;Лорд;x
count_female;Леди;x
count_title_ruler_consort;Лорд;x
count_title_ruler_consort_female;Леди;x
county_of;Вотчина;x
county;Вотчина;x
count_foa;Милорд;x
count_foa_female;Миледи;x
baron;Господин;x
baron_female;Госпожа;x
baron_title_ruler_consort;Господин;x
baron_title_ruler_consort_female;Госпожа;x
baron_the_seven;Сир;x
baron_female_the_seven;Леди;x
baron_title_ruler_consort_the_seven;Сир;x
baron_title_ruler_consort_female_the_seven;Леди;x
barony_of;Замок;x
baron_foa;Милорд;x
baron_foa_the_seven;Сир;x
baron_foa_female;Миледи;x
CITADEL_TITLE;Архимейстер;x
CITADEL_TITLE_FOA;Милорд;x
family_palace_baron;Господин;x
family_palace_baron_female;Леди;x
family_palace_baron_foa;Мой Лорд;x
city_baron;Господин;x
city_baron_female;Госпожа;x
city_baron_foa;Милорд;x
city_barony;Город;x
city_barony_of;Город;x
city_count;Господин;x
city_count_female;Леди;x
city_count_foa;Ваше Сиятельство;x
city_county;Город;x
city_county_of;Город;x
city_duke;Магистр;x
city_duke_female;Леди;x
city_duke_foa;Ваше Сиятельство;x
city_duchy;Великий Город;x
city_duchy_of;Великий Город;x
city_king;Лорд Магистр;x
city_king_female;Леди;x
city_king_foa;Ваше Сиятельство;x
city_kingdom;Вольный Город;x
city_kingdom_of;Вольный Город;x
city_emperor;Высший Магистр;x
city_emperor_female;Леди;x
city_emperor_foa;Ваша Милость;x
city_empire;Фригольд;x
city_empire_of;Фригольд;x
emperor_job_treasurer_andal;Мастер над монетой;x
emperor_job_treasurer_dornish;Мастер над монетой;x
emperor_job_treasurer_first_men;Мастер над монетой;x
emperor_job_treasurer_iron_isles_culture;Мастер над монетой;x
emperor_job_treasurer_rhoynar;Казначей;;;;;;;;;;x
LP_emperor_job_treasurer_andal;Мастер над монетой;x
LP_emperor_job_treasurer_dornish;Мастер над монетой;x
LP_emperor_job_treasurer_first_men;Мастер над монетой;x
LP_emperor_job_treasurer_iron_isles_culture;Мастер над монетой;x
LP_emperor_job_treasurer_rhoynar;Казначей;;;;;;;;;;x
oligarchy_emperor_job_treasurer_andal;Мастер над монетой;x
oligarchy_emperor_job_treasurer_dornish;Мастер над монетой;x
oligarchy_emperor_job_treasurer_first_men;Мастер над монетой;x
oligarchy_emperor_job_treasurer_iron_isles_culture;Мастер над монетой;x
oligarchy_emperor_job_treasurer_rhoynar;Казначей;;;;;;;;;;x
king_job_treasurer_andal;Мастер над монетой;x
king_job_treasurer_dornish;Мастер над монетой;x
king_job_treasurer_first_men;Мастер над монетой;x
king_job_treasurer_iron_isles_culture;Мастер над монетой;x
king_job_treasurer_rhoynar;Казначей;;;;;;;;;;;;;x
emperor_job_treasurer_female_andal;Мастер над монетой;x
emperor_job_treasurer_female_dornish;Мастер над монетой;x
emperor_job_treasurer_female_first_men;Мастер над монетой;x
emperor_job_treasurer_female_iron_isles_culture;Мастер над монетой;x
emperor_job_treasurer_female_rhoynar;Казначей;;;;;;;;;;x
LP_emperor_job_treasurer_female_andal;Мастер над монетой;x
LP_emperor_job_treasurer_female_dornish;Мастер над монетой;x
LP_emperor_job_treasurer_female_first_men;Мастер над монетой;x
LP_emperor_job_treasurer_female_iron_isles_culture;Мастер над монетой;x
LP_emperor_job_treasurer_female_rhoynar;Казначей;;;;;;;;;;x
oligarchy_emperor_job_treasurer_female_andal;Мастер над монетой;x
oligarchy_emperor_job_treasurer_female_dornish;Мастер над монетой;x
oligarchy_emperor_job_treasurer_female_first_men;Мастер над монетой;x
oligarchy_emperor_job_treasurer_female_iron_isles_culture;Мастер над монетой;x
oligarchy_emperor_job_treasurer_female_rhoynar;Казначей;;;;;;;;;;x
king_job_treasurer_female_andal;Мастер над монетой;x
king_job_treasurer_female_dornish;Мастер над монетой;x
king_job_treasurer_female_first_men;Мастер над монетой;x
king_job_treasurer_female_iron_isles_culture;Мастер над монетой;x
king_job_treasurer_female_rhoynar;Казначей;;;;;;;;;x
job_treasurer_andal;Казначей;x
job_treasurer_dornish;Казначей;x
job_treasurer_first_men;Казначей;x
job_treasurer_iron_isles_culture;Казначей;x
job_treasurer_western_valyrian;Казначей;x
emperor_job_chancellor_andal;Мастер над законами;x
emperor_job_chancellor_dornish;Мастер над законами;x
emperor_job_chancellor_first_men;Мастер над законами;x
emperor_job_chancellor_iron_isles_culture;Мастер над законами;x
emperor_job_chancellor_rhoynar;Юстициарий;;;;;;;;;x
LP_emperor_job_chancellor_andal;Мастер над законами;x
LP_emperor_job_chancellor_dornish;Мастер над законами;x
LP_emperor_job_chancellor_first_men;Мастер над законами;x
LP_emperor_job_chancellor_iron_isles_culture;Мастер над законами;x
LP_emperor_job_chancellor_rhoynar;Юстициарий;;;;;;;;;x
oligarchy_emperor_job_chancellor_andal;Мастер над законами;x
oligarchy_emperor_job_chancellor_dornish;Мастер над законами;x
oligarchy_emperor_job_chancellor_first_men;Мастер над законами;x
oligarchy_emperor_job_chancellor_iron_isles_culture;Мастер над законами;x
oligarchy_emperor_job_chancellor_rhoynar;Юстициарий;;;;;;;;;x
king_job_chancellor_andal;Мастер над законами;x
king_job_chancellor_dornish;Мастер над законами;x
king_job_chancellor_first_men;Мастер над законами;x
king_job_chancellor_iron_isles_culture;Мастер над законами;x
king_job_chancellor_rhoynar;Юстициарий;;;;;;;;;x
emperor_job_chancellor_female_andal;Мастер над законами;x
emperor_job_chancellor_female_dornish;Мастер над законами;x
emperor_job_chancellor_female_first_men;Мастер над законами;x
emperor_job_chancellor_female_iron_isles_culture;Мастер над законами;x
emperor_job_chancellor_female_rhoynar;Юстициарий;;;;;;;;;x
LP_emperor_job_chancellor_female_andal;Мастер над законами;x
LP_emperor_job_chancellor_female_dornish;Мастер над законами;x
LP_emperor_job_chancellor_female_first_men;Мастер над законами;x
LP_emperor_job_chancellor_female_iron_isles_culture;Мастер над законами;x
LP_emperor_job_chancellor_female_rhoynar;Юстициарий;;;;;;;;;x
oligarchy_emperor_job_chancellor_female_andal;Мастер над законами;x
oligarchy_emperor_job_chancellor_female_dornish;Мастер над законами;x
oligarchy_emperor_job_chancellor_female_first_men;Мастер над законами;x
oligarchy_emperor_job_chancellor_female_iron_isles_culture;Мастер над законами;x
