employed_cityguard;Домашняя Гвардия;x
employed_cityguard_desc;Нанять верных людей в домашнюю гвардию.;x
cityguard_busy;Домашняя гвардия выполняет свою задачу.;x
cityguard_drilling;Провести тренировки среди солдат домашней гвардии;x
employ_cityguard;Создание Домашней Гвардии;x
employ_cityguard_desc;Нанять группу верных солдат для создания домашней гвардии;x
disband_cityguard;Распустить вашу домашней гвардию.;x
disband_cityguard_desc;Распустить вашу домашнюю гвардию.;x
cityguard_menu;Командовать домашней гвардией;x
cityguard_menu_desc;Отдать приказы своим людям;x
TOOLTIP347790;Будут доступны приказы для вашей домашней гвардии\n;x
forced_training;Принудительное обучение;x
Household_defense;Улучшать оборону;x
burned_land;Выжженная земля;x
tyranny;Тираническое Правление;x
EVTDESC347790;[Root.PrimaryTitle.GetFOA], ваша Домашняя Гвардия готова к новому заданию.;x
EVTOPTA347790;Увеличить налоги в городе [Root.Capital.GetName];x
EVTOPTB347790;Оборонять;x
EVTOPTC347790;Принуждать;x
EVTOPTD347790;Ничего.;x
EVTDESC347791;[Root.PrimaryTitle.GetFOA], что бы вы хотели улучшить?;x
EVTOPTA347791;Подготавливать крестьян!;x
EVTOPTB347791;Пришло время обучать солдат.;x
EVTOPTD347791;Ничего.;x
EVTDESC347792;Как мы должны защитить город?;x
EVTOPTA347792;Защищайте город [Root.Capital.GetName]!;x
TOOLTIP347795;В течение следующего месяца оборонительные сооружения города [Root.Capital.GetName] должны быть улучшены;x
EVTOPTD347792;Ничего.;x
EVTDESC347793;[Root.PrimaryTitle.GetFOA], что мы должны исполнить?;x
EVTOPTA347793;Навести порядок на улицах!;x
EVTOPTB347793;Выжечь землю! Пусть наши враги погибнут от голода!;x
EVTOPTD347793;Ничего.;x
EVTDESC347795;[Root.PrimaryTitle.GetFOA], защита города [Root.Capital.GetName] была улучшена, как вы и пожелали. В настоящее время наш замок неприступен!;x
EVTOPTA347795;Хорошая работа;x
EVTDESC347796;Группа людей, лояльных Дому [Root.GetOnlyDynastyName] собрались вместе чтобы создать вашу домашнюю гвардию. Они будут защищать вашу семью любой ценой и могут быть приняты на работу в город [Root.Capital.GetName]. ;x
EVTOPTA347796;Замечательно!;x
TOOLTIP347796;Чтобы выдать команды, сначала назначьте Капитана вашей Домашней Гвардии в почетных званиях, затем в интригах нажмите 'Приказы домашней гвардии'\n;x
EVTTOOLTIP347790;Забраны несколько крестьян для подготовки к военной службе.;x
EVTTOOLTIP347791;Варианты ведения оборонительной войны.;x
EVTTOOLTIP347792;Навести порядок в городе и выжечь землю.;x
capital_defense;Оборона столицы.;x
TOOLTIPapponted_captain_guard;Вы назначили капитана вашей личной гвардии\n(Капитан гвардии назначается почетным званием, он долже быть взрослым и хотя бы обученным воином, и не являться советником или рабом)\n;x
title_captain_of_guard;Капитан Домашней Гвардии;x
title_captain_of_guard_desc;Капитан Домашней Гвардии - это почетная должность для того человека, которому доверяете Вы и Ваш Дом. Его обязанности - обучение гвардии и защита Вашей семьи.;x
ca_household_guard;Домашняя гвардия;x
ca_household_guard_desc;Группа вооруженных гвардейцев служат в домашней гвардии.\n\nЧтобы отдавать команды, сначала назначьте капитана вашей гвардии в меню почетных званий, затем нажмите на интриги и нажмите 'Командовать домашней гвардией' в решениях;x
ct_household_guard;Домашняя гвардия;x
fp_household_guard;Домашняя гвардия;x
TOOLTIPhousehold_guardDECISION;Домашняя Гвардия была основана через решение в меню интриг;x
