#CODE;ENGLISH;x;;;
WARNING: SPOILERS ARE IN THIS FILE;;x;;;
EVTDESC2220000;Только что прилетел ворон. Печально известный отряд наемников Младшие Сыны, под командованием Бена Пламма вышел в море. Бен способен захватить наши земли себе!;x;;;
EVTOPTA2220000;Бен Пламм прибыл!;x;;;
EVTDESC2220001;Вороны принесли известие, что Бен Пламм с десятитысячной армией вторгся в Вестерос. Они могут оказаться большой угрозой.;x;;;
d_second_sons;Младшие Сыны;x;;;
COMMANDER_SS;Коммандующий;x;;;
COMMANDER_FOA_SS;Лорд-Коммандующий;x;;;
CB_NAME_MINI_INVASION;Вернуть Вотчину;x;;;
WAR_NAME_MINI_INVASION;$ORDER$ $FIRST_ADJ$ объявляет войну $SECOND$ чтобы вернуть исконные земли;x;;;
EVTDESC2220002;Только что прилетел ворон. Горные кланы Долины были объединены одним лидером и мобилизовались для нанесения удара!;x;;;
EVTDESC2220003;Только что прилетел ворон. Горные кланы Долины были объединены одним лидером и мобилизовались для нанесения удара!;x;;;
CHIEF_BITE;Верховный Вождь;x;;;
CHIEF_BITE_FOA;Верховный Вождь;x;;;
d_mountain_clans;Горные Кланы;x;;;
EVTDESCinvasions.4;На многие лиги к югу от Дорна в Летнем на море лежат Летние острова. Туземцы этой земли – люди с черной кожей, которые носят плащи пестрых цветов из перьев и участвуют в развратных примитивных ритуалах. Теперь, похоже, они объединены одним королем и, имея армию вторжения, готовы высадиться на побережье земли [Root.GetName]!;x;;;
EVTDESCinvasions.6;Во многих лигах на юг от Дорна в Летнем Море лежат Летние Острова. На нем проживают чернокожие люди, которые говорят на своем языке, а в одежде предпочитают плащи из разноцветных перьев. Теперь они объединены одним предводителем и готовятся вторгнуться на побережье земли [From.GetName]!;x;;;
EVTNAMEinvasions.6;Bторжение с Летних Островов;x;;;
EVTNAMEinvasions.1;Bторжение Эйгона Таргариена;x;;;
EVTDESCinvasions.1;Молодой сребреволосый человек высадился в Вестеросе, утверждая, что он Эйгон VI, сын Рейгара Таргариена и законный наследник Семи Королевств. По широко распространенному мнению он погиб от руки Григора Клигана в Красном Замке. Его сестра Рейнис и мать Элия были убиты людьми Тайвина Ланнистера. Вторжение Эйгона Таргариена подразумевает, что он не погиб в ту ночь, а был подменен крестьянским ребенком. Теперь он вернулся восстановить свои притязания на трон с армией Золотых Мечей...;x;;;
EVTOPTAinvasions.1;Золотые Мечи будут поддерживать его!;x;;;
EVTOPTBinvasions.1;Да Здравствует Истинный Король!;x;;;
EVTOPTCinvasions.1;Эйгон мертв, он ряженый дракон;x;;;
EVTOPTdinvasions.1;Мы должны раздавить этого узурпатора;x;;;
TOOLTIPAEGONLANDS;Эйгон с Золотыми Мечами начнет войну, претендуя на трон;x;;;
EVTDESCinvasions.2;Наша армия должна идти за Эйгоном!;x;;;
EVTOPTAinvasions.2;Многие лета Королю!;x;;;
TOOLTIPAEGONSHERITAGE;Эйгон Таргариен впредь будет признаваться законным сыном Рейгара Таргариена и Элии Дорнийской\n;x;;;
young_griff_targaryen;Узаконить ваше Таргариенское наследие;x;;;
young_griff_targaryen_desc;Издать указ, официально легализовав свой статус как Таргариена и законного наследника Рейгара Таргариена;x;;;
EVTDESCinvasions.3;Железный Трон был отвоеван для дома Таргариен, род Рейгара восстановлен. Сейчас Золотые Мечи даровали мне Валирийской клинок Черное Пламя, двуручный меч, который они хранили со времен Эйгора Злого Клинка, ожидая, восстановления законного правителя Семи Королевств.;x;;;
EVTOPTAinvasions.3;Место для меча – кровь дракона;x;;;
dragon_conquest_desc;Этот Casus Belli может использовать §Y$CLAIMANT$§! при требовании титула §Y$TITLE$§! по праву завоевания, в силу того, что является наездником дракона.;x;;;
dragon_conquest;Завоевание Дракона;x;;;
