#CODE;ENGLISH;x
EVTTITLEironborn_events.10;Утопление;x
EVTDESCironborn_events.10;Волны бьются о борт вашего корабля, его шатает из стороны в сторону. Команда отчаянно пытается опустить паруса. Вы хотите добраться до своей каюты, но вас швыряет по палубе. В судно попадает молния и глаза окутывает темная пелена… Придя в сознании вы обнаруживаете, что лежите на берегу, выплевывая воду из груди. В голове мелькают видения чертогов Утонувшего Бога. Вы утонули, но все равно остались живым!;x
EVTOPTAironborn_events.10;То, что мертво, умереть не может, но восстает вновь, сильнее и крепче, чем прежде!;x
drowned;Утонул[_];x
drowned_desc;Этот персонаж видел чертоги Утонувшего Бога. То, что мертво, умереть не может, но восстает вновь, сильнее и крепче, чем прежде!;x
EVTDESCironborn_events.12;Пьяница бросает вам вызов в пляске перстов.;x
EVTOPTAironborn_events.12;Я принимаю вызов.;x
EVTOPTBironborn_events.12;Я отклоняю вызов.;x
EVTDESCironborn_events.13;Ваш сын появляется при дворе в бархатном камзоле и с невыносимым гордым видом.;x
EVTOPTAironborn_events.13;Скажи мне, ты отплатил за эту цацку на шее железом или золотом?;x
EVTTOOLTIPironborn_events.14;Ваш сын собирается ответить...;x
EVTOPTBironborn_events.13;Не мое дело, куда он тратит свои деньги.;x
EVTDESCironborn_events.14;Ваш отец спрашивает: где вы взяли бархатный камзол, что одет на вас...;x
EVTOPTAironborn_events.14;Я участвовал в налете на корабль и предыдущий владелец этого камзола теперь служит Утонувшему Богу.;x
EVTOPTBironborn_events.14;Я купил это у портового торговца.;x
EVTTOOLTIPironborn_events.15;Мой отец должен гордиться!;x
EVTDESCironborn_events.15;Ваш сын говорит, что вчера участвовал в налете на корабль и предыдущий владелец этого камзола теперь служит Утонувшему Богу.;x
EVTTOOLTIPironborn_events.16;Возможно отцу это не понравится...;x
EVTDESCironborn_events.16;Ваш сын говорит, что купил это у портового торговца.;x
EVTOPTAironborn_events.15;Я горд за тебя!;x
EVTOPTAironborn_events.16;Мой сын не будет одеваться как девчонка.;x
CB_NAME_IRONBORN_RAID;Заплатите железную цену;x
WAR_NAME_IRONBORN_RAID;$ORDER$ $FIRST_ADJ$ Рейд на $SECOND$;x
CB_NAME_IRON_CONQUEST;Завоевание для Утонувшего бога;x
WAR_NAME_IRON_CONQUEST;$ORDER$ $FIRST_ADJ$ Вторжение в $SECOND$;x
ironborn_invasionFACTION;Сила фракции лоялистов §Y75%§!\n;x
