#CODE;ENGLISH;x
######Hightower Nicknames;x
nick_the_black_tower;Чёрная Башня;x
nick_the_white_tower;Белая Башня;x
nick_the_crazed_tower;Безумная Башня;x
nick_the_wild_tower;Дикая Башня;x
nick_the_harmless_tower;Красная Башня;x
nick_the_big_tower;Высокая Башня;x
nick_the_strong_tower;Сильная Башня;x
nick_the_charming_tower;Справедливая Башня;x
nick_the_grotesque_tower;Разрушенная Башня;x
nick_the_little_tower;Низкая Башня;x
nick_the_wise_tower;Мудрая Башня;x
nick_the_simple_tower;Вялая Башня;x
nick_the_learned_tower;Темная Башня;x
nick_the_delicate_tower;Хрупкая Башня;x
nick_the_suspicious_tower;Серебряная Башня;x
nick_the_headstrong_tower;Старая Башня;x
nick_the_tower_knight;[This.GetNicknameWarrior]-Башня;x
######Manderly Nicknames;x
nick_the_black_merman;Чёрный Водяной;x
nick_the_white_merman;Белый Водяной;x
nick_the_crazed_merman;Безумный Водяной;x
nick_the_wild_merman;Дикий Водяной;x
nick_the_harmless_merman;Красный Водяной;x
nick_the_big_merman;Большой Водяной;x
nick_the_strong_merman;Сильный Водяной;x
nick_the_charming_merman;Обаятельный Водяной;x
nick_the_grotesque_merman;Нериглядный Водяной;x
nick_the_little_merman;Маленький Водяной;x
nick_the_wise_merman;Мудрый Водяной;x
nick_the_simple_merman;Вялый Водяной;x
nick_the_learned_merman;Темный Водяной;x
nick_the_delicate_merman;Увечный Водяной;x
nick_the_suspicious_merman;Серебряный Водяной;x
nick_the_headstrong_merman;Старый Водяной;x
####Shablone - Female;x
nick_the_black_mermaid;Чёрная Русалка;x
nick_the_white_mermaid;Белая Русалка;x
nick_the_crazed_mermaid;Безумная Русалка;x
nick_the_wild_mermaid;Дикая Русалка;x
nick_the_harmless_mermaid;Красная Русалка;x
nick_the_big_mermaid;Большая Русалка;x
nick_the_strong_mermaid;Сильная Русалка;x
nick_the_charming_mermaid;Обаятельная Русалка;x
nick_the_grotesque_mermaid;Неприглядная Русалка;x
nick_the_little_mermaid;Маленькая Русалка;x
nick_the_wise_mermaid;Хитрая Русалка;x
nick_the_simple_mermaid;Скучная Русалка;x
nick_the_learned_mermaid;Темная Русалка;x
nick_the_delicate_mermaid;Вялая Русалка;x
nick_the_suspicious_mermaid;Серебрянная Русалка;x
nick_the_headstrong_mermaid;Старая Русалка;x
######Mormont Nicknames;x
nick_the_black_bear;Чёрный Медведь;x
nick_the_white_bear;Белый Медведь;x
nick_the_crazed_bear;Безумный Медведь;x
nick_the_wild_bear;Дикий  Медведь;x
nick_the_harmless_bear;Красный Медведь;x
nick_the_big_bear;Великий медведь;x
nick_the_strong_bear;Сильный Медведь;x
nick_the_charming_bear;Добродушный Медведь;x
nick_the_grotesque_bear;Сломленный Медведь;x
nick_the_little_bear;Маленький Медведь;x
nick_the_wise_bear;Мудрый Медведь;x
nick_the_simple_bear;Скромный Медведь;x
nick_the_learned_bear;Темный Медведь;x
nick_the_delicate_bear;Вялый Медведь;x
nick_the_suspicious_bear;Серебрянный Медведь;x
nick_the_headstrong_bear;Старый Медведь;x
nick_the_bear_knight;[This.GetNicknameWarrior]-Медведь;x
######Arryn Nicknames;x
nick_the_black_falcon;Чёрный Сокол;x
nick_the_white_falcon;Белый Сокол;x
nick_the_crazed_falcon;Безумный Сокол;x
nick_the_wild_falcon;Дикий Сокол;x
