#CODE;ENGLISH;x
d_merc_inf_1;Пехота наемников;x
d_merc_inf_2;Пехота наемников;x
d_merc_inf_3;Пехота наемников;x
d_merc_inf_4;Пехота наемников;x
d_merc_inf_5;Пехота наемников;x
d_merc_inf_6;Пехота наемников;x
d_merc_inf_7;Пехота наемников;x
d_merc_inf_8;Пехота наемников;x
d_merc_inf_9;Пехота наемников;x
d_merc_inf_10;Пехота наемников;x
d_merc_inf_11;Пехота наемников;x
d_merc_inf_12;Пехота наемников;x
d_merc_inf_13;Рейдеры железнорожденных;x
d_merc_dornishspears_1;Дорнийские копейщики;x
d_merc_dornishspears_2;Дорнийские копейщики;x
d_merc_dornishspears_3;Дорнийские копейщики;x
d_merc_dornishspears_4;Дорнийские копейщики;x
d_merc_dornishspears_5;Дорнийские копейщики;x
d_merc_dornishspears_6;Дорнийские копейщики;x
d_merc_hedgeknight_1;Межевые рыцари;x
d_merc_hedgeknight_2;Межевые рыцари;x
d_merc_hedgeknight_3;Межевые рыцари;x
d_merc_hedgeknight_4;Межевые рыцари;x
d_merc_hedgeknight_5;Межевые рыцари;x
d_merc_hedgeknight_6;Межевые рыцари;x
d_merc_hedgeknight_7;Межевые рыцари;x
d_merc_hedgeknight_8;Межевые рыцари;x
d_merc_hedgeknight_9;Межевые рыцари;x
d_merc_hedgeknight_10;Межевые рыцари;x
d_merc_fleet_1;Флот Наемников;x
d_merc_fleet_2;Флот Наемников;x
d_merc_fleet_3;Флот Наемников;x
d_merc_fleet_4;Флот Наемников;x
d_merc_fleet_5;Флот Наемников;x
d_merc_fleet_6;Флот Наемников;x
d_merc_fleet_7;Флот Наемников;x
d_merc_fleet_8;Флот Наемников;x
d_merc_fleet_9;Флот Наемников;x
d_merc_fleet_10;Флот Наемников;x
CAPTAINGENERAL;Капитан-Генерал;x
d_golden_company;Золотые Мечи;x
employ_golden_company;Попытаться нанять на службу Золотых Мечей;x
employ_golden_company_desc;Отправить Мастера над Законом за Узкое море, чтобы он попытался нанять Золотых Мечей. Как известно, в их отряде §Y10000§! мужей и найм их стоит более §Y900§! Драконов;x
TOOLTIPfree_cities.2;[Root.job_chancellor.GetTitledFirstNameWithDynastyAndTitleNoRegnal] попытается нанять Золотых Мечей за Узким морем;x
EVTDESCfree_cities.2;[From.GetFirstNameWithDynasty] желает нанять Золотых Мечей.;x
EVTOPTAfree_cities.2;При условиичто я получу достойную награду.;x
EVTOPTBfree_cities.2;Да, это может выгодно.;x
EVTOPTCfree_cities.2;Я так не думаю;x
EVTDESCfree_cities.3;[Root.GetTitle] [Root.GetFirstNameWithDynasty], Ваше предложение, чтобы мы сражались за вас, очень заманчиво. Если вы предложите мне личное вознаграждение, думаю, мы согласимся. \n\n С уважением,\n[From.GetFirstNameWithDynasty];x
TOOLTIPGOLDENCOMPANY500;[From.GetFirstNameWithDynasty] получит §Y500§! драконов из вашей казны.\n;x
TOOLTIPGOLDENCOMPANY400;[From.GetFirstNameWithDynasty] получит §Y400§! драконов из вашей казны\n;x
TOOLTIPGOLDENCOMPANY300;[From.GetFirstNameWithDynasty] получит §Y300§! драконов из вашей казны\n;x
TOOLTIPGOLDENCOMPANY200;[From.GetFirstNameWithDynasty] получит §Y200§! драконов из вашей казны\n;x
TOOLTIPGOLDENCOMPANY100;[From.GetFirstNameWithDynasty] получит §Y100§! драконов из вашей казны\n;x
TOOLTIPCANHIREGOLDENCOMPANY;Вы можете нанять Золотые Мечи в полном обмундировании за 900¤\n;x
