#CODE;ENGLISH;x;;;;;;;;;;;;;
k_nightswatch;Ночной Дозор;x;;;;;;;;;;;;;
NIGHTS_KING;Король Ночи;x;;;;;;;;;;;;;
NIGHTS_KING_female;Королева Ночи;x;;;;;;;;;;;;;
NIGHTS_KING_FOA;Ваша Светлость;x;;;;;;;;;;;;;
d_nightswatch;Ночной Дозор;x;;;;;;;;;;;;;
d_the_wall;Стена;x;;;;;;;;;;;;;
c_castle_black;Чёрный Замок;x;;;;;;;;;;;;;
c_shadow_tower;Сумеречная Башня;x;;;;;;;;;;;;;
c_eastwatch;Восточный Дозор;x;;;;;;;;;;;;;
c_brandons_gift;Брандонов Дар;x;;;;;;;;;;;;;
c_new_gift;Новый Дар;x;;;;;;;;;;;;;
b_castle_black;Чёрный Замок;x;;;;;;;;;;;;;
b_shadow_tower;Сумеречная Башня;x;;;;;;;;;;;;;
b_eastwatch;Восточный Дозор у моря;x;;;;;;;;;;;;;
b_moles_town;Кротовый Городок;x;;;;;;;;;;;;;
b_queenscrown;Корона Королевы;x;;;;;;;;;;;;;
b_northfort;Железная марка;x;;;;;;;;;;;;;
b_ironmark;Ледовый Порог;x;;;;;;;;;;;;;
b_the_nightfort;Твердыня Ночи;x;;;;;;;;;;;;;
b_deep_lake;Глубокое Озеро;x;;;;;;;;;;;;;
b_queensgate;Врата Королевы;x;;;;;;;;;;;;;
B_SNOWGATE;Снежные Врата;x;;;;;;;;;;;;;
b_oakenshield;Дубовый Щит;x;;;;;;;;;;;;;
b_woodswatch;Лесной Дозор у пруда;x;;;;;;;;;;;;;
b_westwatch;Западный Дозор у моста;x;;;;;;;;;;;;;
b_sentinel_stand;Сторожевая Вышка;x;;;;;;;;;;;;;
b_greyguard;Серый Страж;x;;;;;;;;;;;;;
b_stonedoor;Каменная Дверь;x;;;;;;;;;;;;;
b_hoarfrost_hill;Вымороженный Холм;x;;;;;;;;;;;;;
b_sable_hall;Соболий Зал;x;;;;;;;;;;;;;
b_rimegate;Инистые Врата;x;;;;;;;;;;;;;
b_the_long_barrow;Длинный Пригорок;x;;;;;;;;;;;;;
b_the_torches;Сигнальная Башня;x;;;;;;;;;;;;;
b_greenguard;Зеленый Страж;x;;;;;;;;;;;;;
b_brandoncastle;Замок Брандона;x;;;;;;;;;;;;;
b_north_town;Северная Башня;x;;;;;;;;;;;;;
b_roads_end;Конец дорог;x;;;;;;;;;;;;;
b_whitecross;Белый крест;x;;;;;;;;;;;;;
EVTDESCnightswatch.1;Я устал править своими землями. Титул [Root.GetTitle] не для таких старых людей, как я. Возможно, было бы лучше отправиться на Стену и надеть черное? Тогда юн[Root.Heir.GetAyaYy] [Root.Heir.GetTitledFirstName] возглавит владение [Root.PrimaryTitle.GetName].;x;;;;;;;;;;;;;
EVTOPTAnightswatch.1;Я попрошу разрешения у своего сюзерена;x;;;;;;;;;;;;;
EVTOPTBnightswatch.1;Да, я должен вступить в Ночной Дозор;x;;;;;;;;;;;;;
EVTOPTCnightswatch.1;Я не стану тратить свои дни в землях вечного холода;x;;;;;;;;;;;;;
EVTDESCnightswatch.2;[Root.PrimaryTitle.GetFOA], я, [From.GetTitledFirstNameWithDynasty], прошу разрешить мне одеть чёрное и стать братом Ночного Дозора.;x;;;;;;;;;;;;;
EVTDESCnightswatch.299;Всем моим подданным. Я решил, что все что мог сделать, я сделал как [From.GetTitle], и сейчас лучше всего послужить государству я могу, облачившись в черное и вступив в ряды Ночного Дозора. Я отрекаюсь и мне наследует [Root.Heir.GetTitledFirstNameNoRegnal] [Root.Heir.GetOnlyDynastyName].\n\nПодпись,\n[From.GetTitledFirstName] из Дома [From.GetOnlyDynastyName];x;;;;;;;;;;;;;
EVTOPTA999900004;Я даю вам разрешение, служите с честью!;x;;;;;;;;;;;;;
EVTOPTB999900004;Нет, ваше место здесь;x;;;;;;;;;;;;;
EVTOPTD999900004;Нет, сын мой, ты не пойдешь в Дозор;x;;;;;;;;;;;;;
EVTOPTC999900004;Ты мой наследник, ты не можешь уйти;x;;;;;;;;;;;;;
opinion_refused_nightswatch;Не допущен в Ночной Дозор;x;;;;;;;;;;;;;
EVTDESCnightswatch.3;Вы решили, что [From.GetTitledName] должен быть лишён всякого звания и титула и изгнан из страны под страхом смерти. Но возможно отправка его в Ночной Дозор будет лучшим решением? Ведь помощь Дозорным будет считаться благородным поступком..;x;;;;;;;;;;;;;
EVTOPTAnightswatch.3;Он будет полезен на Стене;x;;;;;;;;;;;;;
EVTOPTBnightswatch.3;Я не буду оплачивать его поездку;x;;;;;;;;;;;;;
EVTDESCnightswatch.4;Как Лорд-Rомандующий Ночного Дозора, в настоящий момент я владею титулами которые не принадлежат мне по закону. Что с ними делать?;x;;;;;;;;;;;;;
EVTOPTAnightswatch.4;Мои клятвы диктуют, что я должен их отдать;x;;;;;;;;;;;;;
EVTDESCnightswatch.5;В настоящий момент в моём распоряжении находятся титулы, которые должны принадлежать братьям Ночного Дозора, может, мне стоит их вернуть?;x;;;;;;;;;;;;;
EVTOPTAnightswatch.5;Да, это будет правильно;x;;;;;;;;;;;;;
EVTDESCnightswatch.6;Я - брат Ночного Дозора;x;;;;;;;;;;;;;
EVTOPTAnightswatch.6;Я поклялся в верности Ночному Дозору;x;;;;;;;;;;;;;
EVTOPTBnightswatch.6;Я - Мейстер, я не могу командовать;x;;;;;;;;;;;;;
EVTOPTCnightswatch.6;Я - Мейстер, я не могу быть Лордом-Командующим;x;;;;;;;;;;;;;
EVTOPTDnightswatch.6;Вернуться к Дозору;x;;;;;;;;;;;;;
EVTOPTEnightswatch.6;Ночной Дозор - не торговая республика!;x;;;;;;;;;;;;;
EVTOPTFnightswatch.6;Я должен отказаться от старых путей;x;;;;;;;;;;;;;
EVTOPTGnightswatch.6;Я не прийму ни земель, ни титулов;x;;;;;;;;;;;;;
EVTOPTHnightswatch.6;Я более не королевский гвардеец;x;;;;;;;;;;;;;
EVTDESCnightswatch.7;По традициям Ночного Дозора, все его братья равны между собой и в своих правах.;x;;;;;;;;;;;;;
EVTOPTAnightswatch.7;Я должен соблюдать этот закон;x;;;;;;;;;;;;;
title_first_ranger;Первый Разведчик;x;;;;;;;;;;;;;
title_first_ranger_desc;Первый Разведчик - это глава разведчиков, офицер отвечающий непосредственно за боевые силы Ночного Дозора.;x;;;;;;;;;;;;;
title_first_steward;Лорд-стюард;x;;;;;;;;;;;;;
title_first_steward_desc;Лорд-стюард - это глава стюардов и офицер ответственный за снабжение Ночного Дозора.;x;;;;;;;;;;;;;
title_first_builder;Первый Строитель;x;;;;;;;;;;;;;
title_first_builder_desc;Первый Строитель - это глава строителей Ночного Дозора, и офицер ответственный за состояние Стены.;x;;;;;;;;;;;;;
nw_ranger;Разведчик;x;;;;;;;;;;;;;
nw_steward;Стюард;x;;;;;;;;;;;;;
nw_builder;Строитель;x;;;;;;;;;;;;;
EVTTITLEnightswatch.8;Ваш дозор начался;x;;;;;;;;;;;;;
