#CODE;ENGLISH;x;;;
EVTDESCPIRATE1;Вы пират. Пираты не служат никому, кроме себя и своих амбиций, не связывают себя клятвами и не придерживаются глупых законов. Пират признает два типа вещей: то, чем уже завладел и то, что еще предстоит отнять.;x;;;
EVTOPTAPIRATE1;Такая жизнь по мне.;x;;;
EVTDESCPIRATE2;Вы отвернулись от пиратства и теперь люди уважают вас больше.;x;;;
EVTDESCPIRATE3;Пираты следуют за сильным лидером и, не колеблясь, свергают недостойного, по их мнению, предводителя. Шайка ваших людей в области [Root.GetName] посчитали вас слабым и подняли открытый мятеж.;x;;;
EVTDESCPIRATE4;Недовольные вашим руководством, мятежники восстали в области [From.GetName]!;x;;;
EVTDESCpirate.7;Пираты не признают право наследования и поддерживают только сильных приемников. [Root.Heir.GetFirstName] [Root.Heir.GetOnlyDynastyName] не имеет достаточного уважения у капитанов и, по-этому, ваши титулы умирают вместе с вами.;x;;;
EVTOPTApirate.7;[Root.Heir.GetSheHeCap] долж[Root.Heir.GetNaEn] будет отбить их обратно;x;;;
EVTDESCpirate.8;Пираты не признают право наследования и, не колеблясь, откажутся от слабого приемника. Ваш[Root.Heir.GetEndA] наследни[Root.Heir.GetTsaK], [Root.Heir.GetFirstName] [Root.Heir.GetOnlyDynastyName], не вызывает уважения у капитанов и ваши титулы умрут вместе с вами.;x;;;
EVTDESCpirate.8B;Пираты не обязательно следуют строгим правилам наследования и, не колеблясь, откажутся от наследника, который их не удовлетворит. Ваш[Root.Heir.GetEndA] наследни[Root.Heir.GetTsaK], [Root.Heir.GetFirstName] [Root.Heir.GetOnlyDynastyName], не практикует пиратство и не уважается людьми, и поэтому ваше правление умрет вместе с вами, когда придет ваш час.;x;;;
EVTOPTApirate.8;Мой наследник должен стать лучше;x;;;
TOOLTIPpirate.8;Для наследника пирата, чтобы сохранить верховную власть, он должен быть §Yдееспособным взрослым пиратом§! и иметь одно из следующего:\n-10 военного умения\n-10 дипломатии\n-500 престижа\n- быть грозным воином\n\n§YЖенщины§! наследницы разрешены только в том случае, если пират имеет традиционную §Yистинно когнатическую§! культуру И их §Yстолица§! относится к одной и той же группе;x;;;
EVTOPTBpirate.8;Я знаю пиратские законы;x;;;
pirate_invasion;Пиратское вторжение;x;;;
pirate_invasion_desc;Этот повод для войны может быть использован §Y$CLAIMANT$§! для вторжения §Y$TITLE$§!, сделав его владением пиратов;x;;;
CB_NAME_PIRATE_INVASION;Пиратсткое вторжение в землю [Title.GetName];x;;;
WAR_NAME_PIRATE_INVASION;$CLAIMANT$ $ORDER$ вторжение в землю $OTHER_TITLE$;x;;;
PIRATE_REVOLT;[Root.County.GetAdjective] бунт;x;;;
ca_asoiaf_pirateshipyard_desc;Пиратская верфь;x;;;
ca_asoiaf_pirateshipyard;Пиратское логово;x;;;
ca_asoiaf_pirateshipyard_2;Крупное пиратсткое логово;x;;;
ca_asoiaf_pirateshipyard_3;Пиратский порт;x;;;
ca_asoiaf_pirateshipyard_4;Крупный пиратсткий порт;x;;;
ca_asoiaf_pirateshipyard_5;Пиратская крепость;x;;;
pirate;Пират;x;;;
pirate_desc;Эт[GetEtaEtot] [GetAgedPerson] - пират;x;;;
pirate_fleet_1;Пиратский Капитан;x;;;
pirate_fleet_1_desc;§GУровень 1§!, §Y100§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_2;Пиратский Капитан;x;;;
pirate_fleet_2_desc;§GУровень 2§!, §Y200§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_3;Пиратский Капитан;x;;;
pirate_fleet_3_desc;§GУровень 3§!, §Y300§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_4;Пиратский Капитан;x;;;
pirate_fleet_4_desc;§GУровень 4§!, §Y400§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_5;Пиратский Капитан;x;;;
pirate_fleet_5_desc;§GУровень 5§!, §Y500§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_6;Пиратский Капитан;x;;;
pirate_fleet_6_desc;§GУровень 6§!, §Y600§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_7;Пиратский Капитан;x;;;
pirate_fleet_7_desc;§GУровень 7§!, §Y700§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_8;Пиратский Капитан;x;;;
pirate_fleet_8_desc;§GУровень 8§!, §Y800§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_9;Пиратский Капитан;x;;;
pirate_fleet_9_desc;§GУровень 9§!, §Y900§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_10;Пиратский Капитан;x;;;
pirate_fleet_10_desc;§GУровень 10§!, §Y1000§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_11;Пиратский Капитан;x;;;
pirate_fleet_11_desc;§GУровень 11§!, §Y1100§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
pirate_fleet_12;Пиратский Капитан;x;;;
pirate_fleet_12_desc;§GУровень 12§!, §Y1200§! престижа\nПират ничему не служит, кроме своих собственных амбиций, вы не преданы ни дому, ни человеку, и вам плевать на любые законы. Быть пиратом - значит признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые еще нужно добыть.;x;;;
