#CODE;ENGLISH;x
PROV1;Земли Вечной Зимы;x
PROV2;Тенния;x
PROV3;Северные Клыки Мороза;x
PROV4;Стылый Берег;x
PROV5;Воющий Перевал;x
PROV6;Дрожащий Лес;x
PROV7;Берег Ледяного Залива;x
PROV8;Центральные Клыки Мороза;x
PROV9;Кулак Первых Людей;x
PROV10;Долина Оленьего Рога;x
PROV11;Замок Крастера;x
PROV12;Белое Древо;x
PROV13;Зачарованный Лес;x
PROV14;Суровый Дом;x
PROV15;Теснина;x
PROV16;Сумеречная Башня;x
PROV17;Черный Замок;x
PROV18;Восточный Дозор;x
PROV19;Брандонов Дар;x
PROV20;Новый Дар;x
PROV21;Вороний Край;x
PROV22;Арренделл;x
PROV23;Пайнсенд;x
PROV24;Тенистое Болото;x
PROV25;Последний Очаг;x
PROV26;Берег Тюленьего Залива;x
PROV27;Вершина;x
PROV28;Последняя Река;x
PROV29;Кархолд;x
PROV30;Недра;x
PROV31;Королевский Дом;x
PROV32;Плавник;x
PROV33;Медвежий Остров;x
PROV34;Мыс Морского Дракона;x
PROV35;Темнолесье;x
PROV36;Черная Заводь;x
PROV37;Железный Холм;x
PROV38;Королевская Роща;x
PROV39;Волчий Лес;x
PROV40;Каменный Берег;x
PROV41;Родники;x
PROV42;Увядший Вереск;x
PROV43;Родниковая Переправа;x
PROV44;Торрхенов Удел;x
PROV45;Златотравье;x
PROV46;Барроутон;x
PROV47;Винтерфелл;x
PROV48;Желудевая Роща;x
PROV49;Замок Сервинов;x
PROV50;Одинокие Холмы;x
PROV51;Истмелт;x
PROV52;Рыдающий Залив;x
PROV53;Дредфорт;x
PROV54;Рассветный Лес;x
PROV55;Бараньи Лбы;x
PROV56;Овертон;x
PROV57;Королевский Тракт;x
PROV58;Белый Нож;x
PROV59;Этеринг;x
PROV60;Хорнвуд;x
PROV61;Уайтфорд;x
PROV62;Белая Гавань;x
PROV63;Бараньи Ворота;x
PROV64;Вдовий Дозор;x
PROV65;Старый Замок;x
PROV66;Ров Кейлин;x
PROV67;Горячка;x
PROV68;Грейкранн;x
PROV69;Чарвелл;x
PROV70;Сильверид;x
PROV71;Дозор в Сероводье;x
PROV72;Мыс Кракена;x
PROV73;Кремниевый Палец;x
PROV74;Кремниевые Утесы;x
PROV75;Глубокая Чаща;x
PROV76;Орлиный Мыс;x
PROV77;Близнецы;x
PROV78;Земли Фреев;x
PROV79;Сигард;x
PROV80;Рашмур;x
PROV81;Старые Камни;x
PROV82;Безмолвная Топь;x
PROV83;Эренфорд;x
PROV84;Викомб;x
PROV85;Ласточкин залив;x
PROV86;Грейвсхем;x
PROV87;Девичий Камень;x
PROV88;Темный Прилив;x
PROV89;Ярморочное поле;x
PROV90;Чернолесная долина;x
PROV91;Каменная Ограда;x
PROV92;Синий Зубец;x
PROV93;Филдстон;x
PROV94;Дарри;x
PROV95;Чилтерн;x
PROV96;Крепость Личестеров;x
PROV97;Город Харроуэя;x
PROV98;Солеварни;x
PROV99;Золотые холмы;x
PROV100;Крутящийся Мост;x
PROV101;Риверран;x
PROV102;Рубленый Камень;x
PROV103;Лоллистон;x
PROV104;Высокое Сердце;x
PROV105;Приют Странника;x
PROV106;Гудбрук;x
PROV107;Харренхол;x
PROV108;Ивовая Роща;x
PROV109;Девичий Пруд;x
PROV110;Розовая Дева;x
PROV111;Желуди;x
PROV112;Каменная септа;x
PROV113;Деддингтон;x
PROV114;Атранта;x
PROV115;Шорхем;x
PROV116;Эсгарот;x
PROV117;Остров Ликов;x
PROV118;Длинная Сестра;x
PROV119;Сладкая Сестра;x
PROV120;Малая Сестра;x
PROV121;Галечный остров;x
PROV122;Сосцы;x
PROV123;Вороньи Пустоши;x
PROV124;Выжженная Долина;x
PROV125;Резермонт;x
PROV126;Стылые Воды;x
PROV127;Уиклиф;x
PROV128;Мидлор;x
PROV129;Серолунье;x
PROV130;Новая Крепость;x
PROV131;Змеиный Лес;x
PROV132;Рассветная Крепость;x
PROV133;Суровая Песнь;x
PROV134;Каменная голова;x
PROV135;Утес Короны;x
PROV136;Орлиное Гнездо;x
PROV137;Дом Сердец;x
PROV138;Апклифф;x
PROV139;Длинный Лук;x
PROV140;Кровавые Врата;x
PROV141;Серая Лощина;x
PROV142;Железный Дуб;x
PROV143;Старый Якорь;x
PROV144;Редфорт;x
PROV145;Девять Звезд;x
PROV146;Крабовый берег;x
PROV147;Викенден;x
PROV148;Суровая долина;x
PROV149;Чаячий Город;x
PROV150;Рунный Камень;x
PROV151;Мыс Тюленьей Шкуры;x
PROV152;Хаммерхорн;x
PROV153;Пебблтон;x
PROV154;Старый Вик;x
PROV155;Черная Волна;x
PROV156;Оркмонт;x
PROV157;Волмарк;x
PROV158;Десять Башен;x
PROV159;Стоунтри;x
PROV160;Соленый Утес;x
PROV161;Лордпорт;x
PROV162;Пайк;x
PROV163;Погибельная Крепость;x
PROV164;Скала;x
PROV165;Глиттерделл;x
PROV166;Казаркин ручей;x
PROV167;Светлый Остров;x
PROV168;Пиршественные Огни;x
PROV169;Кайс;x
PROV170;Маунхилл;x
PROV171;Тарбекхолл;x
PROV172;Фуррокк;x
PROV173;Ясеневый Рубеж;x
PROV174;Золотой Зуб;x
PROV175;Впадина Нанн;x
PROV176;Тендринг;x
PROV177;Холмы Пендрика;x
PROV178;Сарсфилд ;x
PROV179;Голдшир;x
PROV180;Хорнваль;x
PROV181;Виндхолл;x
PROV182;Утес Кастерли;x
PROV183;Ланниспорт;x
PROV184;Окскросс;x
PROV185;Хоторн;x
PROV186;Гринмонт;x
PROV187;Кастамере;x
PROV188;Башня Клыка;x
PROV189;Майатт;x
PROV190;Лонмонт;x
PROV191;Глубокая Нора;x
PROV192;Замок Дрокс;x
PROV193;Пеклдон;x
PROV194;Пейнхолл;x
PROV195;Серебряный холм;x
PROV196;Красный терновник;x
PROV197;Кракехолл;x
PROV198;Фолвелл;x
PROV199;Кукурузное Поле;x
PROV200;Зеленое Поле;x
PROV201;Мосборо;x
PROV202;Байфорд;x
PROV203;Большой Зубец;x
PROV204;Районет;x
PROV205;Свиной Рог;x
PROV206;Берчхолл;x
PROV207;Оленьи Рога;x
PROV208;Бриндлвуд;x
PROV209;Эджертон;x
PROV210;Роллингфорд;x
PROV211;Росби;x
PROV212;Сумеречный Дол;x
PROV213;Три Золотых Короны;x
PROV214;Грачиный Приют;x
PROV215;Пустошь Расколотой Клешни;x
PROV216;Лютое логово;x
PROV217;Шепоты;x
PROV218;Север Расколотой Клешни;x
PROV219;Клешня;x
PROV220;Дрифтмарк ;x
PROV221;Драконий Камень;x
PROV222;Брамсфорт;x
PROV223;Фаррингкросс;x
PROV224;Хейфорд;x
PROV225;Стокворт;x
PROV226;Королевская Гавань;x
PROV227;Крепость Далстон;x
PROV228;Гринсворд;x
PROV229;Аттадейл;x
PROV230;Вудмер;x
PROV231;Байуотер;x
PROV232;Читтеринг Брук;x
PROV233;Камнепляс;x
PROV234;Острый Мыс;x
PROV235;Старый Дуб;x
PROV236;Алое Озеро;x
PROV237;Поляна Рисли;x
PROV238;Холодный Ров;x
PROV239;Даск;x
PROV240;Катсволд;x
PROV241;Оплот;x
PROV242;Пещеры Дерринга;x
PROV243;Золотая Роща;x
PROV244;Уитерс;x
PROV245;Кузнечный Городок;x
PROV246;Плющевой Чертог;x
PROV247;Алденкип;x
PROV248;Харпшир;x
PROV249;Тамблтон;x
PROV250;Торрентов пик;x
PROV251;Крепость Лейгуд;x
PROV252;Хаммерхолл;x
PROV253;Горький Мост;x
PROV254;Длинный Стол;x
PROV255;Роузфорд;x
PROV256;Тёмная долина;x
PROV257;Священный Чертог;x
PROV258;Эпплтон;x
PROV259;Луговина ;x
PROV260;Хаствик;x
PROV261;Дубовый Щит;x
PROV262;Серый Щит;x
PROV263;Зеленый Щит;x
PROV264;Южный Щит;x
PROV265;Вестбрук;x
PROV266;Желуди;x
PROV267;Хайгарден;x
PROV268;Сидерхолл;x
PROV269;Новая Бочка;x
PROV270;Эшфорд;x
PROV271;Мандерфорд;x
PROV272;Норкросс;x
PROV273;Дансбридж;x
PROV274;Ясноводный Чертог;x
PROV275;Инчфилд;x
PROV276;Миддлбери;x
PROV277;Бардхоум;x
PROV278;Йелшир;x
PROV279;Звездный Пик;x
PROV280;Рогов Холм;x
PROV281;Фавнкрэг;x
PROV282;Бандаллон;x
PROV283;Медовая Роща;x
PROV284;Соммерсет;x
PROV285;Черный Венец;x
PROV286;Старомест;x
PROV287;Нагорье;x
PROV288;Холмы Охотника;x
PROV289;Три Башни;x
PROV290;Солнечный Дом;x
PROV291;Звено;x
PROV292;Арбор;x
PROV293;Амберли;x
PROV294;Фелвуд;x
PROV295;Лонгвордхолл;x
PROV296;Бронзовые Врата;x
PROV297;Хадлоукип;x
PROV298;Стога;x
PROV299;Пергаменты;x
PROV300;Дрейксгрейв;x
PROV301;Гейлмонт;x
PROV302;Грандвью;x
PROV303;Грифонов Насест;x
PROV304;Штормовой Предел;x
PROV305;Тарт;x
PROV306;Летний замок;x
PROV307;Ночная Песнь;x
PROV308;Дом Урожая;x
PROV309;Гороховое Поле;x
PROV310;Серая Виселица;x
PROV311;Черный Приют;x
PROV312;Фонтон;x
PROV313;Эддерделл;x
PROV314;Воронье Гнездо;x
PROV315;Лонмаут;x
PROV316;Каменный Шлем;x
PROV317;Локпорт;x
PROV318;Широкая Арка;x
PROV319;Тадберихолл;x
PROV320;Дождливый Лес;x
PROV321;Синяя роща;x
PROV322;Туманный Лес;x
PROV323;Дождевой Дом;x
PROV324;Плачущая Башня;x
PROV325;Вретрок;x
PROV326;Эстермонт;x
PROV327;Блэкмонт;x
PROV328;Принцев Перевал;x
PROV329;Уступ Стервятника;x
PROV330;Виль;x
PROV331;Королевская Гробница;x
PROV332;Горный Приют;x
PROV333;Поднебесье;x
PROV334;Айронвуд;x
PROV335;Звездопад;x
PROV336;Элбоу;x
PROV337;Песчаник;x
PROV338;Адов Холм;x
PROV339;Нимервелл;x
PROV340;Великая Пустыня;x
PROV341;Выжженная Скала;x
PROV342;Серая крепость;x
PROV343;Тор;x
PROV344;Плеть;x
PROV345;Красные Дюны;x
PROV346;Соленый Берег;x
PROV347;Призрачный Холм;x
PROV348;Пятнистый Лес;x
PROV349;Дар Богов;x
PROV350;Дощатый Город;x
PROV351;Лимонная Роща;x
PROV352;Солнечное Копье;x
