#CODE;ENGLISH;x;;;
ironborn_reaving;Отправиться в рейд;x;;;
ironborn_reaving_desc;Заплатить железную цену и организовать поход за Узкое Море, чтобы устроить грабеж и добыть себе богатство. Вам потребуется назначить §Yрегента§!, который будет править во время вашего отсутствия.;x;;;
on_reaving;В рейде;x;;;
on_reaving_desc;Этот персонаж уплыл в далекие страны, чтобы заплатить железную цену за новые богатства;x;;;
TOOLTIPINVITEREAVING;Железнорожденный при вашем дворе и семье был приглашен в рейд\n;x;;;
EVTDESCraid_events.1;Кто станет жертвой нашего гнева? Где мы будем грабить, жечь и убивать, чтобы заплатить железную цену?;x;;;
EVTOPTAraid_events.1;Спорные Земли готовы к жатве;x;;;
EVTOPTBraid_events.1;Северный Эссос примет гостей;x;;;
EVTOPTCraid_events.1;Жители Летних Островов слабы;x;;;
EVTOPTDraid_events.1;Мы можем найти много добычи в Заливе Работорговцев;x;;;
EVTDESCraid_events.2;[Root.GetFirstNameWithDynasty], я приглашаю вас заплатить железную цену, присоединившись ко мне в моем рейде в моря Спорных Земель. Там, следуя пути наших предков и Старому Закону, мы захватим много морских жен и золота!\n\n Ваш[From.GetEndA],\n[From.GetFirstNameWithDynasty];x;;;
EVTDESCraid_events.2B;[Root.GetFirstNameWithDynasty], я приглашаю вас заплатить железную цену, присоединившись ко мне в моем рейде на север и в Студеное Море. Там, следуя пути наших предков и Старому Закону, мы нападем на корабли Лората и Иббена, захватим много морских жен и золота!\n\n Ваш[From.GetEndA],\n[From.GetFirstNameWithDynasty];x;;;
EVTDESCraid_events.2C;[Root.GetFirstNameWithDynasty], я приглашаю вас заплатить железную цену, присоединившись ко мне в моем рейде на юг и на Летнее море. Там, следуя пути наших предков и Старому Закону, мы нападем на слабых летних островитян, захватим много морских жен и золота!\n\n Ваш[From.GetEndA],\n[From.GetFirstNameWithDynasty];x;;;
EVTDESCraid_events.2D;[Root.GetFirstNameWithDynasty], я приглашаю вас заплатить железную цену, присоединившись ко мне в моем рейде далеко на восток, в Залив Работорговцев. Там, следуя пути наших предков и Старому Закону, мы захватим много морских жен и золота!\n\n Ваш[From.GetEndA],\n[From.GetFirstNameWithDynasty];x;;;
EVTOPTAraid_events.2;Я долж[GetNaEn] последовать за ним!;x;;;
EVTOPTBraid_events.2;Рейды не для меня…;x;;;
EVTOPTCraid_events.2;Я никогда не стану налетчиком!;x;;;
TOOLTIPREAVINGDISPUTEDLANDS;[From.GetFirstNameWithDynasty] собрал[From.GetEndA] рейд и вы присоединились к набегу на Спорные Земли. Вам потребуется регент на время вашего отсутствия.\n;x;;;
TOOLTIPREAVINGNORTHESSOS;[From.GetFirstNameWithDynasty] собрал[From.GetEndA] рейд и вы присоединились к набегу на Северный Эссос. Вам потребуется регент на время вашего отсутствия.\n;x;;;
TOOLTIPREAVINGSUMMERSEA;[From.GetFirstNameWithDynasty] собрал[From.GetEndA] рейд и вы присоединились к набегу на острова Летнего Моря. Вам потребуется регент на время вашего отсутствия.\n;x;;;
TOOLTIPREAVINGSLAVERSBAY;[From.GetFirstNameWithDynasty] собрал[From.GetEndA] рейд и вы присоединились к набегу на Залив Работорговцев. Вам потребуется регент на время вашего отсутствия.\n;x;;;
EVTDESCraid_events.3;Клинки наточены и паруса ваших драккаров наполнены ветром. Пора отправляться в даль, за Узкое Море, чтобы заплатить железную цену!;x;;;
EVTOPTAraid_events.3;Это будет прибыльно.;x;;;
EVTOPTBraid_events.3;Война сделала это невозможным.;x;;;
EVTDESCraid_events.4;Рейд подошел к концу. Мы вернулись из-за далеких морей, набрав богатства и морских жен, за которых заплатили железную цену. Следуя пути предков, мы пролили реки крови, заставив мир содрогнуться от ужаса. Дома нас ждет много славы, наши имена останутся в легендах!;x;;;
EVTOPTAraid_events.4;Мы настоящие Железнорожденные!;x;;;
EVTDESCraid_events.5;Рейд, который собрал[From.GetEndA] [From.GetFirstNameWithDynasty], закончился. Мы вернулись домой захватив богатую добычу и много морских жен. ;x;;;
EVTDESCraid_events.6;Из-за войны, рейд, который собирал[From.GetEndA] [From.GetFirstNameWithDynasty], отменился.;x;;;
EVTOPTAraid_events.6;В следующем году;x;;;
opinion_on_reaving;В рейде;x;;;
opinion_went_reaving;Покинуть рейд;x;;;
EVTDESCraid_events.7;Разведчик обнаружил рыбацкую деревню, в которой мы сможем найти много добычи и женщин.;x;;;
EVTOPTAraid_events.7;Пусть начнется грабеж!;x;;;
EVTDESCraid_events.9;Нападение прошло успешно. Стоны умирающих мужчин, вопли насилуемых женщин и треск пламени звучали лучше трелей менестреля в ушах разбойников. Мы получили много чести и добычи сегодня!;x;;;
EVTOPTAraid_events.9;Все боятся железнорожденных!;x;;;
EVTDESCraid_events.10;Битва была тяжелой и мы потеряли сегодня много людей. Но никто не сможет остановить Железнорожденного, вознамерившегося заплатить железную цену. Мы забрали все золото и женщин у этих слабаков.;x;;;
EVTOPTAraid_events.10;Успешный рейд;x;;;
EVTDESCraid_events.11;Эти люди, которые сеют много больше нас, победили. Мы высадились на пляже, но были сброшены обратно в море. Сегодня мы проиграли.;x;;;
EVTOPTAraid_events.11;Нужно отступать…;x;;;
opinion_failed_raid;Набег провалился…;x;;;
EVTDESCraid_events.12;Набег окончился полным провалом. Люди с полей оказались сильнее, чем мы полагали. Многие из наших людей пали. Вместо богатства и женщин мы получили бесчестие...;x;;;
EVTOPTAraid_events.12;Мы не достойны быть Железнорожденными;x;;;
EVTDESCraid_events.13;Деревня была подвергнута грабежу, и нападение, которое возглавлял[From.GetEndA] [From.GetFirstNameWithDynasty] прошло удачно. Стоны умирающих мужчин, вопли насилуемых женщин и треск пламени звучали лучше трелей менестреля в ушах разбойников. Мы получили много чести и добычи сегодня!;x;;;
EVTDESCraid_events.14;[From.GetFirstNameWithDynasty] принял[From.GetEndA] решение напасть, и это вызвало кровопролитный бой, в котором мы потеряли много храбрецов. Но никто не сможет остановить Железнорожденного, вознамерившегося заплатить железную цену. Мы забрали все золото и женщин у этих слабаков.;x;;;
EVTDESCraid_events.15;Большинство считало, что рейд, который собрал[From.GetEndA] [From.GetFirstNameWithDynasty], казался легким, но мы недооценили противника... Мы высадились на пляже, но были сброшены обратно в море. Сегодня мы проиграли.;x;;;
EVTDESCraid_events.16;Рейд персонажа [From.GetFirstNameWithDynasty] совершенно провалился. Люди с полей оказались сильнее, чем мы полагали. Многие из наших людей пали. Вместо богатства и женщин мы получили бесчестие…;x;;;
opinion_sucessful_raid;Успешный набег;x;;;
opinion_salt_wife;Морская Жена;x;;;
EVTDESCraid_events.17;Сегодня я доказал, что я истинный сын Железных Островов - я захватил Морскую Жену! Что мне с ней делать?;x;;;
EVTOPTAraid_events.17;Заберу ее домой, что бы она ублажала меня и рожала детей;x;;;
EVTOPTBraid_events.17;Убейте ее, она мне не нравится…;x;;;
EVTDESCraid_events.18;[From.GetFirstNameWithDynasty] доказал свое право называться железнорожденным, когда захватил морскую жену.;x;;;
EVTOPTAraid_events.18;Славься!;x;;;
salt_wife;Морская жена;x;;;
salt_wife_desc;Эта женщина - чья-то морская жена, захваченная в рейде.;x;;;
EVTDESCraid_events.20;Местный патруль напал на нас, когда мы грабили побережье. Мы - [Root.Culture.GetName]ые, и вступили в схватку, их командир кинулся прямо на меня...;x;;;
EVTOPTAraid_events.20;В бой!!!;x;;;
EVTOPTBraid_events.20;Я убираюсь отсюда;x;;;
EVTDESCraid_events.22;Патруль, который возглавлял [FromFrom.GetFirstNameWithDynasty], напал на нас, когда мы грабили побережье. Мы перебили их всех с легкостью, но львиную долю славы получил [From.GetFirstNameWithDynasty], который победил противника по имени [FromFrom.GetFirstName] в дуэли, размахивая мечом в самой гуще битвы. Теперь он ожидает награды.;x;;;
opinion_rewarded_reaving;Наградить;x;;;
opinion_denied_rewarded_reaving;Обойдется;x;;;
EVTDESCraid_events.23;Патруль, который возглавлял [From.GetFirstNameWithDynasty], внезапно напал на нас, когда мы пировали и развлекались с новыми морскими женами на пепелище очередной деревушки. Мы потеряли многих людей в бойне, [FromFrom.GetFirstNameWithDynasty] был среди них. Он проиграл противнику по имени [From.GetFirstName] в поединке. Но мы выжили и мы вернемся.;x;;;
EVTOPTAraid_events.22;Ему повезло;x;;;
EVTOPTBraid_events.22;Хорошо, дайте ему часть добычи;x;;;
EVTOPTCraid_events.22;Награда? Честь не в деньгах;x;;;
EVTOPTAraid_events.23;Он промахнулся;x;;;
TOOLTIPREAVINGDUEL;Дуэль будет с местным мастером над оружием\n;x;;;
TOOLTIPREAVINGDUELVS;Вы получили §Yвалирийский меч§!, которым владел[From.GetEndA] [From.GetFirstNameWithDynasty] в свое владение\n;x;;;
EVTDESCraid_events.24;Во время прошлой атаки один из противников смог ранить меня. Но железнорожеднные смеются при слове 'рана', не так ли?;x;;;
EVTOPTAraid_events.24;Да, я должен продолжать грабеж!;x;;;
EVTOPTBraid_events.24;Думаю мне стоит вернуться домой;x;;;
