#CODE;ENGLISH;x
plot_rescue_prisoner_title;Спасти персонажа [This.GetTitledFirstNameWithDynasty] из тюрьмы правителя [This.Host.GetTitledFirstName];x
plot_rescue_prisoner_desc;[From.GetTitledFirstName] стремится освободить персонажа [This.GetTitledFirstNameWithDynasty] из тюрьмы.;x
plot_rescue_war_nobackers;Спасите одного заключенного;x
plot_rescue_war_nobackers_desc;[Root.GetTitledFirstName] не долж[Root.GetNaEn] вовлекать других в это дело. Эту войну необходимо вести само[Root.GetYMu];x
plot_rescue_war_withallies;Проблема с освобождением персонажа [Root.PlotTarget.GetTitledFirstNameWithDynasty];x
plot_rescue_war_withallies_desc;[Root.GetTitledFirstName] и [Root.GetHerHis] союзники достаточно долго ждали. Самое время выпусить заключённого [Root.PlotTarget.GetTitledFirstName].;x
EVTDESC6000001;Без заключенных, нуждающихся в нашей помощи, эта война кажется бессмысленной…;x
CB_NAME_RESCUEPRISONER;Спасенный пленник;x
WAR_NAME_RESCUEPRISONER;$CLAIMANT$ $ORDER$ За освобождение пленных из $DEFENDER$;x
EVTDESCrescue_prisoner.2;[Root.GetTitledFirstName], [From.PlotTarget.GetTitledFirstNameWithDynastyNoRegnal] был[From.PlotTarget.GetEndA] в заключении достаточно долго. Я требую чтобы [From.PlotTarget.GetSheHe] был[From.PlotTarget.GetEndA] освобожден[From.PlotTarget.GetEndA], или я обращу на вас свой гнев.\n\nС уважением,\n[From.GetTitledFirstNameWithDynastyAndTitle];x
EVTOPTArescue_prisoner.2;Я бы и так выпустил[GetEndA] [From.PlotTarget.GetHerHis];x
EVTOPTBrescue_prisoner.2;Мне не будут угрожать, что указывать!;x
EVTTOOLTIPrescue_prisoner.4;узнает о вашем отрицании вины;x
EVTDESCrescue_prisoner.3;[Root.PrimaryTitle.GetFOA], я не вижу причин ссориться с вами, я сразу же выпущу пленника.\n\nС уважением,\n[From.GetTitledFirstNameWithDynastyAndTitle];x
EVTOPTBrescue_prisoner.3;Мудрый ответ;x
EVTDESCrescue_prisoner.4;[Root.PrimaryTitle.GetFOA], я не буду шантажировать своих пленников. [Root.PlotTarget.GetTitledFirstNameWithDynasty] останется в тюрьме за совершённые преступления.\n\nС уважением,\n[From.GetTitledFirstNameWithDynastyAndTitle];x
EVTOPTArescue_prisoner.4;Тогда я объявляю войну за [GetRootFromInsult]!;x
EVTOPTBrescue_prisoner.4;Наверное, нужно было незаметно спасти [Root.PlotTarget.GetHerHis];x
TOOLTIPrescue_prisoner.2;Послать ворона с требованием выпустить узника, известного как [Root.PlotTarget.GetTitledFirstName];x
EVTDESCrescue_prisoner.5;Вы получили сведения от информаторов из земли [Root.PlotTarget.Location.GetName] где сейчас находится в плену [Root.PlotTarget.GetTitledFirstName]. Они утверждают что обнаружили место, где содержится [Root.PlotTarget.GetSheHe] и скоро появится возможность отправить небольшой отряд, чтобы вызволить [Root.PlotTarget.GetHerHis].;x
EVTOPTArescue_prisoner.5;Среди моих сообщников есть люди, которые могут это устроить;x
EVTTOOLTIPrescue_prisoner.10;Попытка побега из тюрьмы...;x
EVTOPTBrescue_prisoner.5;Мне нужны проверенные люди;x
EVTOPTCrescue_prisoner.5;Нужная мне банда уже на службе;x
EVTOPTDrescue_prisoner.5;Я подожду лучшей возможности;x
EVTDESCrescue_prisoner.6;Вы получили сведения от одного из ваших информаторов о том, что один из ваших пленников планирует побег. Они узнали точное местоположение заговорщиков и вскоре можно будет тайно послать небольшой отряд, чтобы разбить их. Для этого задания нам нужны надёжные люди.;x
EVTDESCrescue_prisoner.7;Агенты работающие от имени персонажа [From.GetTitledFirstName] сообщили, что [From.GetSheHe] имеет возможность скрытно сбежать из тюрьмы в земле [Root.PlotTarget.Location.GetName]. [From.GetSheHeCap] говорит, что нуждается в золоте для найма надежных людей для этой миссии.;x
EVTOPTArescue_prisoner.7;Хорошо, только убедитесь, что вы наняли лучших;x
EVTDESCrescue_prisoner.8;[From.GetTitledFirstName] дал[From.GetEndA] ответ - [From.GetSheHe] согласи[From.GetLasLsya] предоставить золото чтобы нанять банду для освобождения персонажа [From.PlotTarget.GetTitledFirstName] из тюрьмы. [From.GetSheHeCap] предлагает делать это в строжайшей секретности.;x
EVTDESCrescue_prisoner.9;Вы получили ответ от персонажа [From.GetTitledFirstName], [From.GetSheHe] отказа[From.GetLasLsya] предоставить золото для найма банды, отвеиа, что есть более дешевые способы для этого.;x
EVTDESCrescue_prisoner.10;Вы собирались встретить еще одну проведенную ночь в тоскливой и сырой тюремной камере, когда услышали приглушенны звуки и крики, доносящиеся за дверью вашей камреы. Вскоре в нашу камеру ворвалась вооруженная группа мужчин...;x
EVTOPTArescue_prisoner.10;Я не узнаю этих людей…;x
EVTOPTBrescue_prisoner.10;Ох, они просто мои тюремщики…;x
