#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCroyal_proclamations.25;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] Андалов, Ройнаров и Первых Людей, Правитель[Root.GetEndNitsa] Семи Королевств и Защитни[Root.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.25;Да здравствует [Root.GetTitle]!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.26;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] Андалов, Ройнаров и Первых Людей, Правитель[From.GetEndNitsa] Семи Королевств и Зашитни[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.26;Да здравствует [From.GetTitle]!;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.26;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.1;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] Севера, [Root.GetTitle] Зимы и Первых людей, Правитель[Root.GetEndNitsa] города [Root.Capital.GetName] и Защитни[Root.GetTsaK] государства!;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.1;[Root.GetTitle] Севера! [Root.GetTitle] Севера!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.2;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] Севера, [From.GetTitle] Зимы и Первых Людей, Правитель[From.GetEndNitsa] города [From.Capital.GetName] и Защитник[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.2;[From.GetTitle] Севера! [From.GetTitle] Севера!;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.2;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
