#CODE;ENGLISH;x
#WARNING: SPOILERS ARE IN THIS FILE;x
EVTDESC999900230;Станнис - метка Буря Мечей;x
EVTOPTA999900230;подлежит уточнению;x
EVTDESC999900231;Бейлон Грейджой - метка Буря Мечей;x
EVTOPTA999900231;подлежит уточнению;x
EVTDESC999900233;Мейс Тирелл - метка Буря Мечей;x
EVTOPTA999900233;подлежит уточнению;x
EVTDESC999900234;Джоффри - метка Буря Мечей;x
EVTTITLEstorm_of_swords.1;Возвращение Лукового Рыцаря;x
EVTDESCstorm_of_swords.1;Метка - Станнис делает выбор;x
EVTOPTAstorm_of_swords.1;Согласиться с Давосом - отправиться к Стене (метка);x
EVTOPTBstorm_of_swords.2;Согласиться с Акселем - атаковать Коготь-Остров (метка);x
EVTOPTCstorm_of_swords.2;Подумать еще немного (метка);x
EVTTITLEaegons_landing.1;Война Завоевания;x
EVTDESCaegons_landing.1;Столетие прошло с Рока Валирии, и только Таргариены остались последним оплотом Драконьей крови. С тех пор мы стремились расширить свои владения, и теперь готовы побеждать, используя Драконов как оружие, а не полагаться на нашу скудную военную силу. Вольные города призывают меня объединить их в новый Фригольд, Однако Вестерос и его Семь Королевств кажутся куда более значимым трофеем...;x
EVTOPTAaegons_landing.110;Весь Вестерос встанет на колени;x
EVTOPTBaegons_landing.110;Я восстановлю Валирийскую Империю в Эссосе!;x
EVTOPTCaegons_landing.110;Я приму предложение альянса со Штормовым королем;x
EVTDESCaegons_landing.110;Штормовой король Аргилак Надменный отказался от брака между моим другом Орисом и его дочерью, тем самым оскорбив меня. Я знал, что короли Вестероса воспротивятся моей власти. Я завоюю их земли, будет только один король...;x
EVTOPTAaegons_landing.1;Железные Острова должны подчиниться;x
EVTOPTBaegons_landing.1;Штормовой Король должен преклонить колено;x
EVTOPTGaegons_landing.1;Земли Простора плодородны;x
EVTOPTCaegons_landing.1;Я разобью лордов Запада!;x
TOOLTIPEVTOPTAaegons_landing.1;Все местные лорды принесут персонажу [This.GetFirstNameWithDynasty] клятву верности\n;x
EVTDESCaegons_landing.111;Сразу после Рока Валирии остатки Фригольда, так называемые Вольные Города, начали борьбу за господство. Волантис, один из них, предложил союз за воссоединение этих городов, но я присоединился к их врагам, пока они не стали слишком сильными. Я не ровня этим шавкам-волантийцам, я воссоздам Валирию под своим собственным знаменем!;x
EVTOPTAaegons_landing.111;Пентос преклонит колени;x
EVTOPTBaegons_landing.111;Мир - моя следующая цель;x
EVTOPTCaegons_landing.111;Остров Тирош падет;x
EVTOPTDaegons_landing.111;Браавос - могущественный город, но не для драконов;x
EVTDESCaegons_landing.2;[Root.PrimaryTitle.GetFOA], [From.GetFirstNameWithDynasty], известный драконий всадник прислал к нам своих сестер, требуя принести ему клятву верности! [From.GetSheHeCap] претендует на [Root.PrimaryTitle.GetName] по праву Завоевания и требует немедленной капитуляции. Конечно, мы не можем бороться против таких зверей? Конечно, мы должны сдаться?;x
TOOLTIPaegons_landing.3;будет пытаться подчинить Вас силой\n;x
EVTDESCaegons_landing.3;[Root.PrimaryTitle.GetFOA], [From.GetFirstNameWithDynasty] отказался принести клятву верности и взял в руки оружие.;x
EVTOPTAaegons_landing.2;Мы покажем им могущество наших драконов.;x
EVTDESCaegons_landing.4;Еще одно Королевство было завоевано, кто признает истинного правителя Семи Королевств следующим?;x
EVTOPTDaegons_landing.1;Долина подчиниться следующей.;x
EVTOPTEaegons_landing.1;Ударить по Северу Первых людей!;x
EVTOPTFaegons_landing.1;Дорн будет следующим;x
EVTDESCaegons_landing.410;Очередной город был завоеван, куда дальше направится Император Валирии?;x
EVTOPTEaegons_landing.111;Я пойду на Лис!;x
EVTOPTHaegons_landing.111;Лорат будет следующим;x
EVTOPTFaegons_landing.111;Квохор даст мне клятву в верности;x
EVTOPTGaegons_landing.111;Ударим по северу - на Норвос!;x
EVTOPTIaegons_landing.111;Могучий Волантис станет частью Империи;x
EVTDESCaegons_landing.5;Лорды Расколотой Клешни долго сопротивлялись чужеродному господству, если я пошлю мою сестру Висенью с требованием принести присягу, у них не будет другого выбора, кроме как преклонить колено перед драконами?;x
EVTOPTAaegons_landing.5;Они подчинятся;x
TOOLTIPaegons_landing.5;Висенья будет требовать их подчинения.;x
EVTTITLEaegons_landing.6;Врата Староместа;x
EVTDESCaegons_landing.6;Завоевание Простора завершено, Хайгарден принес клятву верности драконам, теперь мы двинемся к Староместу. В Староместе Верховный Септон заперся в Звездной септе Староместа и молился семь дней и семь ночей, вкушая лишь хлеб и воду. Выйдя, он объявил, что вера не станет противиться мне и моим сестрам, ибо Старица озарила перед ним верный путь. Если Старомест восстанет против меня, то будет сожжен, а Хайтауэр, Цитадель и Звездная септа обратятся в руины. Набожный лорд Хайтауэр, услышав пророчество, не выступил на войну и открыл перед мной ворота. Если я сейчас обращусь в Семибожие, народ Вестероса, скорее всего, перестанет сопротивляться, но мне прийдеться отказаться от Древних Богов Валирии, Богов, предоставивших нам власть над драконами?;x
EVTOPTAaegons_landing.6;Это разумно, так нужно сделать;x
EVTOPTBaegons_landing.6;Нет, я - кровь старой Валирии;x
EVTTITLEaegons_landing.61;Завоевание Волантиса;x
EVTDESCaegons_landing.61;Волантис пал. Мои армии взяли штурмом Черные Стены Старого Волантиса, заставив этих валирийских бастардов признать меня. Теперь я - их законн[Root.GetAyaYy] [Root.GetTitle].\n\nОднако, в городе всё ещё неспокойно. Верховный жрец храма Владыки Света пока не признал меня в качестве правителя, спрятавшись в храме под защитой своей армии Огненноруких. Он заявил, что признает меня только тогда, когда я признаю Р'Глора своим богом и заработаю его благосклонность.;x
establish_kingsguard;Основать Королевскую Гвардию;x
establish_kingsguard_desc;Король нуждается в личных телохранителях, а что может быть более священным, чем с семь таких защитников, поклявшихся защищать меня?;x
TOOLTIPESTABLISHKG;Королевская Гвардия создана и вы должны выбрать первого из них.;x
EVTDESCaegons_landing.7;Вера горит во мне все сильное, я должен сделать что-то величественное в честь богов. Если бы мне пришлось построить новую Септу на холме Висеньи, эта Септа была бы самой большой и великолепной, что боги несомненно бы благословили меня.;x
EVTOPTAaegons_landing.7;Да отличное место для великой Септы.;x
EVTOPTBaegons_landing.7;У них уже есть септа.;x
TOOLTIPaegons_landing.8;Большая новая септа будет построена!;x
EVTDESCaegons_landing.8;Ваше Святейшество, из самых благочестивых побуждений, [From.GetTitledName] решил возвести в Королевской Гавани новую великую Септу во имя веры Семерых.;x
EVTOPTAaegons_landing.8;Он будет благословлен.;x
EVTTITLEaegons_landing.9;Новое Королевство;x
EVTDESCaegons_landing.9;Завоевание завершено. В пламени Балериона Черного Ужаса я выковал великий трон, сплавив воедино тысячу мечей побежденных врагов. Это могучий престол, и мои приближенные уже нарекли его "Железный трон". Но где он должен быть размещен? В великом городе Староместе? На Драконьем Камне? Или для трона Короля Драконов нужна новая столица...?;x
EVTOPTAaegons_landing.9;Я построю новую твердыню для Королей;x
EVTOPTBaegons_landing.9;Ему место на Драконьем Камне, месте наших предков;x
EVTOPTCaegons_landing.9;Ему место в Староместе;x
EVTTITLEaegons_landing.90;Новая Империя;x
EVTDESCaegons_landing.90;Завоевание завершено. В пламени Балериона Черного Ужаса я выковал великий трон, сплавив воедино тысячу мечей побежденных врагов. Это престол достойный Императора, и мои подданные уже нарекли его "Железный Трон". Но где он должен быть размещен?;x
EVTOPTAaegons_landing.90;Пентос подходит для этого;x
EVTOPTCaegons_landing.90;Волантис - величайший из всех;x
EVTOPTDaegons_landing.90;Мир - место, где я буду править;x
EVTDESCaegons_landing.10;[Root.PrimaryTitle.GetFOA], мы завершили возведение Красного Замка. На Высоком Холме Эйгона теперь воведена могучая крепость. \n\nВаш покорный слуга,\n[Root.job_treasurer.GetTitledFirstName];x
EVTOPTAaegons_landing.10;Прекрасная работа;x
EVTDESCaegons_landing.11;[Root.PrimaryTitle.GetFOA], мы завершили последние улучшения укреплений Королевской Гавани. Многие люди стекаются в город, считая его безопасносным и процветающим.\n\nВаш покорный слуга,\n[Root.job_treasurer.GetTitledFirstName];x
EVTOPTAaegons_landing.10;Он должен стать по-настоящему великим городом;x
