#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCseasons.1;Вы хотите включить времена года? Если да, то выберите, насколько длинным будет лето.;x;;;;;;;;;;;;
EVTOPTAseasons.1;Я не хочу играть с сезонами.;x;;;;;;;;;;;;
EVTOPTBseasons.1;Я выбираю короткое лето.;x;;;;;;;;;;;;
EVTOPTCseasons.1;Я выбираю нормальное лето.;x;;;;;;;;;;;;
EVTOPTDseasons.1;Я выбираю долгое лето.;x;;;;;;;;;;;;
EVTDESCseasons.2;Ворон прибыл из Цитадели. Мы должны быть готовы: Зима близко!;x;;;;;;;;;;;;
EVTDESC2515101;Дни всё холоднее, урожая на полях всё меньше. Мы должны быть готовы: Зима близко.;x;;;;;;;;;;;;
EVTDESCseasons.3;Ворон прибыл из Цитадели. Можно радоваться: зима подходит к концу!;x;;;;;;;;;;;;
EVTDESC2515102;С каждым днём становится всё теплее, и мы наконец-то можем вновь засеять наши поля. Можно радоваться: зима подходит к концу.;x;;;;;;;;;;;;
EVTDESCseasons.4;Вы можете умереть от старости, но время года не сменится!;x;;;;;;;;;;;;
EVTDESC2515006;Становится все холоднее и холоднее. Люди более не могут работать на полях земли [Root.GetName];x;;;;;;;;;;;;
EVTDESC2515008;Положение ухудшается в провинции [Root.GetName].;x;;;;;;;;;;;;
EVTDESC2515009;[Root.GetName] страдает от разрушительной зимы.;x;;;;;;;;;;;;
EVTDESC2515007;Становится тепло и зима подходит к концу в провинции [Root.GetName].;x;;;;;;;;;;;;
asoiaf_mild_winter;Мягкая зима;x;;;;;;;;;;;;
asoiaf_normal_winter;Нормальная зима;x;;;;;;;;;;;;
asoiaf_harsh_winter;Суровая зима;x;;;;;;;;;;;;
asoiaf_peasants_dying;Крестьяне умирают;x;;;;;;;;;;;;
EVTDESCwinter1;Здесь так холодно, даже тяжело представить что приходится переносить крестьянам;x;;;;;;;;;;;;
EVTOPTAseasons.14;Плохо им;x;;;;;;;;;;;;
EVTOPTAseasons.14B ;Мы должны были накопить больше припасов;x;;;;;;;;;;;;
