#CODE;ENGLISH;x
escaped_siege;Побег из осады;x
left_at_siege;Укрытие в замке;x
left_to_rot;Оставить гнить в тюрьме;x
death_escape;Убили при попытке побега;x
left_behind;Оставили на осаде;x
stalwart_defender;Стойкий защитник;x
modifier_hidden;Скрытие в сельской местности;x
joined_war_against_me;Присоединение к войне против меня;x
stolen_banner;Захвачено знамя;x
liberated;Освобождены от оккупации;x
EVTDESCSIEGECAPTURE;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] попал[Root.GetEndA] в плен при попытке бежать из замка! Это сделал[From.GetEndA] [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ;x
EVTDESCCAPTUREENEMYSIEGE;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], осада закончена, и теперь Вы мой пленник!;x
EVTDESCbattlewin001;Добавьте это в список моих подвигов.;x
EVTDESCsiegewin001;Добавьте это в список моих подвигов.;x
EVTDESCsiegeescape01;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal]! Замок может пасть в любой день, мы готовы...;x
EVTOPTAsiegeescape1;Бегите из замка через тайный подземный туннель...;x
EVTOPTAsiegeescape2;место;x
EVTDESCsiege_agot.2A;[Root.PrimaryTitle.GetFOA], мы схватили всех, кого смогли найти, что с ними делать?;x
EVTDESCsiege_agot.2B;[Root.PrimaryTitle.GetFOA], [FromFrom.GetName] попал[FromFrom.GetEndA] в плен, но [siege_location_owner.GetTitledFirstNameWithDynastyNoRegnal] бежал[siege_location_owner.GetEndA]...;x
EVTDESCsiege_agot.2C;[Root.PrimaryTitle.GetFOA], я рад[From.GetEndA] сообщить, что я захватил[From.GetEndA] некоторых высокопоставленных заключенных после нашей успешной осады поселения [FromFrom.GetName]. Я передаю их вам для вашего решения..\n\nВаш[From.GetEndA] Смиренн[From.GetAyaYy]\n[From.GetTitledFirstNameNoRegnal];x
EVTDESCsiege_agot.2D;[Root.PrimaryTitle.GetFOA], я рад[From.GetEndA] сообщить о взятии поселения [FromFrom.GetName]. Но [siege_location_owner.GetTitledFirstNameWithDynastyNoRegnal] успел[siege_location_owner.GetEndA] уйти.\n\nВаш[From.GetEndA] смиренн[From.GetAyaYy]\n[From.GetTitledFirstNameNoRegnal];x
EVTOPTAsiege_agot.2;Закуйте лидера в кандалы, остальных отпустить.;x
EVTOPTBsiege_agot.2;Посадить в тюрьму всю семью.;x
EVTOPTBsiege_agot.2B;Тогда вся [siege_location_owner.GetHerHis] семья сядет в подземелье!;x
EVTOPTBsiege_agot.2C;Хорошая работа, [From.PrimaryTitle.GetFOA], Отправить их в мои подземелья!;x
EVTOPTCsiege_agot.2A;Посадить их всех под домашний арест;x
EVTOPTCsiege_agot.2B;Взять [siege_location_owner.GetHerHis] семью под домашний арест;x
EVTOPTCsiege_agot.2C;Отправить их под домашний арест к персонажу [From.PrimaryTitle.GetFOA];x
TOOLTIPsiege_agot.2HOUSEARREST;Все захваченные пленные находятся под§Yдомашним арестом§!, что увеличивает их мнение о вас на §G10§!;x
EVTOPTDsiege_agot.2;Отпустите их, я сегодня добр[GetAyaYy].;x
EVTOPTDsiege_agot.2B;[siege_location_owner.GetHerHisCap] семья должна быть оставлена в покое;x
EVTOPTDsiege_agot.2C;Отпустить их;x
TOOLTIPsiege_agot.2LEAVEBE;Все захваченные пленники §Yосвобождены§!, что увеличивает их мнение о вас на §G10§!;x
EVTOPTEsiege_agot.2;Здесь нет никакой ценности;x
EVTOPTFsiege_agot.2;На свободе!;x
