#CODE;ENGLISH;x
HSEPTON;Верховный септон;x
HSEPTON_FOA;Ваше святейшество;x
COMMANDER;Лорд-Командующий;x
COMMANDER_FOA;Ваша милость;x
k_crownlands;Королевские земли;x
k_crownlands_adj;Королевск;x
e_iron_throne;Железный Трон;x
SEVEN_KINGDOMS_OF;Семь Королевств;x
LP_SEVEN_KINGDOMS_OF;Семь Королевств;x
city_SEVEN_KINGDOMS_OF;Фригольд;x
E_WESTEROS;Вестерос;x
E_WESTEROS_ADJ;Вестерос;x
D_BLACKWATER_BAY;Залив Черноводной;x
B_BLACKWATER_HILL;Черноводный Холм;x
B_SEPT_OF_REMEMBRANCE;Поминовения;x
d_kingsguard;Королевская Гвардия;x
k_the_most_devout;Самый Праведный;x
d_daemons_host;Войско Деймона;x
k_daemon_blackfyres_host;Войско Блэкфайра;x
D_BLACKFYRE_LINEAGE;Род Блэкфайра;x
D_BLACKFYRE_HOST;Войско Блэкфайра;x
d_blackwater_rush;Черноводная;x
c_mosborough;Мосборо;x
b_mosborough;Мосборо;x
b_yore;Йор;x
b_faybank;Фэйбэнк;x
b_glassley;Глассли;x
b_silverfall;Сильверфолл;x
b_janview;Дженвью;x
c_byford;Байфорд;x
b_byford;Байфорд;x
b_middleton;Миддлтон;x
b_eridell;Эриделл;x
b_janacre;Дженекр;x
c_great_fork;Большой Зубец;x
b_riverhold;Приречье;x
b_ferrykeep;Паромная переправа;x
b_mallowhall;Мэллоухолл;x
b_agramunt;Эгремонт;x
b_aelwick;Эйлвик;x
c_rayonet;Рейонет;x
b_rayonet;Рейонет;x
b_barrowbridge;Бэрроубридж;x
b_swynbank;Суинбэнк;x
b_faykeep;Фэйкип;x
d_rosby;Росби;x
c_sows_horn;Свиной Рог;x
b_sows_horn;Свиной Рог;x
b_dorhill;Дорхилл;x
b_westice;Вестис;x
b_morwyn;Морвин;x
c_stokeworth;Стокворт;x
b_stokeworth;Стокворт;x
b_shadebush;Шейдбраш;x
b_lorness;Лорнесс;x
b_valbridge;Вэлбридж;x
c_hayford;Хейфорд;x
b_hayford;Хейфорд;x
b_starrydell;Стерридел;x
b_dragongur;Драконий След;x
b_summermeadow;Летний Луг;x
b_goldfield;Золотое Поле;x
c_rosby;Росби;x
b_rosby;Росби;x
b_courtdell;Росби;x
b_drakecastle;Дрейков Замок;x
b_strongmead;Стронгмед;x
b_prada;Прада;x
d_duskendale;Сумеречный Дол;x
c_byrch_hall;Берчхолл;x
b_byrch_hall;Берчхолл;x
b_pallars;Палларс;x
b_whitemoor;Вайтмур;x
b_tremp;Тремп;x
c_antlers;Оленьи Рога;x
b_antlers;Оленьи Рога;x
b_byfield;Байфилд;x
b_loarre;Лоар;x
b_witchville;Ведьмин Град;x
b_moorham;Мурем;x
c_brindlewood;Бриндлвуд;x
b_brindlewood;Бриндлвуд;x
b_pauzin;Позин;x
b_estershade;Эстершейд;x
b_violetbarrow;Вайолетбэрроу;x
c_duskendale;Сумеречный Дол;x
b_dun_fort;Сумеречный Форт;x
b_duskendale;Сумеречный Дол;x
b_dusk_sept;Сумеречный Дол;x
b_newedge;Ньюэдж;x
b_highley;Хайли;x
b_woodhollow;Вудхоллоу;x
c_hollard_hall;Холлардхолл;x
b_hollard_hall;Холлардхолл;x
b_saissac;Сайззак;x
b_bluedell;Блюделл;x
b_seamill;Морская Мельница;x
d_crackclaw_point;Расколотая Клешня;x
c_rooks_rest;Приют Плута;x
b_rooks_rest;Приют Плута;x
b_muret;Марет;x
b_castelnaudary;Кастелнодери;x
b_drauban;Дробен;x
c_southern_crackclaw_point;Юг Расколотой Клешни;x
b_erimount;Эринмонт;x
b_cahors;Кахорс;x
b_strongcliff;Стронгклифф;x
b_claw_castle;Замок Когтя;x
b_penne;Пенне;x
c_dyre_den;Дирден;x
b_dyre_den;Дирден;x
b_brownhollow;Браунхоллоу;x
b_kegworth;Кегворт;x
b_butterwall_forest;Лес Баттеруолл;x
b_biron;Бирон;x
c_northern_crackclaw_point;Север Расколотой Клешни;x
b_estaring;Эстеринг;x
b_millaun;Миллон;x
b_caylus;Кейлис;x
b_staffrick;Стаффрик;x
b_claw_tower;Башня Когтя;x
d_dragonstone;Драконий Камень;x
c_the_whispers;Шепоты;x
b_the_whispers;Шепоты;x
b_brizond_port;Порт-Бризонд;x
b_clery;Клери;x
b_domeyraten;Дамирейтен;x
c_claw_isle;Остров Когтя;x
b_claw_isle;Остров Когтя;x
b_celtina;Кельтина;x
b_aprochon;Эпрокон;x
b_leporon;Лепорон;x
c_driftmark;Дрифтмарк;x
b_driftmark;Дрифтмарк;x
b_nimmark;Ниммарк;x
b_minomark;Миномарк;x
b_boatmark;Боутмарк;x
c_dragonstone;Драконий Камень;x
b_stone_drum;Каменный Барабан;x
b_derlyn;Дерлин;x
b_dragonstone_sept;Драконья;x
b_windwyrm;Винвирм;x
b_grasse;Грасс;x
b_sea_dragon_tower;Море Драконьей Башни;x
d_kings_landing;Королевская Гавань;x
c_bramsfort;Брэмсфорт;x
b_bramsfort;Брэмсфорт;x
b_carpenter_town;Карпентер-Таун;x
b_cavaillon;Кэвейлон;x
b_venatfort;Венатфорт;x
c_farring_cross;Фэрринг-Кросс;x
b_farring_cross;Фэрринг-Кросс;x
b_largetree;Большое Дерево;x
b_lecheylard;Лечилард;x
b_primfort;Примфорт;x
c_rollingford;Роллингфорд;x
b_rollingford;Роллингфорд;x
b_dragonmarsh;Драконье Болото;x
b_montroll;Монтролл;x
b_stoneroll;Стоунролл;x
c_edgerton;Эджертон;x
b_edgerton ;Эджертон;x
b_clinton;Клинтон;x
b_davaye;Девей;x
b_fuisse;Фьюсс;x
c_kings_landing;Королевская Гавань;x
b_red_keep;Красный Замок;x
b_red_keep_A;Красный Замок;x
b_kings_landing;Королевская Гавань;x
b_great_sept_of_baelor;Бейлора;x
b_dragon_gate;Драконьи Врата;x
b_white_sword_tower;Башня Светлого Меча;x
b_warriors_sons;Блошиный Конец;x
b_kings_gate;Королевские Врата;x
c_dalston_keep;Пост Долстона;x
b_dalston_keep;Пост Долстона;x
b_dalston_town;Долстон;x
b_farreach;Далекий Простор;x
b_lionsbane;Львиный Яд;x
d_kingswood;Королевский Лес;x
c_greensward;Зеленый Покров;x
b_greensward;Зеленый Покров;x
b_belhedge;Белхедж;x
b_mormead;Мормид;x
b_corcourt;Коркорт;x
c_attadale;Аттадейл;x
b_attadale;Аттадейл;x
b_apt;Эпт;x
b_opaldell;Опалделл;x
b_violetley;Вайолетли;x
c_woodmere;Вудмере;x
b_woodmere;Вудмере;x
b_crystalmere;Кристалмере;x
b_rockley;Рокли;x
b_esterhill;Эстерхилл;x
c_bywater;Байвотер;x
b_bywater;Байвотер;x
b_drakebridge;Дрейков Мост;x
b_belmount;Белмаунт;x
b_lochmont;Локмонт;x
d_masseys_hook;Крюк Масси;x
c_chyttering_brook;Читтерингов Ручей;x
b_chyttering_brook;Читтерингов Ручей;x
b_wendwater;Путеводная;x
b_wendbridge;Мост через Путеводную;x
b_orley;Орли;x
b_lowercliff;Нижний Утес;x
c_stonedance;Камнепляс;x
b_stonedance;Камнепляс;x
b_luna;Лана;x
b_fayham;Фэйем;x
b_saneldell;Сэнелделл;x
c_sharp_point;Острый Мыс;x
b_sharp_point;Острый Мыс;x
b_west_point;Западный Мыс;x
b_waycastle;Дорожный Замок;x
b_valcrest;Вэлкрест;x
b_edgerton;Пост Эджертона;x
e_narrow_sea;Узкое Море;x
b_the_gold_cloaks;Золотые плащи;x
title_commander_gold_cloaks;Командующий Золотыми Плащами;x
title_commander_gold_cloaks_desc;"Городские стражи Королевской Гавани, известные как ""Золотые Плащи"" - защитники города. Их командующий должен быть человеком верным и храбрым.";x
k_crackclaw_point;Коготь;x
k_dragonstone;Драконий Камень;x
dragonking_male;Драконий король;x
dragonking_female;Драконья королева;x
b_claw_isle_sept;Клешня;x
b_driftmark_sept;Дрифтмарк;x
b_dyre_den_sept;Лютое Логово;x
b_the_whispers_sept;Шепоты;x
b_byford_sept;Байфорд;x
b_stokeworth_sept;Стокворт;x
b_rosby_sept;Росби;x
b_kingswood_sept;Королевский Лес;x
b_stonedance_sept;Камнепляс;x
b_sharp_point_sept;Острый Мыс;x
b_spicetown;Спайстаун;x
b_high_tide;Высокий Прилив;x
b_hull;Халл;x
c_sweetport_sound;Приветная Бухта;x
b_sweetport_sound;Приветная Бухта;x
b_rambton;Рамблтон;x
b_sweetport_harbour;Приветный Порт;x
B_AEGONFORT;Эйгонфорт;x
b_hammerhold;Хаммерхолд;x
b_blackwater;Черноводная;x
c_crown_keep;Держатель короны;x
b_dippenhall;Диппенхол;x
b_knaphill;Кнэпхилл;x
b_westhumble;Вестхамбл;x
b_runfold;Ранфолд;x
b_glasswater_hall;Стекловодье;x
b_belgrave_hall;Замок Белгрейвов;x
d_stokeworth;Стокворт;x
d_hayford;Хейфорд;x
