#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_dorne;Дорн;x;;;;;;;;;;;;
e_dorne_adj;Дорнийск;x;;;;;;;;;;;;
k_dorne;Дорн;x;;;;;;;;;;;;
k_dorne_adj;Дорнийск;x;;;;;;;;;;;;
d_brokenarm;Перебитая Рука;x;;;;;;;;;;;;
c_sunspear;Солнечное Копье;x;;;;;;;;;;;;
b_speartower;Башня Копья;x;;;;;;;;;;;;
b_theshadowtown;Башня Тьмы;x;;;;;;;;;;;;
b_watergardens;Водные сады;x;;;;;;;;;;;;
b_towerofthesun;Солнечная башня;x;;;;;;;;;;;;
b_threefoldgate;Тройные Ворота;x;;;;;;;;;;;;
b_oldpalace;Старый Дворец;x;;;;;;;;;;;;
b_sunnysept;Солнечная;x;;;;;;;;;;;;
c_lemonwood;Лимонная роща;x;;;;;;;;;;;;
b_lemonwood;Лимонная роща;x;;;;;;;;;;;;
b_sourton;Саортон;x;;;;;;;;;;;;
b_oldlordsmanor;Старые лорды Манора;x;;;;;;;;;;;;
b_millerstown;Город Мельников;x;;;;;;;;;;;;
b_stinkwater;Стоячий Пруд;x;;;;;;;;;;;;x
b_deadglade;Мертвая поляна;x;;;;;;;;;;;;
c_plankytown;Город Планки;x;;;;;;;;;;;;
b_bloodspill;Кровавый пролив;x;;;;;;;;;;;;
b_longdike;Длинная дамба;x;;;;;;;;;;;;
b_tribunal;Трибунал;x;;;;;;;;;;;;
b_vipersnest;Гнездо Гадюки;x;;;;;;;;;;;;
b_plankytown;Город Планки;x;;;;;;;;;;;;
c_spotswood;Спотсвуд;x;;;;;;;;;;;;
b_olivegrove;Оливковая роща;x;;;;;;;;;;;;
b_greystoke;Серый сток;x;;;;;;;;;;;;
b_thornford;Брод Торна;x;;;;;;;;;;;;
b_whitecliff;Белый утёс;x;;;;;;;;;;;;
b_spotswood;Спотсвуд;x;;;;;;;;;;;;
d_vaith;Вейт;x;;;;;;;;;;;;
c_godsgrace;Дар богов;x;;;;;;;;;;;;
b_godsgrace;Дар богов;x;;;;;;;;;;;;
b_rhoynestear;Слезы Ройнаров;x;;;;;;;;;;;;
b_dunstables;Данстейблс;x;;;;;;;;;;;;
b_orangewood;Апельсиновый лес;x;;;;;;;;;;;;
b_santon;Сантон;x;;;;;;;;;;;;
b_waterfoot;Подножие Моря;x;;;;;;;;;;;;
c_saltshore;Солёный берег;x;;;;;;;;;;;;
b_saltshore;Солёный берег;x;;;;;;;;;;;;
b_bayswater;Морская бухта;x;;;;;;;;;;;;
b_seashellshall;Чертог Морских раковин;x;;;;;;;;;;;;
b_saltmarket;Солёный рынок;x;;;;;;;;;;;;
b_seacourt;Суд Моря;x;;;;;;;;;;;;
c_reddunes;Красные Дюны;x;;;;;;;;;;;;
b_reddunes;Вейт;x;;;;;;;;;;;;
b_whiskerville;Вискервилл;x;;;;;;;;;;;;
b_ferry;Ферри;x;;;;;;;;;;;;
b_vaith;Край Дюн;x;;;;;;;;;;;;
b_holdbytheriver;Удерживатель Реки;x;;;;;;;;;;;;
c_scorchedrock;Выжженная Скала;x;;;;;;;;;;;;
b_sandwall;Песчаная стена;x;;;;;;;;;;;;
b_oldglory;Старая Слава;x;;;;;;;;;;;;
b_deserthearth;Сердце Пустыни;x;;;;;;;;;;;;
b_lastoasis;Последний Оазис;x;;;;;;;;;;;;
