#CODE;ENGLISH;x;GERMAN;;SPANISH
e_new_valyria;Новая Валирия;x;;;
e_new_valyria_adj;Валирийск;x;;;
e_aurions_host;Валирия;x;;;
e_aurions_host_adj;Валирийск;x;;;
e_braavos;Браавос;x;;;
e_braavos_adj;Браавосийск;x;;;
e_three_daughters;Три Дочери;x;;;
e_three_daughters_adj;Триарихия;x;;;
k_braavos;Браавос;x;;;
k_braavos_adj;Браавосийск;x;;;
d_braavos;Браавос;x;;;
d_braavos_adj;Браавосийск;x;;;
d_braavosiancoastlands;Браавосийские острова;x;;;
d_coastlands;Браавосское побережье;x;;;
d_east_braavosiancoastlands;Моррогос;x;;;
d_sweetwater;Пресноводный;x;;;
c_braavos;Браавос;x;;;
b_braavos;Браавос;x;;;
b_sealordpalace;Дворец Морского Владыки;x;;;
b_titan;Браавосский Титан;x;;;
b_arsenal;Арсенал;x;;;
b_purpleharbor;Пурпурная Гавань;x;;;
b_ragmansharbor;Мусорная Заводь;x;;;
b_templemoonsingers;Храм Лунных Певцов;x;;;
c_themarshes;Лагуна;x;;;
b_themarshes;Мутный квартал;x;;;
b_themarshescastle;Щит Селлагоро;x;;;
b_themarshestemple;Отец Вод;x;;;
c_braavosishore;Широкий канал;x;;;
b_braavosishore;Рыбный рынок;x;;;
b_braavosishorecastle;Дом Тумана;x;;;
b_braavosishoretemple;Священный приют;x;;;
c_malaqovos;Малаквовос;x;;;
b_malaqovos;Малаквовос;x;;;
b_malaqovoscastle;Малаквовос;x;;;
b_malaqovostemple;Малаквовос;x;;;
c_freneros;Фрэнерос;x;;;
b_freneros;Фрэнерос;x;;;
b_freneroscastle;Фрэнерос;x;;;
b_frenerostemple;Фрэнерос;x;;;
c_braavosianhills;Холмы Браавоса;x;;;
b_braavosianhills;Порт Радости;x;;;
b_braavosianhillscastle;Лазурный Фонарь;x;;;
b_braavosianhillstemple;Дворец Багровых рук;x;;;
c_prestaynos;Пристейнос;x;;;
b_prestaynos;Пристейнос;x;;;
b_prestaynoscastle;Пристейнос;x;;;
b_prestaynostemple;Пристейнос;x;;;
c_braavosian_fields;Браавосийские поля;x;;;
b_braavosian_fields;Клетчатый порт;x;;;
b_braavosian_fieldscastle;Башня Изгнанника;x;;;
b_braavosian_fieldstemple;Сады Геленеи;x;;;
k_tyrosh;Тирош;x;;;
k_tyrosh_adj;Тирошийск;x;;;
d_tyrosh;Тирош;x;;;
c_tyrosh;Тирош;x;;;
b_tyrosh;Тирош;x;;;
b_tyroshharbor;Тирошийская гавань;x;;;
b_bleedingtower;Кровоточащая Башня;x;;;
b_fountaindrunkengod;Фонтан Пьяного Бога;x;;;
b_templeoftrios;Храм Троих;x;;;
b_zernosh;Зернош;x;;;
b_dynelos;Динелос;x;;;
c_tyroshilanding;Земли Тироша;x;;;
b_tyroshilanding;Порт Корысти;x;;;
b_tyroshilanding_castle;Башня Скрытности;x;;;
b_tyroshilanding_temple;Земли Двух Голов;x;;;
d_tyroshi_lands;Тирошийские спорные земли;x;;;
c_kylos;Килос;x;;;
b_kylos;Килос;x;;;
b_kylos_castle;Килос;x;;;
b_kylos_temple;Килос;x;;;
c_disputedpeninsula;Мыс Раздора;x;;;
b_disputedpeninsula;Спорный Порт;x;;;
b_disputedpeninsula_castle;Спорная Отмель;x;;;
b_disputedpeninsula_temple;Спорный Полуостров;x;;;
c_vysosplains;Равнины Висоса;x;;;
b_vysosplains;Равнины Висоса;x;;;
b_vysosplains_castle;Равнины Висоса;x;;;
b_vysosplains_temple;Равнины Висоса;x;;;
k_pentos;Пентос;x;;;
k_pentos_adj;Пентосийск;x;;;
d_pentos;Пентос;x;;;
d_pentos_adj;Пентосийск;x;;;
c_pentos;Пентос;x;;;
b_pentos;Пентос;x;;;
b_olynos;Олинос;x;;;
d_prince_pentos;Пентос;x;;;
d_prince_pentos_adj;Пентосийск;x;;;
PRINCEDOM_OF;Принципат;x;;;
b_princespalace;Дворец Принца;x;;;
b_pentosharbor;Гавань Пентоса;x;;;
b_spicertowers;Башня Специй;x;;;
b_sunrisegate;Восточные Врата;x;;;
b_redtemplepentos;Пентос;x;;;
c_sunriseroad;Восточный путь;x;;;
b_sunriseroad;Восточная гостиница;x;;;
b_sunriseroad_castle;Замок Рассвета;x;;;
b_sunriseroad_temple;Восточная дорога;x;;;
c_thegreatarm;Великая Рука;x;;;
b_thegreatarm;Великая Рука;x;;;
b_thegreatarm_castle;Великая Рука;x;;;
b_thegreatarm_temple;Великая Рука;x;;;
d_nontelos;Нонтелос;x;;;
c_princesshore;Побережье Принца;x;;;
b_princesshore;Гавань Принца;x;;;
b_princesshore_castle;Башня Принца;x;;;
b_princesshore_temple;Побережье Принца;x;;;
c_berylos;Берилос;x;;;
b_berylos;Берилос;x;;;
b_berylos_castle;Берилос;x;;;
b_berylos_temple;Берилос;x;;;
c_littlerhoyne;Малая Ройна;x;;;
b_littlerhoyne;Малая Ройна;x;;;
b_littlerhoyne_castle;Малая Ройна;x;;;
b_littlerhoyne_temple;Малая Ройна;x;;;
d_velvet_hills;Бархатные Холмы;x;;;
c_velvetmarch;Бархатный Путь;x;;;
b_velvetmarch;Логово Разбойников;x;;;
b_velvetmarch_castle;Бархатный Путь;x;;;
b_velvetmarch_temple;Бархатный Путь;x;;;
c_velvetpeak;Бархатная Пика;x;;;
b_velvetpeak;Бархатная гостиница;x;;;
b_velvetpeak_castle;Сфинкс;x;;;
b_velvetpeak_temple;Бархатная Пика;x;;;
c_fareyes;Далекое Око;x;;;
b_fareyes;Далекое Око;x;;;
b_fareyes_castle;Далекое Око;x;;;
b_fareyes_temple;Далекое Око;x;;;
d_pentoshi_flatlands;Равнины Пентоса;x;;;
c_amenos;Амэнос;x;;;
b_amenos;Амэнос;x;;;
b_amenos_castle;Амэнос;x;;;
b_amenos_temple;Амэнос;x;;;
c_arkon;Ар Кон;x;;;
b_arkon;Ар Кон;x;;;
b_arkon_castle;Ар Кон;x;;;
b_arkon_temple;Ар Кон;x;;;
c_mylonos;Милонос;x;;;
b_mylonos;Милонос;x;;;
b_mylonos_castle;Милонос;x;;;
b_mylonos_temple;Милонос;x;;;
c_nontelos;Нонтелос;x;;;
b_nontelos;Нонтелос;x;;;
b_nontelos_castle;Нонтелос;x;;;
b_nontelos_temple;Нонтелос;x;;;
c_lakeofmyrth;Озеро Мирт;x;;;
b_lakeofmyrth;Беззаботная гавань;x;;;
b_lakeofmyrth_castle;Озеро Мирт;x;;;
b_lakeofmyrth_temple;Озеро Мирт;x;;;
c_samal;Самал;x;;;
b_samal;Самал;x;;;
b_samal_castle;Самал;x;;;
b_samal_temple;Самал;x;;;
c_ghoyan_drohe;Гойан Дроэ;x;;;
b_ghoyan_castle;Гойан Дроэ;x;;;
b_ghoyan_drohe;Гойан Дроэ;x;;;
b_ghoyan_drohe_temple;Гойан Дроэ;x;;;
b_sar_moyhan;Сар Мойан;x;;;
b_gholuru;Голхуру;x;;;
k_myr;Мир;x;;;
k_myr_adj;Мирийск;x;;;
d_myr;Мир;x;;;
c_myr;Мир;x;;;
b_myr;Мир;x;;;
b_myrishharbor;Гавань Мира;x;;;
b_redtemplemyr;Мир;x;;;
b_vyrelos;Вирелос;x;;;
b_lace_tower;Кружевная Башня;x;;;
b_green_gate;Зеленые Врата;x;;;
b_nymolis;Нимолис;x;;;
c_bayofmyr;Бухта Мира;x;;;
b_bayofmyr;Бухта Мира;x;;;
b_bayofmyr_castle;Бухта Мира;x;;;
b_bayofmyr_temple;Бухта Мира;x;;;
d_myrish_hinterlands;Переход Дочерей;x;;;
c_plainsofmyr;Ринлос;x;;;
b_plainsofmyr;Ринлос;x;;;
b_plainsofmyr_castle;Ринлос;x;;;
b_plainsofmyr_temple;Ринлос;x;;;
c_latnyr;Латнир;x;;;
b_latnyr;Латнир;x;;;
b_latnyr_castle;Латнир;x;;;
b_latnyr_temple;Латнир;x;;;
c_vymolys;Вимолис;x;;;
b_vymolys;Вимолис;x;;;
b_vymolys_castle;Вимолис;x;;;
b_vymolys_temple;Вимолис;x;;;
d_myrish_disputed_lands;Спорные земли Мира;x;;;
c_forestofmyr;Киос;x;;;
b_forestofmyr;Нектарин;x;;;
b_forestofmyr_castle;Башея Нектара;x;;;
b_forestofmyr_temple;Лес Мира;x;;;
c_myrwater;Воды Мира;x;;;
b_myrwater;Воды Мира;x;;;
b_myrwater_castle;Воды Мира;x;;;
b_myrwater_temple;Воды Мира;x;;;
c_drelyia;Дрелайя;x;;;
b_drelyia;Дрелайя;x;;;
b_drelyia_castle;Дрелайя;x;;;
b_drelyia_temple;Дрелайя;x;;;
d_myrish_flatlands;Равнины Мира;x;;;
c_lortyrbay;Бухта Мученика;x;;;
b_lortyrbay;Бухта Мученика;x;;;
b_lortyrbay_castle;Бухта Мученика;x;;;
b_lortyrbay_temple;Бухта Мученика;x;;;
c_longlake;Длинное Озеро;x;;;
b_longlake;Длинное Озеро;x;;;
b_longlake_castle;Длинное Озеро;x;;;
b_longlake_temple;Длинное Озеро;x;;;
c_byloth;Билот;x;;;
b_byloth;Билот;x;;;
b_byloth_castle;Билот;x;;;
b_byloth_temple;Билот;x;;;
c_nymyrelor;Ни Мирилор;x;;;
b_nymyrelor;Ни Мирилор;x;;;
b_nymyrelor_castle;Ни Мирилор;x;;;
b_nymyrelor_temple;Ни Мирилор;x;;;
c_greenlace;Зеленые Кружева;x;;;
b_greenlace;Зеленые Кружева;x;;;
b_greenlace_castle;Зеленые Кружева;x;;;
b_greenlace_temple;Зеленые Кружева;x;;;
k_lys;Лис;x;;;
k_lys_adj;Лисенийск;x;;;
d_lys;Лис;x;;;
c_lys;Лис;x;;;
b_lys;Лис;x;;;
b_lyseneharbor;Гавань Лиса;x;;;
b_pleasuregardens;Сады Удовольствия;x;;;
b_redtemplelys;Лис;x;;;
