#CODE;ENGLISH;x;GERMAN;;SPANISH
e_iron_isles;Железные острова;x;;;
e_iron_isles_adj;Железнорожденн;x;;;
k_iron_isles;Железные острова;x;;;
k_iron_isles_adj;Железнорожденн;x;;;
Iking;Железный Король;x;;;
Iking_female;Железная Королева;x;;;
Iking_old_ironborn;Верховный король;x;;;
Iking_female_old_ironborn;Верховная королева;x;;;
Iking_FOA;Ваше величество;x;;;
d_pyke;Пайк;x;;;
d_great_wyk;Большой Вик;x;;;
d_seastone_isles;Каменные острова;x;;;
d_harlaw;Харлоу;x;;;
c_pyke;Пайк;x;;;
c_lordsport;Лордпорт;x;;;
c_saltcliffe;Соленый Утес;x;;;
c_hammerhorn;Хаммерхорн;x;;;
c_pebbleton;Пебблтон;x;;;
c_sealskin_point;Тюленья Шкура;x;;;
c_old_wyk;Старый Вик;x;;;
c_orkmont;Оркмонт;x;;;
c_blacktyde;Черная Волна;x;;;
c_ten_towers;Десять башен;x;;;
c_c_stonetree;Стоунтри;x;;;
c_volmark;Волмарк;x;;;
c_iron_holt;Железная Роща;;;;;;;;;;;;;x
c_nettlemont;Крапива;;;;;;;;;;;;;x
b_pyke;Пайк;x;;;
b_iron_acton;Железная роща;x;;;
b_seagrave;Сигрейв;x;;;
b_brodsworth;Бродсвурт;x;;;
b_krakenrock;Скала Кракена;x;;;
b_lordsport_keep;Лордпорт;x;;;
b_lordsport;Лордпорт;x;;;
b_axfirth;Аксферт;x;;;
b_silver_cove;Серебрянная бухта;x;;;
b_salt_end;Соленый край;x;;;
b_saltford;Соленый брод;x;;;
b_serpents_mouth;Змеиные уста;x;;;
b_hammerhorn;Хаммерхорн;x;;;
b_hardstone_hill;Фарор;x;;;
b_galleywood;Вороний шпиль;x;;;
b_hornhaven;Сигнальная Гавань;x;;;
b_pebbleton;Пебблтон;x;;;
b_fishbourne;Расселина;x;;;
b_herringby;Пебблтон;x;;;
b_sproutside;Спраутсайд;x;;;
b_sealskin_point;Тюленья шкура;x;;;
b_faroar;Мертвое озеро;x;;;
b_wynd_point;Вайнд;x;;;
b_naggas_hill;Холм Нагги;x;;;
b_stoneton;Камнелом;x;;;
b_seastone_point;Каменный холм;x;;;
b_portbone;Порт Костей;x;;;
b_orkwatch;Орквотч;x;;;
b_nettlebank;Крапивный Берег;x;;;
b_pinehole;Пейнхол;x;;;
b_littleport;Замок Черная Волна;x;;;
b_blackcove;Черная бухта;x;;;
b_ten_towers;Десять башен;x;;;
b_harlaw_hill;Харлоухолл;x;;;
b_kinscythe;Кинсайт;x;;;
b_stonetree;Стоунтри;x;;;
b_grey_cove;Серая бухта;x;;;
b_volmark;Волмарк;x;;;
b_shield_row;Щит Роу;x;;;
b_great_harbour;Большой Приют;x;;;
b_hangmyre;Хангмир;x;;;
b_stonehouse;Стоунхауз;x;;;
b_lonely_light;Одинокий свет;x;;;
b_grey_garden;Серый сад;x;;;
b_tower_of_glimmering;Башня Мерцания;x;;;
b_harridan_hill;Ведьмин Холм;x;;;
c_lonely_light;Одинокий свет;x;;;
b_lonely_harbour;Гавань Одиночества;x;;;
b_drumm_tower;Башня Драмма;x;;;
b_codd_hall;Старый Замок;x;;;
b_hoare_castle;Замок Хоара;x;;;
b_blackblood;Чёрная Кровь;x;;;
b_ironkeep;Железный Замок;;;;;;;;;;;;;x
b_oaken_shore;Дубовый Берег;;;;;;;;;;;;;x
b_oldwood;Старое Древо;;;;;;;;;;;;;x
b_moonport;Лунный порт;;;;;;;;;;;;;x
