#CODE;ENGLISH;x
e_north;Север;x
e_north_adj;Северн;x
k_north;Север;x
k_north_adj;Северн;x
e_first_men;Первые люди;x
e_first_men_adj;Первых людей;x
d_northclans;Северные кланы;x
C_NORTH_ROAD;Северная дорога;x
c_crowsedge;Край Стервятников;x
b_burley;Барли;x
b_wullseat;Усадьба Вуллов;x
b_bucketon;Букетон;x
b_coldcove;Холодная бухта;x
c_arrendell;Лощина Аррен;x
b_wolfscroft;Волчий хутор;x
b_arwoodtower;Башня Арвуд;x
b_knottheartglen;Долина Ноттов;x
c_pinesend;Паинсенд;x
b_firmont;Фирмонт;x
b_harclay;Харклеи;x
b_treesedge;Осоковый Вал;x
b_highwoodhall;Хайвуд Холл;x
c_shadowmoor;Тенистое Болото;x
b_moorhold;Моорхолд;x
b_darkwood;Темный Лес;x
b_highheath;Высокая пустошь;x
d_lasthearth;Последний очаг;x
c_lasthearth;Последний очаг;x
b_lasthearth;Последний очаг;x
b_woodhaven;Вудхейвен;x
b_fellber;Феллбер;x
b_northwold;Северная Пустошь;x
c_aylesvale;Вершина;x
b_aylestor;Вершина;x
b_lakehold;Белая Роща;x
b_deepcroft;Дипкрофт;x
c_lastriver;Последняя река;x
b_northpost;Северный пост;x
b_ashkeep;Пепельная застава;x
b_snowmelthall;Зал Талого снега;x
c_lonelyhills;Одинокие холмы;x
b_loftyfort;Возвышенный форт;x
b_longlaketown;Длинное озеро;x
b_umberleigh;Амберли;x
d_karhold;Кархолд;x
c_karhold;Кархолд;x
b_karhold;Кархолд;x
b_barbleton;Барбльетон;x
b_eastharbor;Восточный Харбор;x
b_snowdell;Снежная лощина;x
b_greyclifftower;Серокаменная башня;x
c_sealshore;Уплотненный берег;x
b_fisherhall;Фишерхолл;x
b_wintrackpost;Винтраск;x
c_eastmelt;Восточный Расплав;x
b_karlspost;Карлспост;x
b_eastmelt;Истмилт;x
c_bearisland;Медвежий остров;x
b_bearislandhall;Замок Мормонт;x
b_woodfootwatch;Дозор Вудфут;x
b_bearstone;Медвежий Камень;x
b_bearwood;Межвежий Лес;x
d_skagos;Скагос;x
c_kingshouse;Королевский дом;x
b_kingshouse;Королевский дом;x
b_snowrow;Метель;x
c_deepdown;Недра;x
b_deepdown;Недра;x
b_weirrocks;Скальная Плотина;x
c_driftwoodhall;Чертог Плавника;x
b_driftwoodhall;Чертог Плавника;x
b_blizzardbarrow;Холм Вьюги;x
c_skane;Скейн;;;;;;;;;;;;;x
b_skane;Скейн;;;;;;;;;;;;;x
b_lonely_hall;Одинокий Зал;;;;;;;;;;;;;x
d_rills;Родники;x
c_rills;Родники;x
b_highbrooktower;Башня Большого ручья;x
b_coldbrooke;Колдбрук;x
b_runletfort;Ручейковый форт;x
b_manehall;Грива;x
c_seadragonpoint;Мыс Морского дракона;x
b_seadragonwatch;Дозор Морского дракона;x
b_dragonport;Порт Дракона;x
c_bluehills;Черная заводь;x
b_firsenfort;Черная заводь;x
b_bluetower;Лазурная крепость;x
c_stonyshore;Каменный берег;x
b_reaverswatch;Караул похитителей;x
b_anglerage;Энглерейдж;x
c_witheredheath;Увядшая пустошь;x
b_skysmeet;Скайсмит;x
b_wetrocks;Дождливые Камни;x
b_red_barrow;Багряный Курган;x
c_blazewatercoast;Побережьте Пылающей Воды;x
b_saltspearkeep;Побережьте Пылающей Воды;x
b_thesalt;Соль;x
b_brightrill;Чисторечье;x
d_wolfswood;Волчий лес;x
c_deepwood;Темнолесье;x
b_deepwoodmotte;Темнолесье;x
b_frostypoint;Морозные земли;x
b_shadythicket;Темная Чаща;x
b_wulfhall;Волчий Чертог;x
c_blackgrove;Железный холм;x
b_blackgrove;Железный холм;x
b_copsetor;Копсетор;x
c_kingsgrove;Королевская роща;x
b_tumbledown_tower;Ветхая Башня;x
b_brierscroft;Шиповник;x
b_harclayhall;Харклихолл;x
c_wolfswood;Волчий лес;x
b_forestrefuge;Лесной Приют;x
b_croftersclearing;Вырубки Крофтера;x
b_wolfwoodhide;Волчья Берлога;x
c_acorngrove;Желудевая роща;x
b_grovefort;Дубрава;x
b_weirskags;Вьерскагс;x
d_barrowlands;Курганы;x
c_barrowton;Барроутон;x
b_highbarrow;Барроухолл;x
b_barrowton;Барроутон;x
b_godshill;Годшилл;x
b_harwoodshold;Владения Харвудов;x
b_brownbarrow;Бурый Курган;x
c_torrhenssquare;Торрхенов Удел;x
b_torrhenssquare;Торрхенов Удел;x
b_henslaketon;Хенслакетон;x
b_eastedgebarrens;Восточная Пустошь;x
c_spearmouth;Спимут;x
b_spearmouth;Спимут;x
b_lowbarrow;Низкий Курган;x
b_goldgrass;Златотравье;x
b_bentbarrow;Изогнутый Холм;x
c_fever;Горячка;x
b_dunfort;Дунфорт;x
b_feverreef;Дрожащий Риф;x
d_winterfell;Винтерфелл;x
c_winterfell;Винтерфелл;x
b_winterfell;Винтерфелл;x
b_wintertown;Зимний городок;x
b_winterwood;Зимний лес;x
b_whitegate;Белые врата;x
b_coldstream;Морозный ручей;x
b_brandonburgh;Город Брандона;x
c_castlecerwyn;Сервин;x
b_castlecerwyn;Сервин;x
b_theeagletower;Орлиная башня;x
c_dawnforest;Рассветный лес;x
b_glencastle;Лощина;x
b_childrenscopse;Роща Детей Леса;x
c_kingscourse;Королевский тракт;x
b_wayfarerswatch;Дозор путника;x
b_travelton;Тревелтон;x
b_southerway;Соутервей;x
d_dreadfort;Дредфорт;x
c_dreadfort;Дредфорт;x
b_dreadfort;Дредфорт;x
b_weeping;Плачущая;x
b_windygrove;Продуваемая роща;x
b_fleischerskeep;Крепость Флейшера;x
b_boltongate;Врата Болтонов;x
c_weepingbay;Плачущая бухта;x
b_rangersrefuge;Приют путника;x
b_gancliff;Ганклифф;x
c_sheepsheadhills;Бараньи Лбы;x
b_shepherdshearth;Очаг Пастуха;x
b_brokenbranchhead;Ломаная Ветвь;x
c_overton;Овертон;x
b_thenarrowseerstower;Башня провидца;x
b_overton;Овертон;x
b_weeperford;Брод Плпкальщика;x
d_whiteharbor;Белая Гавань;x
c_whiteharbor;Белая Гавань;x
b_newcastle;Новый замок;x
b_whiteharbor;Белая Гавань;x
b_wolfsden;Волчье Логово;x
b_septofsnow;Снежная;x
b_hardmead;Хардмид;x
b_alethorp;Алефорп;x
c_whiteknife;Белый Нож;x
b_whitecreekcastle;Твердыня Белого залива;x
b_chalkchildsseat;трон отпрысков Чалка;x
b_brokersbrook;Брокерсбрук;x
c_ethering;Небеса;x
b_ethersfort;Небесный форт;x
b_etherington;Небесный город;x
b_ethersgrove;Небесная роща;x
c_whitford;Уитфорд;x
b_fordswatch;Фордсвотч;x
b_whitfordtown;город Уитфорд;x
b_waterley;Уотерлей;x
c_oldcastle;Старый замок;x
b_oldcastle;Старый замок;x
b_bitesmouthtown;Кусачий город;x
b_thetooth;Зуб;x
d_hornwood;Сломанная Ветка;x
c_hornwood;Хорнвуд;x
b_castlehornwood;Замок Хорнвуд;x
b_hunterslodge;Домик охотника;x
b_hightree;Высокое дерево;x
b_manvers;Манверс;x
b_bullstone;Бычий Камень;x
c_ramsgate;Баранье Ворота;x
b_ramsgate;Баранье Ворота;x
b_fleecemarket;Шерстяной рынок;x
b_thebrokenbranchsmouth;Ворота Сломанной Ветки;x
c_widowswatch;Вдовий Дозор;x
b_widowswatch;Вдовий Дозор;x
b_westraton;Вестратон;x
b_isfield;Исфилд;x
b_jaw_hill;Джоухилл;x
d_theneck;Перешеек;x
c_greywaterwatch;Сероводье;x
b_greywaterwatch;Сероводье;x
b_thegreydun;Серые дюны;x
b_thesunkgrove;Затонувшая роща;x
b_reedhall;Ридхолл;x
c_moatcailin;Ров Кейлин;x
b_childrenstower;Детская башня;x
b_gatehousetower;Привратная башня;x
b_drunkardstower;Пьяная башня;x
b_elkstone;Элкстоун;x
c_greycrann;Грейкранн;x
b_tammscrannog;Плавучий остров Тамма;x
b_floathold;Флэутхолд;x
c_churwell;Чурвелл;x
b_churwellcrannog;Плавучий остров Чурвелл;x
b_churwellford;Чурвеллфорд;x
c_silvereed;Сильверид;x
b_fendun;Фендун;x
b_toirnsbog;Болото Тоирна;x
d_flintsfinger;Кремневый Палец;x
c_flintsfinger;Кремневый Палец;x
b_flintsfinger;Кремневый Палец;x
b_flintsthumb;Большой Палец;x
c_capekraken;Мыс Кракена;x
b_greencliffe;Гринклифф;x
b_ringrock;Скальный Обод;x
c_flintcliffs;Кремневые Утесы;x
b_clifftower;Скальная башня;x
b_arrowgrassroad;Луговая дорога;x
b_sallybrook;Саллибрук;x
c_flintkeep;Каменный Холм;x
b_flintkeep;Каменный Холм;x
b_brinmore;Бринмор;x
b_woodend;Вуденд;x
b_cray;Креи;x
#duke_hill_clansman; ;x
#duke_female_hill_clansman; ;x
#count_hill_clansman; ;x
#count_female_hill_clansman; ;x
#baron_hill_clansman; ;x
#baron_female_hill_clansman; ;x
b_thorpe;Торп;x
d_stonyshore;Каменный Берег;x
d_grey_gliffs;Серые скалы;x
c_grey_hold;Серый замок;x
d_oldcastle;Старый замок;;;;;;;;;;;;;x
c_oldcastle;Старый замок;;;;;;;;;;;;;x
b_oldcastle;Старый замок;;;;;;;;;;;;;x
c_blackpool;Чёрная Заводь;;;;;;;;;;;;;x
b_blackpool;Чёрная Заводь;;;;;;;;;;;;;x
b_blacktown;Чёрный город;;;;;;;;;;;;;x
b_waterford2;Проточье;;;;;;;;;;;;;x
b_longhouse;Длинный дом;;;;;;;;;;;;;x
b_shoreguard;Стража побережья;;;;;;;;;;;;;x
b_southsnow;Югоснежье;;;;;;;;;;;;;x
b_oldcliff;Седой утёс;;;;;;;;;;;;;x

