#CODE;ENGLISH;x
e_reach;Простор;x
e_reach_adj;Просторск;x
k_reach;Простор;x
k_reach_adj;Просторск;x
d_ocean_road;Морская дорога;x
c_old_oak;Старый Дуб;x
c_catswold;Катсволд;x
d_red_lake;Алое Озеро;x
c_redwater;Алое Озеро;x
c_risley_glade;Просека Рисли;x
d_northmarch;Северный переход;x
c_coldmoat;Холодный Ров;x
c_dosk;Даск;x
c_standfast;Оплот;x
c_derring_downs;Пещеры Дерринга;x
d_goldengrove;Золотая Роща;x
c_goldengrove;Золотая Роща;x
c_smithyton;Смититон;x
c_ivy_hall;Плющевой Чертог;x
d_torrentpeak;Водопадный Пик;x
c_wythers;Уитерс;x
c_alden_keep;Алденкип;x
c_torrentpeak;Водопадный Пик;x
d_tumbleton;Тамблтон;x
c_tumbleton;Тамблтон;x
c_harpshire;Харпшир;x
c_hammerhal;Хаммерхол;x
d_roseroad;Дорога Роз;x
c_bitterbridge;Горький Мост;x
c_leygood_keep;Лейгуд;x
c_longtable;Длинный Стол;x
c_roseford;Шиповный брод;x
d_mandervale;Долина Мандер;x
c_cider_hall;Сидерхолл;x
c_inchfield;Инчфилд;x
c_holyhall;Священный Чертог;x
d_blueburn;Синий Ручей;x
c_appleton;Эпплтон;x
b_appleton_keep;Замок Эпплтон;x
C_STRICKLAND;Стрикленд;x
c_grassy_vale;Луговина;x
c_hastwyck;Хаствик;x
d_the_shield_isles;Щитовые острова;x
c_greenshield;Зеленый Щит;x
c_greyshield;Серый Щит;x
c_oakenshield;Дубовый Щит;x
c_southshield;Южный Щит;x
d_highgarden;Хайгарден;x
c_highgarden;Хайгарден;x
c_westbrook;Вестбрук;x
c_smallwood;Желуди;x
c_manderford;Брод Мандер;x
c_bardshome;Приют Бардов;x
d_cockleswhent;Зыбкая;x
c_new_barrel;Новая Бочка;x
c_ashford;Эшфорд;x
c_yelshire;Йелшир;x
c_starpike;Звездный Пик;x
d_brightwater;Ясноводный Чертог;x
c_norcross;Норкросс;x
c_dunnsbridge;Даннсбридж;x
c_brightwater;Ясноводный Чертог;x
d_west_marches;Вестмарк;x
c_darkdell;Темная Лощина;x
c_middlebury;Миддлбери;x
c_horn_hill;Рогов Холм;x
c_fawn_crag;Утес олененка;x
c_sommerset;Соммерсет;x
b_cobblestone;Булыжник;x
c_hunt_hills;Холмы Охотника;x
d_oldtown;Старомест;x
c_bandallon;Бандаллон;x
c_honeyholt;Медовая роща;x
c_blackcrown;Черный Венец;x
c_oldtown;Старомест;x
c_uplands;Нагорье;x
c_threetowers;Три Башни;x
b_hammerton;Хаммертон;x
c_sunhouse;Солнечный дом;x
b_high_goblet;Большой Кубок;x
