#CODE;ENGLISH;x
e_ghiscar;Гискар;x
e_ghiscar_adj;Гискарск;x
k_yunkai;Юнкай;x
k_yunkai_adj;Юнкайск;x
d_yunkai;Юнкай;x
d_yunkai_adj;Юнкайск;x
c_yunkai;Юнкай;x
b_yunkai;Юнкай;x
b_greatpyramidyunkai;Великая Пирамида Юнкая;x
b_plazaofambition;Площадь Амбиций;x
b_yunkaiharbor;Гавань Юнкая;x
b_wallsyunkai;Железная Пирамида;x
b_yunkai_temple;Храм Юнкая;x
b_golden_pyramid;Золотая Пирамида;x
c_yaros;Ярос;x
b_yaros;Ярос;x
b_yaroscastle;Ярос;x
b_yarostemple;Ярос;x
c_maelk;Маэлк;x
b_maelk;Маэлк;x
b_maelkcastle;Маэлк;x
b_maelktemple;Маэлк;x
d_yunkishhills;Юнкайские холмы;x
c_yunkishhills;Вадхадан;x
b_yunkishhills;Вадхадан;x
b_yunkishhillscastle;Вадхадан;x
b_yunkishhillstemple;Вадхадан;x
c_coppermountains;Калдин;x
b_coppermountains;Калдин;x
b_coppermountainscastle;Калдин;x
b_coppermountainstemple;Калдин;x
k_astapor;Астапор;x
k_astapor_adj;Астапорск;x
d_astapor;Астапор;x
d_astapor_adj;Астапорск;x
c_astapor;Астапор;x
b_astapor;Астапор;x
b_greatpyramidastapor;Великая Пирамида Астапора;x
b_plazaofpride;Площадь Гордости;x
b_plazaofpunishment;Площадь Кары;x
b_worm_pyramid;Пирамида Червя;x
b_astapor_temple;Храм Астапора;x
b_blood_pyramid;Кровавая Пирамида;x
c_wormriver;Дозай;x
b_wormriver;Дозай;x
b_wormrivercastle;Дозай;x
b_wormrivertemple;Дозай;x
c_astaporihills;Гадис;x
b_astaporihills;Гадис;x
b_astaporihillscastle;Гадис;x
b_astaporihillstemple;Гадис;x
d_worm_river;Река Червь;x
c_hornshezzat;Рога Хеззата;x
b_hornshezzat;Рога Хеззата;x
b_hornshezzatcastle;Рога Хеззата;x
b_hornshezzattemple;Рога Хеззата;x
c_slaversroad;Дорога рабов;x
b_slaversroad;Дорога рабов;x
b_slaversroadcastle;Дорога рабов;x
b_slaversroadtemple;Дорога рабов;x
k_meereen;Миэрин;x
k_meereen_adj;Миэринск;x
d_meereen;Миэрин;x
d_meereen_adj;Миэринск;x
c_meereen;Миэрин;x
b_meereen;Миэрин;x
b_greatpyramidmeereen;Великая Пирамида Миэрина;x
b_plazaofmanycolors;Площадь Очищения;x
b_wallsmeereen;Пирамида Квеззара;x
b_meereenharbor;Гавань Миэрина;x
b_fightingpits;Йерицанская Пирамида;x
b_graces;Грации;x
c_nomansland;Ничейные земли;x
b_nomansland;Ничейные земли;x
b_nomanslandcastle;Ничейные земли;x
b_nomanslandtemple;Ничейные земли;x
d_khyzaipass;Кхизайский перевал;x
c_khyzaipass;Кхизайский перевал;x
b_khyzaipass;Кхизайский перевал;x
b_khyzaipasscastle;Кхизайский перевал;x
b_khyzaipasstemple;Кхизайский перевал;x
c_meereenesehills;Миэринские холмы;x
b_meereenesehills;Миэринские холмы;x
b_meereenesehillscastle;Миэринские холмы;x
b_meereenesehillstemple;Миэринские холмы;x
k_new_ghis;Новый Гис;x
k_new_ghis_adj;Новогискарск;x
d_new_ghis;Новый Гис;x
d_new_ghis_adj;Новогискарск;x
c_new_ghis;Новый Гис;x
b_newghis;Новый Гис;x
b_pyramidnewghis;Великая Пирамида Нового Гиса;x
b_newghis_temple;Храм Нового Гиса;x
b_newghisharbour;Гискарская гавань;x
b_pyramidnewghis_2;Пирамида владыки;x
c_ghaen;Гаэн;x
b_ghaen;Гаэн;x
