#CODE;ENGLISH;x
e_stormlands;Штормовые земли;x
e_stormlands_adj;Штормов;x
k_stormlands;Штормовые земли;x
k_stormlands_adj;Штормов;x
Sking;Штормовой Король;x
Sking_female;Штормовая Королева;x
Sking_FOA;Ваше величество;x
D_DURRANVALE;Долина Дюррана;x
C_BLACKHEART;Черное Сердце;x
B_BLACKHEART_KEEP;Замок Черное Сердце;x
d_wendwater;Путеводная;x
c_bronzegate;Бронзовые Врата;x
b_bronzegate;Бронзовые Врата;x
b_bucklerforge;Кузнечный Щит;x
b_bronze_sept;Бронзовых Врат;x
c_felwood;Фелвуд;x
b_felwood;Фелвуд;x
b_brickendon;Брикендон;x
b_felwood_sept;Фелвуда;x
c_amberly;Амберли;x
b_amberly;Амберли;x
b_fairhunt;Город Логруса;x
c_hadlow_keep;Замок Хэдлоу;x
b_hadlow_keep;Замок Хэдлоу;x
c_langward_hall;Лангвардхолл;x
b_langward_hall;Лангвардхолл;x
d_red_watch;Красный Дозор;x
c_lonmouth;Лонмаут;x
b_lonmouth;Лонмаут;x
c_stonehelm;Каменный Шлем;x
b_stonehelm;Каменный Шлем;x
b_swanport;Слэйнмот;x
b_twinflight;Твинфлайт;x
b_redwatch;Замок Слейн;x
c_lockport;Локпорт;x
b_herston_hall;Херстонхолл;x
b_lockport;Локпорт;x
d_tarth;Тартский пролив;x
c_tarth;Тарт;x
b_evenfall;Закатный;x
b_manning_hall;Мэнинхолл;x
b_evenstar_sept;Вечерняя Звезда;x
b_sapphire_point;Сапфировый мыс;x
c_haystack_hall;Скирд;x
b_haystack_hall;Скирд;x
b_reapers_rest;Отдых Жнеца;x
b_bayfield;Бэйфилд;x
b_haystack_sept;Скирда;x
c_parchments;Пергаменты;x
b_parchments;Пергаменты;x
b_oakenfield;Дубовое поле;x
c_harvest_hall;Дом Урожая;x
b_harvest_hall;Дом Урожая;x
b_bold_warrior;Дом Урожая;x
b_harvest_town;Урожайный город;x
d_shipbreaker;Залив Разбитых Кораблей;x
c_storms_end;Штормовой Предел;x
b_storms_end;Штормовой Предел;x
b_storms_drum;Штормовой Барабан;x
b_stagsden;Оленье логово;x
b_childrens_fist;Высота Дюррана;x
b_stormy_sept;Штормовая;x
b_storms_call;Штормовой Зов;x
b_childrens_of_storms;Дети Бури;x
c_galemont;Гейлмонт;x
b_galemont_fort;Гейлмонт;x
b_galemont_sept;Гейлмонта;x
c_griffins_roost;Грифонов Насест;x
b_griffins_roost;Грифонов Насест;x
