#CODE;ENGLISH;x
e_vale;Гора и Долина;x
e_vale_adj;Долинск;x
k_vale;Долина;x
k_vale_adj;Долинск;x
B_MIDLOR_KEEP;Замок Мидлор;x
d_the_sisters;Сестры;x
c_sweetsister;Милая Сестра;x
b_sisterton;Систертон;x
b_breakwater;Волнолом;x
b_crably;Крэбли;x
c_longsister;Длинная Сестра;x
b_starsea_beacon;Маяк Морская Звезда;x
b_gimbleton;Гимблтон;x
c_littlesister;Малая Сестра;x
b_havenry;Хэвенри;x
b_blackhaven_a;Блэкхэвен;x
d_the_bite;Пасть;x
c_bite_coast;Тяжкий Дол;x
b_blackmund_tower;Башня Блэкманд;x
b_biteport;Порт Челюсти;x
b_sunnyvale;Солнечная долина;x
c_scorched_vale;Выжженная долина;x
b_blackholm;Блэкхолм;x
b_alchebarge;Алхебардж;x
b_darkcroft;Даркрофт;x
c_crows_barrens;Воронья пустошь;x
b_stonekyme;Стоунким;x
b_potterby;Поттерби;x
b_rockle;Рокл;x
c_moonsgrey;Серые Луны;x
b_renwick;Ренвик;x
b_menaskham;Менаскхэм;x
b_horcrag;Горизонт Гор;x
d_the_fingers;Персты;x
c_pebble;Галечный;x
b_pebb;Пебб;x
c_the_paps;Сосцы;x
b_elseham;Элсехем;x
b_woodhull;Частокол;x
c_wycliffe;Уиклифф;x
b_scarle_keep;Скарликип;x
c_midlor_point;Мидлор;x
b_baelskeep;Билскип;x
c_sunset_keep;Крепость Восхода;x
b_sunset_keep;Крепость Восхода;x
d_northweald;Северная пустыня;x
c_newkeep;Новая Крепость;x
b_newkeep;Новая Крепость;x
b_wiskyme;Уискайм;x
b_wickby;Викби;x
c_coldwater_burn;Стылые Воды;x
b_coldwater_burn;Стылые Воды;x
b_rosesk;Розеск;x
b_rosvale;Розвейл;x
c_snakewood;Змеиный Лес;x
b_snakewood_seat;Змеиный Лес;x
b_bycopse;Перелесок;x
b_woodvale;Долинная роща;x
d_strongsong;Суровая Песнь;x
c_strongsong;Суровая Песнь;x
b_strongsong;Суровая Песнь;x
b_belham;Белхам;x
b_blackford;Чепный брод;x
c_darkmoor;Черное болото;x
b_burning_heath;Пылающий Вереск;x
b_timmeton;Тимметон;x
c_crown_crag;Гряда Короны;x
b_the_crown;Корона;x
b_egenford;Игенфорд;x
b_highcliff_watch;Дозор Высокой скалы;x
d_the_giants_lance;Копье гиганта;x
c_the_eyrie;Орлиное Гнездо;x
b_the_eyrie;Орлиное Гнездо;x
b_stone;Каменный замок;x
b_snow;Снежный замок;x
b_sky;Небесный замок;x
b_the_gates_of_the_moon;Лунные Врата;x
c_hearts_home;Дом Сердец;x
b_hearts_home;Дом Сердец;x
b_creek_castle;Крик;x
b_wingpass;Крыло;x
c_bloody_gate;Кровавые Врата;x
b_bloody_gate;Кровавые Врата;x
c_grey_glen;Серая Лощина;x
b_grey_glen;Серая Лощина;x
b_greypool;Серый Омут;x
