#CODE;ENGLISH;x
e_westerlands;Утес;x
e_westerlands_adj;Западн;x
k_westerlands_adj;Западн;x
k_westerlands;Западные земли;x
d_the_crag;Скала;x
d_silverhill;Серебрянный Холм;x
d_goldroad;Золотая Дорога;x
d_kayce;Кайс;x
d_sarsfield;Сарсфилд;x
d_golden_tooth;Золотой Зуб;x
d_crakehall;Крейкхолл;x
d_cornfield;Корнфилд;x
d_casterly_rock;Утес Кастерли;x
d_castamere;Кастамере;x
d_ashemark;Эшмарк;x
c_wyndhall;Виндхолл;x
c_thurrock;Туррок;x
c_the_crag;Скала;x
c_tendring;Тендринг;x
c_tarbeck_hall;Тарбекхолл;x
c_silverhill;Серебрянный Холм;x
c_sarsfield;Сарсфилд;x
c_riverspring;Ключи;x
c_redbramble;Красный Терновник;x
c_pendrick_hills;Холмы Пендрика;x
c_peckledon;Пеклдон;x
c_payne_hall;Пейнхолл;x
c_oxcross;Окскросс;x
c_nunns_deep;Пещеры Нанн;x
c_myatt;Майатт;x
c_maunhill;Маунхилл;x
c_lonmont;Лонмонт;x
c_lannisport;Ланниспорт;x
c_kayce;Кайс;x
c_hornvale;Хорнваль;x
c_hawthorn;Хоторн;x
c_greenmont;Гринмонт;x
c_greenfield;Гринфилд;x
c_goldshire;Голдшир;x
c_golden_tooth;Золотой Зуб;x
c_glitterdale;Блестящая долина;x
c_feastfires;Праздник Огней;x
c_fang_tower;Башня Клыка;x
c_falwell;Фолвелл;x
c_fair_isle;Светлый Остров;x
c_drox_castle;Замок Дрокс;x
c_deep_den;Глубокая Нора;x
c_crakehall;Крейкхолл;x
c_cornfield;Корнфилд;x
c_casterly_rock;Утес Кастерли;x
c_castamere;Кастамере;x
c_brent_brook;Брентбрук;x
c_banefort;Бейнфорт;x
c_ashemark;Эшмарк;x
b_wyndhalltown;Тиринхэм;x
b_wyndhallsept;Виндхолла;x
b_wyndhall;Виндхолл;x
b_westford;Вестфорд;x
b_underwood;Андервуд;x
b_thurrocktowntwo;Оливиатон;x
b_thurrocktown;Малая Усадьба;x
b_thurrock;Туррок;x
b_the_cragtown;Бухта Скалы;x
b_the_cragsept;Скалы;x
b_the_crag;Скала;x
b_tendringtowntwo;Золотой Луг;x
b_tendringtownone;Серебрянный ручей;x
b_tendringsepttwo;Семь Колец;x
b_tendringsept;Солнечное Пятно;x
b_tendring;Тендринг;x
b_tarbeck_halltown;Деревянная Виселица;x
b_tarbeck_hallsept;Тарбекхолл;x
b_tarbeck_hall;Тарбекхолл;x
b_sowerby;Сауэрби;x
b_silverhilltown;Соутери;x
b_silverhillsept;Серебрянного Холма;x
b_silverhillcastletwo;Вьюпоинт;x
b_silverhillcasteltwo;Замок Акр;x
b_silverhill;Серебрянный Холм;x
b_sarsfieldtowntwo;Сарсборроу;x
b_sarsfieldtown;Милденхолл;x
b_sarsfieldsept;Сарсфилд;x
b_sarsfield;Сарсфилд;x
b_riverspring;Ключи;x
b_redbrambletown;Маленький порт;x
b_redbramblesept;Уондерс;x
b_redbramble;Красный Терновник;x
b_pendrick_hillstowntwo;Борроус;x
b_pendrick_hillstown;Мертвая Вода;x
b_pendrick_hillssept;Семь Взглядов;x
b_pendrick_hills;Холмы Пендрика;x
b_peckledontowntwo;Город Пекл;x
