#CODE;ENGLISH;x
TYRANTTOOLTIP5;+ §R5§! тирании;x
TYRANTTOOLTIP10;+ §R10§! тирании;x
TYRANTTOOLTIP15;+ §R15§! тирании;x
TYRANTTOOLTIP20;+ §R20§! тирании;x
TYRANTTOOLTIP30;+ §R30§! тирании;x
TYRANTTOOLTIP40;+ §R40§! тирании;x
CUSTOMTOOLTIP1;[Root.GetTitledFirstName] §GСТАНЕТ§W вашим вассалом.\n;x
CUSTOMTOOLTIP2;[Root.GetTitledFirstName] §RНЕ§W желает становиться вашим вассалом.\n;x
CUSTOMTOOLTIP3;[This.GetTitledFirstName] станет независимым правителем всех земель, взятых в крестовом походе.\n;x
CUSTOMTOOLTIP4;Дальний родственник станет независимым правителем всех земель, взятых в крестовом походе.\n;x
