#CODE;ENGLISH;x
EVTDESCtraditional_claims.2;Я законный правитель Семи Королевств и Королевская Гавань является неотъемлемой частью королевства!;x
EVTOPTAtraditional_claims.2;Это мой город;x
EVTDESCtraditional_claims.3;Дом Таргариенов правит Вестеросом со времен Эйгона Завоевателя. Мы объединили семь королевств в одно. Мы построили Королевскую Гавань. Мы выковали Железный Трон. И мы не позволим нашим несомненным правам ускользнуть.;x
EVTOPTAtraditional_claims.3;Пламя и Кровь!;x
EVTDESCtraditional_claims.4;Дом Старков ведет свою родословную от Брандона Строителя. Мы правили севером и защищали традиции Первых Людей восемь тысяч лет. Винтерфелл и Север принадлежит нам, и никто не смеет когда-либо отобрать их у нас.;x
EVTOPTAtraditional_claims.4;Зима Близко.;x
EVTDESCtraditional_claims.5;После того как Харренхолл был сожжен, Железнорожденные выбрали Викона Грейджоя своим повелителем. Грейджои возводят свой род к Серому Королю. Мы не будем сидеть сложа руки и смотреть как наше неотъемлемое право ускользает, когда у нас есть силы, чтобы взять его обратно.;x
EVTOPTAtraditional_claims.5;Мы не сеем.;x
EVTDESCtraditional_claims.6;Сам Король Эйгон пожаловал Речные Земли Эдмину Талли, после того как он освободил их от тирании Железных людей. Талли правили Риверраном триста лет. Если у кого-то и есть претензии на эти земли, так только у нас!;x
EVTOPTAtraditional_claims.6;Семья. Долг. Честь.;x
EVTDESCtraditional_claims.7;Сир Артис Аррен был первым рыцарем, который пересек Узкое море. Он взлетел в Орлиное Гнездо на соколе и убил горного короля и дал Долине Аррен свое имя. Его наследие наше по праву.;x
EVTOPTAtraditional_claims.7;Высокий как честь.;x
EVTDESCtraditional_claims.8;Львы правят над Западом с Эпохи Героев. Кастерли когда-то были хозяевами Утеса Кастерли, но Ланн Умный изгнал их оттуда. Эти новые выскочки скоро познают то же.;x
EVTOPTAtraditional_claims.8;Услышь мой рев!;x
EVTDESCtraditional_claims.9;Никогда за всю историю Дом Баратеонов не смирялся с поражением. Основатель Дома, Орис Баратеон, убил последнего короля Штормовых Земель из рода Дюррандонов, Аргилака Надменного, и получил в награду его дочь, земли и титулы... Олень пролетит над нашими землями еще раз.;x
EVTOPTAtraditional_claims.9;Нам ярость!;x
EVTDESCtraditional_claims.10;Наши предки не были рождены повелителями. Дом Тирелл получил Простор, на выжженном Поле. Но на протяжении более трехсот лет, мы зарекомендовали себя лучше, чем любой из Гарденеров. Простор и Хайгарден наши!;x
EVTDESCtraditional_claims.10B;Дом Гарденеров из Хайгардена, по всем известным традициям, является законной династией королей Простора. Начиная с мифического первого короля Гарта Садовника, Гарденеры правили бесчисленными поколениями.;x
EVTDESCtraditional_claims.10C;Дом [Root.GetOnlyDynastyName] может проследить свою родословную до Гарта Зеленорукого, Верховного короля Первых людей и отца Гарта Гарденера. Простором должен по праву править род Зелёной руки!;x
EVTOPTAtraditional_claims.10;Вырастая — крепнем;x
EVTDESCtraditional_claims.11;Мартеллы господствуют над Дорном со времен, когда королева Нимерия пересекла Узкое море. Мы сохраняли наш народ в безопасности и свободе в течении сотен лет. Даже Эйгон со всеми его драконами  не  смог победить нас. Эти захватчики будут жить не лучше, в конце концов.;x
EVTOPTAtraditional_claims.11;Непреклонные, несгибаемые, несдающиеся.;x
EVTDESCtraditional_claims.12;Когда король Мерн погиб на Выжженном Поле, завоеватель не обратил внимания на законы Простора. Он отдал Хайгарден смиренному стюарду, когда он по праву должен был быть наш. Мы Заберем то, что принадлежит нам по праву.;x
EVTOPTAtraditional_claims.12;То, что украл один человек;x
EVTDESCtraditional_claims.13;Дом Фреев правит Переправой в течении бесчисленных поколений. Сотни армий пересекли Близнецы, и все они заплатили нам должное. Эти новые нарушители могут подумать, что они не должны, но в свое время они узнают, насколько они не правы.;x
EVTOPTAtraditional_claims.13;Мы примем нашу плату.;x
EVTDESCtraditional_claims.14;Бракены уже не одну сотню лет враждуют с соседями - домом Блэквудов, зачастую эта вражда влияет на внешнюю политику обоих родов в целом. Вражда началась еще в Век Героев за пятьсот лет до прихода андалов, когда и Блэквуды тоже были королями (причем Хостер Блэквуд утверждал, что Бракены были вассалами Блэквудов). Взаимная неприязнь, видимо, усугубилась тем, что с приходом андалов Бракены изменили вере в Старых Богов и стали исповедовать культ Семерых;x
EVTOPTAtraditional_claims.14;Дом [Root.GetOnlyDynastyName] имеет преимущество!;x
EVTDESCtraditional_claims.15;Деймон Блэкфайр истинный наследник короля Эйгона IV. Как это может быть не так, когда он получил родовой меч Черное Пламя? Моя родословная является законной линией королей из Дома Таргариен.;x
EVTOPTAtraditional_claims.15;За Чёрного Дракона!;x
EVTDESCtraditional_claims.16;Когда Эйгон Завоеватель уничтожил дома Хоаров в Харренхолле, Куорен Волмарк остался законным претендентом на трон Железных островов. Железные острова - наше законное наследство по черной линии, мы должны заплатить за него железом!;x
EVTOPTAtraditional_claims.16;Я получу корону из плавника;x
EVTDESCtraditional_claims.199;Родословная Дома [Root.GetOnlyDynastyName] претендует на традиционные исконные земли, земли, которые необходимо вернуть!;x
EVTOPTAtraditional_claims.199;Я требую эти титулы для своего дома;x
EVTOPTAtraditional_claims.199B;[Root.GetHouseWords];x
EVTDESCtraditional_claims.201;Дом [Root.GetOnlyDynastyName] правил в земле [bloodline_title.GetFullName] в течение многих поколений, и за это время наша родословная стала очень уважаемой. Дом [Root.GetOnlyDynastyName] теперь считается традиционным великим домом региона.;x
EVTDESCtraditional_claims.201A;Ваш подвиг восстановления традиционных путей сестринцев означает, что родословная Дома [Root.GetOnlyDynastyName] теперь высоко ценится в регионе [bloodline_title.GetFullName]. Дом [Root.GetOnlyDynastyName] теперь считается традиционным великим домом на Сёстрах.;x
EVTDESCtraditional_claims.201B;Ваш подвиг восстановления страшнейших флотов Скагоса означает, что родословная Дома [Root.GetOnlyDynastyName] теперь высоко ценится в ркгионе [bloodline_title.GetFullName]. Дом [Root.GetOnlyDynastyName] теперь считается традиционным великим домом Скагоса.;x
EVTDESCtraditional_claims.201C;Ваш подвиг по завоеванию земли [bloodline_title.GetFullName] означает, что родословная Дома [Root.GetOnlyDynastyName] теперь высоко ценится побежденными народами вашего нового владения. Дом [Root.GetOnlyDynastyName] теперь считается традиционным великим домом региона.;x
EVTDESCtraditional_claims.201D;Ваше достижение в создании государства [bloodline_title.GetFullName] означает, что родословная Дома [Root.GetOnlyDynastyName] теперь высоко ценится всеми народами вашего славного домена. Дом [Root.GetOnlyDynastyName] теперь считается традиционным великим домом региона.;x
TOOLTIPtraditional_claims.201A;Новый [bloodline_title.GetAdjective] младший дом [Root.GetOnlyDynastyName] признан;x
TOOLTIPtraditional_claims.201B;Новый младший дом [Root.GetOnlyDynastyName] признан;x
