#CODE;ENGLISH;x
unoccupied_group;Незанятые;x
ruin;Руины;x
ruin_desc;Это руины. §YРуины можно колонизировать, щелкнув правой кнопкой мыши на их щите и выбрав решение 'колонизировать'.§! ;x
unoccupied_rel_group;Незанятые;x
ruin_rel;Руины;x
ruin_rel_DESC;Руины. §YРуины можно колонизировать, щелкнув правой кнопкой мыши на их щите и выбрав решение 'колонизировать'.§! ;x
dothraki_domain_culture;Дотракийские земли;x
dothraki_domain_rel;Дотракийские земли;x
dothraki_domain_rel_DESC;Дотракийские земли;x
jogos_domain_culture;Владения Джогос Нхай;x
jogos_domain_rel;Владения Джогос Нхай;x
jogos_domain_rel_DESC;Владения Джогос Нхай;x
city_count_ruin;Руины;x
city_count_foa_ruin;Мои руины;x
city_county_ruin;Руины;x
city_county_of_ruin;Руины;x
count_ruin;Руины;x
count_foa_ruin;Мои руины;x
county_ruin;Мои руины;x
county_of_ruin;Руины;x
city_baron_ruin;Руины;x
city_baron_foa_ruin;Мои руины;x
city_barony_ruin;Разрушенный город;x
city_barony_of_ruin;Разрушенный город;x
baron_ruin;Руины;x
baron_foa_ruin;Мои руины;x
barony_ruin;Разрушенный замок;x
barony_of_ruin;Разрушенный замок;x
temple_baron_ruin;Руины;x
temple_baron_foa_ruin;Мои руины;x
temple_barony_ruin;Разрушенный храм;x
temple_barony_of_ruin;Разрушенный храм;x
ruined_province;Разрушенная провинция;x
colony;Колония;x
partial_colony;Расширенная колония;x
colonisation;Колонизация;x
colonisation_desc;Эта разрушенная провинция не имеет владельца и может быть колонизирована при правильных условиях.;x
colonise_province;Колонизировать;x
colonise_province_named;Колонизировать [Root.GetName];x
colonise_province_desc;[Root.GetName] - незанятые руины, которые могут быть колонизированы при выполненных условиях.;x
CB_NAME_COLONISATION;Колонизация [Title.GetBaseName];x
WAR_NAME_COLONISATION;$ORDER$ $FIRST_ADJ$ Колонизация $OTHER_TITLE$;x
TOOLTIPunoccupied.3;Колония будет создана в земле [This.GetName]\nИмейте ввиду, что колония будет приносить убытки и предоставлять малое ополчение в течении многих лет колонизации. Чем больше колония - тем большие на нее затраты.\n От ваших управленческих навыков напрямую зависит скорость роста колонии. Назначьте вашего стюарда наблюдать за строительством, чтобы ускорить процесс.\n;x
EVTDESCunoccupied.3;Вы решили, что новая колония будет возведена во имя Дома [Root.GetOnlyDynastyName], все, что требуется, это окончательное подтверждение...;x
EVTOPTAunoccupied.3;Да, возвести колонию;x
EVTOPTBunoccupied.3;Я передумал;x
ca_colony_1;Небольшой форпост;x
ca_colony_2;Форпост;x
ca_colony_3;Большой форпост;x
ca_colony_4;Колония;x
ca_colony_5;Большая колония;x
ca_colony_6;Огромная колония;x
ct_colony_1;Небольшой форпост;x
ct_colony_2;Форпост;x
ct_colony_3;Большой форпост;x
ct_colony_4;Колония;x
ct_colony_5;Большая колония;x
ct_colony_6;Огромная колония;x
TOOLTIPcolonisation;Целевая провинция должна быть расположена по соседству на суше или на море - в диапазоне двух провинций от земли [Root.GetTitledFirstNameWithDynastyNoRegnal].\n;x
TOOLTIPcolonisationB;[Root.GetName] должно соседствовать или быть на расстоянии в две морские провинции от земли [From.GetTitledFirstNameWithDynastyNoRegnal].\n;x
TOOLTIPcolonisationCOST;[Root.GetTitledFirstName] долж[Root.GetNaEn] иметь достаточное количество золота, чтобы колонизировать провинцию (1000¤ для руин, 500¤ для кочевых провинций);x
EVTDESCunoccupied.4;После многих месяцев восстановления, руины [Root.GetName], наконец, напоминают жилое место. Многие поселенцы стекаются на эти земли и с их ростом мы начнем собирать налоги.;x
EVTOPTAunoccupied.4;Колония будет построена - это всего лишь вопрос времени.;x
EVTDESCunoccupied.5;Наши инвестиции и время, наконец, дали свои плоды, и полноценная колония [Root.GetName] возведена. Теперь это полностью самодостаточная провинция, как это было много лет назад.;x
EVTOPTAunoccupied.5;Отлично;x
EVTDESCunoccupied.6;Печальные новости, колония в земле [From.GetName] изо всех сил пытается прокормить своих жителей. Земли не хватает, чтобы иметь достаточно пищи для всех и, в последнее время, условия ухудшаются и начинается голод. Что нам делать?;x
EVTOPTAunoccupied.6;Отправить помощь;x
EVTOPTBunoccupied.6;Мы не можем позволить себе помощь;x
EVTOPTCunoccupied.6;Мой господин должен помочь нам;x
EVTOPTDunoccupied.6;Какой ужас;x
TOOLTIPEVTOPTBunoccupied.6;Колонизация прекращена и все снова превратилось в руины;x
EVTDESCunoccupied.602;Печальные новости, колония в земле [FromFrom.GetName] пытается изо всех сил прокормить своих людей. Недостаточно земли для урожая, это обострило голод. [From.GetTitledFirstName], [From.GetLordLady] этой колонии, говорит, что [From.GetSheHe] очень нуждается в помощи.;x
EVTOPTBunoccupied.602;Нет, это не моя забота;x
EVTDESCunoccupied.603;После раздумий, [From.GetTitledFirstName] соглашается отправить продовольствие земле [FromFromFrom.GetName] чтобы попытаться облегчить голод.;x
EVTOPTAunoccupied.603;Это временно обеспечит их существование;x
EVTDESCunoccupied.604;[From.GetTitledFirstName] ответил[From.GetEndA], что [From.PrimaryTitle.GetName] не может послать помощь земле [FromFromFrom.GetName] в это время. Вам придется выживать самим.;x
EVTOPTAunoccupied.604;Я не могу гарантировать выживание колонии.;x
opinion_gave_famine_relief;Оказать помощь голодающим;x
opinion_refused_famine_relief;Отказать в помощи голодающим;x
TOOLTIPunoccupied.8;запрос на оказание помощи;x
EVTDESCunoccupied.7;Колонизация в земле [Root.GetName] провалилась, колония не в состоянии защищать и кормить свой народ. Замок и поселение лежат в руинах.;x
EVTDESCunoccupied.7B;Колония в земле [Root.GetName] серьезно пострадала и теперь пытается защитить и накормить своих людей. Заселение займет много лет, чтобы восстановить то, что было когда-то.;x
EVTOPTAunoccupied.7;Какая неудача;x
EVTDESCunoccupied.799;Колонизация в земле [Root.GetName] провалилась, колония не в состоянии защищать и кормить свой народ. Замок и поселение лежат в руинах.;x
colony_famine;Голод;x
colony_slow_economy;Слабая экономика;x
EVTDESCunoccupied.8;Задолго до наших попыток восстановить землю [From.GetName] это был процветающий порт, переполненный кораблями со всего мира. За эти годы гавань превратилась в руины и завалы, непригодные для использования. Наши стюарды настаивают на том, что им нужно больше ресурсов для восстановления гавани, в противном случае торговлю наладить не удастся.;x
EVTOPTAunoccupied.8;Это должно быть выполнено;x
EVTOPTBunoccupied.8;Мы не можем себе этого позволить;x
EVTDESCunoccupied.9;За время запустения дороги вокруг земли [From.GetName] пришли в негодность. Дороги потрескались, смешались с землей, став практически непроходимыми. Нам нужно золото и рабочие для восстановления дорог, в противном случае армии и торговые караваны на смогут добираться до колонии.;x
EVTOPTAunoccupied.9;Я отправлю все необходимое;x
EVTOPTBunoccupied.9;Я не могу выслать золото;x
NATIVE_REVOLT;[Root.County.GetAdjective] Восстание туземцев;x
NATIVE_REVOLT_NOMAD;[Root.County.GetAdjective] Кланы;x
native_revolt;Восстание туземцев;x
native_revolt_desc;Туземцы иногда восстают против колонизаторов, их цель - уничтожить колонию.;x
CB_NAME_NATIVE_REVOLT;Восстание аборигенов в [Title.GetBaseName];x
WAR_NAME_NATIVE_REVOLT;Восстание аборигенов $OTHER_TITLE$;x
TOOLTIPnative_revolt;Колонии §Y[From.GetTitledFirstName]§! в §Y[This.GetName]§! должны быть разрушены и все прилегающие земли должны быть возвращены исконным жителям культуры [This.Culture.GetName]\n;x
EVTDESCunoccupied.10;Колония в земле [Root.GetName] уже давно имеет сложные отношения с местными туземцами. Они утверждают, что их законные земли несправедливо захвачены и взимаемые с них налоги незаконны. Теперь они восстанут, чтобы уничтожить колонию.;x
EVTOPTAunoccupied.10;Я не позволю кучке крестьян загубить наш тяжкий труд!;x
EVTDESCunoccupied.1001;Колония в земле [From.GetName] уже давно имеет сложные отношения с местными туземцами. Они утверждают, что их законные земли несправедливо захвачены и взимаемые с них налоги  незаконны. Теперь они восстанут, чтобы уничтожить колонию.;x
EVTtitleunoccupied.11;Корона Речного Короля;x
EVTDESCunoccupied.11;[From.GetName] когда-то было большим замком, название которого давно потеряно. Это была резиденция Дома Речных королей Маддов, отсюда они правили как Короли Рек и Холмов на протяжении тысячи лет. Так было, пока их династия не была уничтожена со смертью Тристифера V во время Вторжения Андалов, что положило конец владычеству Первых людей над землями Трезубца.\nТолько часть наружной стены и башня остались от замка, когда вы начали восстановление. Тем не менее, в центре того, что когда-то было двором замка, до сих пор лежит большая резная гробница, наполовину скрытая в высокой траве. В гробнице погребен Тристифер, Четвертый своего имени. Под плитой ваши строители нашли его могилу с древним золотом внутри. Более того, они нашли то, что должно быть Короной и регалией Речного Короля!;x
EVTOPTAunoccupied.11;Это знак свыше, я буду Речным Королем!;x
EVTOPTBunoccupied.11;Я обращу его в свою религию, чтобы укрепить мое правление;x
EVTOPTCunoccupied.11;Оставьте, только дом Маддов может претендовать на него;x
EVTDESCunoccupied.12;Давно, [From.GetName] принадлежал Дому Таргариен, которые использовали Летний Замок, как одну из своих резиденций. Это было до 259 года, во времена правления короля Эйгона V, когда в замке вспыхнул большой пожар. Король Эйгон погиб в пламени вместе со своим сыном и наследником, принцем Дунканом Малым и лордом-командующим Королевской Гвардии, сиром Дунканом Высоким. Говорят, что эта трагедия произошла из-за попытки вернуть драконов, раскрыв древние яйца дракона - то, что делали и не смогли многие Таргариены.\n\nСпустя годы, вы восстанавливаете замок, и под толстым слоем пепла рабочие достали Яйцо Дракона! Это может быть то самое яйцо, которое Эйгон пытался вылупить, или, возможно, это может быть реликвией какого-то другого Таргариена...;x
EVTTITLEunoccupied.12;Трагедия в Летнем Замке;x
EVTOPTAunoccupied.12;Я буду хранить его во славу Дома [Root.GetOnlyDynastyName];x
EVTOPTBunoccupied.12;Продать его, мне нужны деньги;x
EVTDESCunoccupied.13;Во время очистки развалин в земле [From.GetName] кто-то нашел старые свитки и принес их вам. Свитки рассказывают о религии [From.Religion.GetName] и прекрасных добродетелях.;x
EVTOPTAunoccupied.13;Пусть их тщательно отреставрируют;x
EVTOPTBunoccupied.13;Я не забочусь о старых бумажках;x
EVTOPTCunoccupied.13;Переписать с ложными словами;x
EVTOPTDunoccupied.12;Тексты этого человека убедительны;x
EVTDESCunoccupied.15;Драконы жили здесь когда-то, еще до Рока Валирии, пока не были уничтожены. Земля [From.GetName] и Северной Валирии не настолько опустошена и в них можно найти много остатков былой цивилизации. В вашей колонии было найдено яйцо дракона!;x
EVTDESCunoccupied.16;Ваши строители откопали интригующий дверной проем в вашей колонии, земле [From.GetName]. Древняя дверь сделана из каменных плит, украшены надписями и резьбой. За ними может находится древнее хранилище, однако, спускаться туда слишком опасно...;x
EVTOPTAunoccupied.16;Я исследую подземелье!;x
EVTOPTBunoccupied.16;Мой [Root.GetMarshalName] может спуститься туда;x
EVTOPTCunoccupied.16;Лучше запечатать его;x
EVTDESCunoccupied.1602;Вы смело решили возглавить экспедицию в хранилище. Внутри ловушки убили и искалечили несколько ваших людей, пока вы не добрались до главной комнаты. Ее вид заставил вас застыть на месте, пол усыпан серебром и золотом, а на стене висит древний Валирийский меч.;x
EVTOPTAunoccupied.1602;Я ошеломлен;x
TOOLTIPunoccupied.1601a;[This.GetTitledFirstName] откапывает древние сокровища...\n;x
TOOLTIPunoccupied.1601b;[This.GetTitledFirstName] попадает в ловушку...\n;x
EVTDESCunoccupied.1603;Многие предупреждали вас об опасности, и они были правы. Ваши люди погибли в первую минуту от различных ловушек. Вы попытались бежать назад, но упали в открывшийся под ногами люк, прямо на шипы и колья...;x
EVTOPTAunoccupied.1603;Вот су...;x
