#CODE;ENGLISH;;;;;;;;;;;;;x
valyrian_steel;Меч из валирийской стали;;;;;;;;;;;;;x
valyrian_steel_desc;Валирийская сталь — сплав особого рода, отличающийся прочностью, создавать который умели только мастера древней Валирии.;;;;;;;;;;;;;x
dawn;Рассвет;;;;;;;;;;;;;x
dawn_desc;Родовой меч Дома Дейнов, по легенде, выкованный из сердца упавшей звезды. Рассвет - гордость Дома Дейнов. Его происхождение теряется в веках, но вполне вероятно, что Дейны владели им протяжении тысяч лет. Лезвие бледное, как молочное стекло, похоже на валирийское и обладает такими же свойствами. В отличие от других Домов, у которых есть свои родовые мечи, Дом Дейнов не передает меч от лорда к лорду. Только достойнейший рыцарь Дома Дейнов может владеть им, причем этот владелец традиционно принимает титул Меч Зари.;;;;;;;;;;;;;x
TOOLTIPclaim_dawn_dishonorable;У вас не должно быть ни одного уровня бесчестья\n;;;;;;;;;;;;;x
EVTDESC250277;Ваш[From.GetEndA] [From.GetRootRelation] [From.GetTitledFirstName] мертв[From.GetEndA]. По законам наследования вы получите [From.GetValyrianSwordHerHis], используйте его с достоинством;;;;;;;;;;;;;x
EVTDESC250277B;[From.GetTitledFirstName], подлый кузнечный мастер, умер. Это значит, что [Root.GetValyrianSwordOwned] будет возвращен вам, вырванный из рук вора. Используйте его с достоинством.;;;;;;;;;;;;;x
EVTOPTA250277;Это должно быть сделано;;;;;;;;;;;;;x
EVTDESC250278;Вражеская армия покинула поле боя. Блуждая по окрестностям в поисках раненных, вы заметили блестящую черную вещь, наполовину похороненную в грязи. Как только вы наклонились и стали откапывать предмет из грязи, тут же порезали пальцы. Вы продолжаете копать и в конечном итоге достаете меч из валирийской стали!;;;;;;;;;;;;;x
EVTOPTA250278;Трофей победителя!;;;;;;;;;;;;;x
EVTDESC250279;Битва бушует вокруг вас, крики боли и гнева слышны со всех сторон. Вы сходитесь с очередным противником, чувствуете в груди свинцовую тяжесть удара и падаете без чувств. Только после окончания битвы вы понимаете, что фамильный меч, который вы так неумело использовали, был утерян в хаосе боя.;;;;;;;;;;;;;x
EVTOPTA250279;Проклятье!;;;;;;;;;;;;;x
EVTDESC251400;Ваш Мастер-над-оружием приносит вам список всех известных владельцев валирийских клинков.;;;;;;;;;;;;;x
EVTOPTA251400;К ним относятся: (смотреть подсказку).;;;;;;;;;;;;;x
show_me_val_swords;Показать владельцев валирийских клинков.;;;;;;;;;;;;;x
