job_chancellor;Мастер-над-законами;;;;;;;;;;;;;x
job_treasurer;Мастер-над-монетой;;;;;;;;;;;;;x
job_marshal;Мастёр-над-оружиём;;;;;;;;;;;;;x
claim_all_rb_desc;Настаивать на своих претензиях;;;;;;;;;;;;;x
title_ser_desc;Теперь этот человек будет известен как Сир.;;;;;;;;;;;;;x
scholar_desc;Этот человек живёт жизнью учёного, изучает книги и переписывается с лучшими умами Вестероса.;;;;;;;;;;;;;x
detached_priest;Невежественный учёный;;;;;;;;;;;;;x
detached_priest_desc;Этот человек получил научное образование, но не проявляет своих талантов выше базового уровня.;;;;;;;;;;;;;x
martial_cleric;Образованный учёный;;;;;;;;;;;;;x
martial_cleric_desc;Этот человек образован и обладает красивым почерком, но не проявляет особого интереса к науке.;;;;;;;;;;;;;x
scholarly_theologian;Мудрый учёный;;;;;;;;;;;;;x
scholarly_theologian_desc;Этот человек мудр, начитан и обладает выдающимися знаниями в области философии, науки и истории.;;;;;;;;;;;;;x
mastermind_theologian;Выдающийся учёный;;;;;;;;;;;;;x
mastermind_theologian_desc;Этот человек всеми признан как выдающийся учёный, он отлично подходит на роль мейстера или наставника.;;;;;;;;;;;;;x
#bastard;Бастард;;;;;;;;;;;;;x
#bastard_desc;Этот человек был рождён вне брака и не был узаконен - и, таким образом, исключён из линии наследования.;;;;;;;;;;;;;x
EXILE_IMPRISONED_INTERACTION_2;[Recipient.GetSheHeCap] будет вынужден[Recipient.GetEndA] отречься от престола в пользу своего наследника. Изгнание вассального правителя без причины рассматривается как акт тирании и увеличивает тиранию на §R20§!.;;;;;;;;;;;;;x
HEIR_TO_TITLE;Наследник $TITLE$;;;;;;;;;;;;;x
EXILE_FROM_PLAYER_LOG;§Y$NAME$§! оставил ваш двор для §Y$TARGET$§!;;;;;;;;;;;;;x
indulgent_wastrel;Некомпетентный стюард;;;;;;;;;;;;;x
indulgent_wastrel_desc;Хотя этого человека и обучали, многого он так и не усвоил.;;;;;;;;;;;;;x
thrifty_clerk;Исполнительный стюард;;;;;;;;;;;;;x
thrifty_clerk_desc;Этот человек - исполнительный, но не очень талантливый управляющий.;;;;;;;;;;;;;x
fortune_builder;Опытный стюард;;;;;;;;;;;;;x
fortune_builder_desc;Этот человек получил хорошее образование и демонстрирует отличное деловое чутьё.;;;;;;;;;;;;;x
