#CODE;ENGLISH;;;;;;;;;;;;;x
warden_north;Хранитель Севера;;;;;;;;;;;;;x
warden_east;Хранитель Востока;;;;;;;;;;;;;x
warden_west;Хранитель Запада;;;;;;;;;;;;;x
warden_south;Хранитель Юга;;;;;;;;;;;;;x
warden_north_desc;Титул Хранителя Севера имеет сугубо военный характер. Король назначает хранителя каждого региона, ответственного за защиту области в случае вторжения. Это позволяет избежать борьбы за командование армией среди высших лордов. В мирное время этот почетный титул традиционно даруется Лордам Севера.;;;;;;;;;;;;;x
warden_east_desc;Титул Хранителя Востока имеет сугубо военный характер. Король назначает хранителя каждого региона, ответственного за защиту области в случае вторжения. Это позволяет избежать борьбы за командование армией среди высших лордов. В мирное время этот почетный титул традиционно даруется Лордам Долины.;;;;;;;;;;;;;x
warden_west_desc;Титул Хранителя Запада имеет сугубо военный характер. Король назначает хранителя каждого региона, ответственного за защиту области в случае вторжения. Это позволяет избежать борьбы за командование армией среди высших лордов. В мирное время этот почетный титул традиционно даруется Лордам Запада.;;;;;;;;;;;;;x
warden_south_desc;Титул Хранителя Простора имеет сугубо военный характер. Король назначает хранителя каждого региона, ответственного за защиту области в случае вторжения. Это позволяет избежать борьбы за командование армией среди высших лордов. В мирное время этот почетный титул традиционно даруется Лордам Простора.;;;;;;;;;;;;;x
WARDEN1DESC;Титул Хранителя не назначен. Это древняя и почетная должность, которая требует назначения.;;;;;;;;;;;;;x
WARDEN1OPTA;Мы должны выбрать Хранителя Севера;;;;;;;;;;;;;x
WARDEN1OPTB;Мы должны выбрать Хранителя Востока;;;;;;;;;;;;;x
WARDEN1OPTC;Мы должны выбрать Хранителя Запада;;;;;;;;;;;;;x
WARDEN1OPTD;Мы должны выбрать Хранителя Юга;;;;;;;;;;;;;x
WARDEN2DESC;Кто должен занять эту должность?;;;;;;;;;;;;;x
WARDEN2OPTA;Лорд Севера должен быть назначен;;;;;;;;;;;;;x
WARDEN2OPTB;Лорд Долины должен быть назначен;;;;;;;;;;;;;x
WARDEN2OPTC;Лорд Запада должен быть назначен;;;;;;;;;;;;;x
WARDEN2OPTD;Лорд Простора должен быть назначен;;;;;;;;;;;;;x
WARDEN2OPTE;Мне не по нраву, я назначу другого Лорда;;;;;;;;;;;;;x
WARDEN2OPTF;Хранитель должен быть подобающим воином;;;;;;;;;;;;;x
WARDEN2OPTG;Я выберу кого-то позднее;;;;;;;;;;;;;x
WARDEN3DESC;Кто из этих Лордов имеет честь быть моим Хранителем?;;;;;;;;;;;;;x
WARDEN3OPTA;Он усердный;;;;;;;;;;;;;x
WARDEN3OPTB;Мне давно нравится этот человек;;;;;;;;;;;;;x
WARDEN3OPTC;Он сделает это;;;;;;;;;;;;;x
WARDEN3OPTD;Он будет чтить меня;;;;;;;;;;;;;x
WARDEN4DESC;Кто из этих замечательных воинов будет моим Хранителем?;;;;;;;;;;;;;x
WARDEN5DESC;[Root.GetFirstNameWithDynasty], я решаю даровать вам титул Хранителя Севера. Вы должны оберегать Север от внешних угроз.\n\nВаш[From.GetEndA] [From.GetTitledFirstName], [From.GetTitle] Андалов, Ройнаров и Первых Людей, Правитель Семи Королевств и Защитник Государства;;;;;;;;;;;;;x
WARDEN6DESC;[Root.GetFirstNameWithDynasty], я решаю даровать вам титул Хранителя Востока. Вы должны оберегать Восток от внешних угроз.\n\nВаш[From.GetEndA] [From.GetTitledFirstName], [From.GetTitle] Андалов, Ройнаров и Первых Людей, Правитель Семи Королевств и Защитник Государства;;;;;;;;;;;;;x
WARDEN7DESC;[Root.GetFirstNameWithDynasty], я решаю даровать вам титул Хранителя Запада. Вы должны оберегать Запад от внешних угроз.\n\nВаш[From.GetEndA] [From.GetTitledFirstName], [From.GetTitle] Андалов, Ройнаров и Первых Людей, Правитель Семи Королевств и Защитник Государства;;;;;;;;;;;;;x
WARDEN8DESC;[Root.GetFirstNameWithDynasty], я решаю даровать вам титул Хранителя Юга. Вы должны оберегать Юг от внешних угроз.\n\nВаш[From.GetEndA] [From.GetTitledFirstName], [From.GetTitle] Андалов, Ройнаров и Первых Людей, Правитель Семи Королевств и Защитник Государства;;;;;;;;;;;;;x
WARDEN5OPTA;Это большая честь;;;;;;;;;;;;;x
WARDEN9DESC;[Root.PrimaryTitle.GetFOA], несмотря на то, что вы - законный владелец титула, [From.GetTitledFirstName] решает не выбирать вас Хранителем региона.;;;;;;;;;;;;;x
WARDEN9OPTA;Но по традиции, он - мой!;;;;;;;;;;;;;x
opinion_warden_north;Хранитель Севера;;;;;;;;;;;;;x
opinion_warden_east;Хранитель Востока;;;;;;;;;;;;;x
opinion_warden_west;Хранитель Запада;;;;;;;;;;;;;x
opinion_warden_south;Хранитель Юга;;;;;;;;;;;;;x
opinion_denied_traditional_title;Отказано традиционному владельцу;;;;;;;;;;;;;x
WARDEN10DESC;Война завершилась и теперь Хранители вновь должны занять должности для защиты государства.;;;;;;;;;;;;;x
WARDEN10OPTA;Они защитят нас;;;;;;;;;;;;;x
TOOLTIPWARDENSELFASSIGN;Вы можете даровать титул Хранителя через почетные титулы;;;;;;;;;;;;;x
TOOLTIPWARDENREGENT;Так как [This.GetTitledFirstName] - ваш регент, вы не можете решать подобные вопросы\n;;;;;;;;;;;;;x
