#CODE;ENGLISH;;;;;;;;;;;;;x
EVTDESCmega_wars.3;[Root.PrimaryTitle.GetName] находится в состоянии войны, мы должны отправить воронов великим лордам, созвав их для защиты короны.;;;;;;;;;;;;;x
EVTOPTAmega_wars.3;Они, конечно, выполнят свои обязательства;;;;;;;;;;;;;x
EVTTOOLTIPmega_wars.7;будет отправлен ворон\n;;;;;;;;;;;;;x
EVTDESCmega_wars.7;[Root.GetTitle] [Root.GetFirstName], королевство находится в состоянии войны, и я, как ваш[From.GetEndA] [From.GetTitle], приказываю собрать мужчин, способных держать оружие, для поддержки моей армии.\n\nС уважением,\n[From.GetFirstName] из Дома [From.GetOnlyDynastyName], [From.GetTitle] земли [From.PrimaryTitle.GetName];;;;;;;;;;;;;x
EVTOPTAmega_wars.7;Мы должны защитить нашего сюзерена;;;;;;;;;;;;;x
EVTOPTBmega_wars.7;Сейчас меня это не заботит;;;;;;;;;;;;;x
EVTOPTCmega_wars.7;Дело восставших — правое;;;;;;;;;;;;;x
EVTDESCmega_wars.30;[Root.GetTitle] [Root.GetFirstNameWithDynasty], я вижу истинные причины вашей борьбы с врагом. Я возьму в руки оружие и встану рядом с вами.\n\nПодпись,\n[From.GetTitle] [From.GetFirstNameWithDynasty];;;;;;;;;;;;;x
EVTOPTAmega_wars.30;Превосходно!;;;;;;;;;;;;;x
EVTDESCmega_wars.32;Презренн[From.GetAyaYy] [From.GetTitle] [From.GetFirstNameWithDynasty] не ответил[From.GetEndA] на мой призыв к оружию и принял[From.GetEndA] сторону мятежников.;;;;;;;;;;;;;x
EVTOPTAmega_wars.32;[From.GetSheHeCap] ответит за последствия;;;;;;;;;;;;;x
opinion_loyal_to_crown;На стороне Короны;;;;;;;;;;;;;x
opinion_dithered;Колеблется;;;;;;;;;;;;;x
opinion_joined_cause;Поддерживает;;;;;;;;;;;;;x
opinion_joined_rebellion;На стороне восстания;;;;;;;;;;;;;x
EVTDESCmega_wars.8;Война между великими домами в государстве [Root.PrimaryTitle.GetName] утихла. По крайней мере пока.;;;;;;;;;;;;;x
EVTDESCmega_wars.9;Война между областями королевства утихает.;;;;;;;;;;;;;x
EVTOPTAmega_wars.8;До следующего раза;;;;;;;;;;;;;x
EVTDESCmega_wars.33;Малодушн[From.GetAyaYy] [From.GetFirstNameWithDynasty] не ответил[From.GetEndA] на мой призыв к оружию.;;;;;;;;;;;;;x
EVTOPTAmega_wars.33;Они ответят!;;;;;;;;;;;;;x
EVTDESCmega_wars.34;[Root.PrimaryTitle.GetFOA], Я буду чтить мою верность и возьмусь за оружие, чтобы защитить государство против восставших. [From.PrimaryTitle.GetName] поможет вам, и войска догонят вас, как только возможно.\n\nПодпись,\n[From.GetTitle] [From.GetFirstNameWithDynasty];;;;;;;;;;;;;x
EVTOPTAmega_wars.34;Превосходно!;;;;;;;;;;;;;x
EVTDESC999900908;Мое время прошло, но мой наследник будет биться с честью в войнах?;;;;;;;;;;;;;x
EVTOPTA999900908;Будем надеяться;;;;;;;;;;;;;x
EVTOPTDmega_wars.7;Настало время освободиться;;;;;;;;;;;;;x
bid_for_independence_CW_desc;Королевство находится в тисках гражданской войны, так §Y$CLAIMANT$§! может попробовать провозгласить независимость от §Y$TARGET$§!;;;;;;;;;;;;;x
EVTTOOLTIPmega_wars.51;Необходимо выбрать - присягнуть на верность отечеству или нет;;;;;;;;;;;;;x
EVTOPTBmega_wars.8;Наша война продолжается;;;;;;;;;;;;;x
EVTDESCmega_wars.12;Наш конфликт исчерпан.;;;;;;;;;;;;;x
EVTOPTAmega_wars.12;До следующего раза;;;;;;;;;;;;;x
EVTDESCmega_wars.51;Мы завоевали независимость! Над нами теперь нет сюзерена!;;;;;;;;;;;;;x
EVTOPTAmega_wars.51;Мы не должны гневить короля;;;;;;;;;;;;;x
EVTOPTBmega_wars.51;Меня не интересуют Железный Трон;;;;;;;;;;;;;x
EVTDESCmega_wars.35;[Root.GetFirstNameWithDynasty], мы уже достаточно терпели владычество вашего Дома над государством [From.PrimaryTitle.GetName], и поэтому отныне я буду властвовать независимо. Мы сразимся за это на поле битвы, если это необходимо.\n\nПодпись,\n[From.GetTitle] [From.GetFirstName] из Дома [From.GetOnlyDynastyName];;;;;;;;;;;;;x
EVTOPTAmega_wars.35;Они будут сожалеть об этом;;;;;;;;;;;;;x
EVTOPTCmega_wars.8;Король все еще борется против меня!;;;;;;;;;;;;;x
EVTDESC999900913;Мы взяли верх в нашей борьбе и свергли сюзерена.;;;;;;;;;;;;;x
EVTOPTA999900913;[Root.Liege.PrimaryTitle.GetName] будет сильнее;;;;;;;;;;;;;x
EVTTOOLTIPmega_wars.52;присягнет на верность после наступления мира;;;;;;;;;;;;;x
EVTDESCmega_wars.52;[Root.Liege.GetTitledFirstNameWithDynastyNoRegnal] одерживает победу нас и требует верности.;;;;;;;;;;;;;x
EVTOPTAmega_wars.52;[Root.Liege.GetSheHe] получит нашу верность;;;;;;;;;;;;;x
EVTDESCmega_wars.50;Мы завоевали независимость и право на титул [Root.GetTitle] земли [Root.PrimaryTitle.GetName] !;;;;;;;;;;;;;x
EVTDESCmega_wars.53;[From.GetTitledFirstName] побеждает в своей борьбе за независимость!;;;;;;;;;;;;;x
EVTOPTAmega_wars.53;Мы готовы немедленно присягнуть на верность [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTBmega_wars.53;Мы присягнем на верность [From.GetHerHim] сразу после наступления мира;;;;;;;;;;;;;x
EVTOPTCmega_wars.53;Мы сами будем управлять собственной судьбой!;;;;;;;;;;;;;x
join_indep_war;Присоединиться к войне за независимость;;;;;;;;;;;;;x
join_indep_war_desc;Присоединиться к восставшему лорду в борьбе за трон;;;;;;;;;;;;;x
EVTDESCmega_wars.54;Соседний лорд присоединился к восставшему лорду в борьбе за независимость. Должны ли мы присоединится?;;;;;;;;;;;;;x
dejure_kingdom_claim_EMP_desc;§Y$TITLE$§! это де-юре вассал §Y$CLAIMANT$§!, что может служить поводом для войны.;;;;;;;;;;;;;x
create_e_north;Объявить себя Королем Севера!;;;;;;;;;;;;;x
