#CODE;ENGLISH;x
wikid;В Поисках Приключений;x
wikid_desc;Этот человек не при дворе и находится в поисках приключений в чужих землях;x
wikiddirewolf;Компонент отображает Лютоволка;x
wikidcrow;Компонент отображает Ворона;x
wikideagle;Компонент отображает Орла;x
wikiddog;Компонент отображает Собаку;x
wikiddirewolf_desc;Компонент отображает Лютоволка;x
wikidcrow_desc;Компонент отображает Ворона;x
wikideagle_desc;Компонент отображает Орла;x
wikiddog_desc;Компонент отображает Собаку;x
CUSTOMTOOLTIPwikidsuccess;Успех;x
CUSTOMTOOLTIPwikidfail;Провал;x
CUSTOMTOOLTIPwikidcompanionloves;Вы нравитесь вашему спутнику из-за этого.;x
CUSTOMTOOLTIPwikidcompanionhates;Вы не нравитесь вашему спутнику из-за этого.;x
CUSTOMTOOLTIPwikidcompanionbetrayinform;Вы относитесь к своим спутникам настолько плохо, что они решили потребовать меч для себя.;x
EVTTITLEwikid.1;Старик с Картой;x
EVTDESCwikid.1;Мой [Root.GetMyPhysicianName] пришел ко мне сегодня, усталый и раздраженный.\n\n'[Root.PrimaryTitle.GetFOA], во дворе какой-то старик хочет говорить с вами. Он утверждает, что владеет картой, за которую вы отдадите целое состояние. Старик, наверное, сумасшедший, но... Он утверждает, что это древняя валирийская карта сокровищ. На ней указано расположение Валирийского Меча!';x
EVTOPTAwikid.1;Давайте послушаем, что он скажет.;x
EVTOPTBwikid.1;Вышвырните прочь старика;x
EVTOPTCwikid.1;Я умру в реальной жизни.;x
EVTTITLEwikid.2;Начало Истории;x
EVTDESCwikid.2;Перед вами предстал изможденный человек лет пятидесяти-шестидесяти, не похожий на вестеросца. Он не выглядит нищим. Вы спрашиваете его о карте. Старик улыбается: '[Root.PrimaryTitle.GetFOA], вы желаете найти Древний Валирийский Меч. У меня есть карта и я могу помочь вам осуществить ваши... амбиции. Но прежде, чем мы продолжим, могу я выпить вина?' Ваш [Root.GetMyLordSpiritualName] явно раздражен таким вопросом и быстро переспрашивает спутника, почему он не может обойтись без вина? Старик смотрит под ноги несколько секунд, затем поворачивается к вам спиной. 'Потому, милорды, что ни одна грандиозная история не начинается с миски салата.';x
EVTDESCwikid.2B;Перед вами предстал изможденный человек лет пятидесяти-шестидесяти, не похожий на жителя ваших земель. Он не выглядит нищим. Вы спрашиваете его о карте. Старик улыбается: '[Root.PrimaryTitle.GetFOA], вы желаете найти Древний Валирийский Меч. У меня есть карта и я могу помочь вам осуществить ваши... амбиции. Но прежде, чем мы продолжим, могу я выпить вина?' Ваш [Root.GetMyLordSpiritualName] явно раздражен таким вопросом и быстро переспрашивает спутника, почему он не может обойтись без вина? Старик смотрит под ноги несколько секунд, затем поворачивается к вам спиной. 'Потому, милорды, что ни одна грандиозная история не начинается с миски салата.';x
EVTDESCwikid.2C;Перед вами предстал изможденный человек лет пятидесяти-шестидесяти. Он похож на валирийца и не выглядит нищим. Вы спрашиваете его о карте. Старик улыбается: '[Root.PrimaryTitle.GetFOA], вы желаете найти Древний Валирийский Меч. У меня есть карта и я могу помочь вам осуществить ваши... амбиции. Но прежде, чем мы продолжим, могу я выпить вина?' Ваш [Root.GetMyLordSpiritualName] явно раздражен таким вопросом и быстро переспрашивает спутника, почему он не может обойтись без вина? Старик смотрит под ноги несколько секунд, затем поворачивается к вам спиной. 'Потому, милорды, что ни одна грандиозная история не начинается с миски салата.';x
EVTOPTAwikid.2;Вы возбудили мое любопытство, и теперь я весь внимание!;x
EVTOPTBwikid.2;Убирайся, нищий! Все с тобой ясно!;x
EVTTITLEwikid.3;Плыть или не плыть;x
EVTDESCwikid.3;Старик говорит вам, что он уверен в расположении древнего Валирийского Меча. Он указывает место на карте. Несомненно, путешествие будет длинным, трудным и очень опасным, покупка этой карты  может принести большую награду.;x
EVTOPTAwikid.3;Я готов отправиться на поиски.;x
TOOLTIPwikid.4;Вы покупаете карту и начинаете подготовку к путешествию;x
EVTOPTBwikid.3;Я не заинтересован.;x
EVTTITLEwikid.4;Братство Дома [Root.GetOnlyDynastyName];x
EVTDESCwikid.4;При подготовке к путешествию, ваш [Root.GetMyLordSpiritualName] предлагает вам взять кого-нибудь с собой в этом путешествии. '[Root.PrimaryTitle.GetFOA], я предложу нескольких людей, которые весьма сведущи в своих умениях, чтобы сопровождать вас в ваших поисках'.;x
EVTOPTAwikid.4;Выдающийся воин;x
EVTOPTBwikid.4;Моряк и штурман;x
EVTOPTCwikid.4;Леди, обученная врачеванию;x
EVTOPTDwikid.4;Старик отправится со мной;x
EVTTITLEwikid.5;Подготовка к путешествию;x
EVTDESCwikid.5;Корабль должен будет преодолеть множество морских лиг до пункта назначения через опасности, которые, несомненно, будут. Поэтому пришло время спуститься в доки, чтобы выбрать судно.;x
EVTOPTAwikid.5;Небольшой транспортный корабль;x
EVTOPTBwikid.5;Надежное грузовое судно;x
EVTOPTCwikid.5;Построить большой военный корабль!;x
EVTOPTDwikid.5;У меня есть [Root.GetShipName], подготовлен и готов к отплытию!;x
TOOLTIPoneyearconstruction;Для постройки Мощного Военного Судна потребуется год;x
EVTTITLEwikid.6;Покойники;x
EVTDESCwikid.6;Корабль пришвартован и полностью готов отправиться на поиски. [wikid_companion.GetFirstName] находится рядом с Вами на мостике и тоже ожидает команды к отплытию.;x
EVTOPTBwikid.6;Вы шутите о морской жизни.;x
EVTTITLEwikid.7;Пиратская жизнь не для меня;x
