#CODE;ENGLISH;x
building_alchemist_guild;Здание Гильдии Алхимиков;x
building_alchemist_guild_desc;В этом здании ведут свою работу пироманты. Здесь выкопаны подвалы для защиты от пожаров и готовятся заклинания для безопасного производства дикого огня.;x
alchemist_guild;Гильдия Алхимиков;x
alchemist_guild_desc;В этой провинции находится Гильдия Алхимиков. Пироманты, состоящие в этой гильдии, изучали магию, позволяющую создавать дикий огонь.;x
making_wildfire;Производство дикого огня;x
making_wildfire_desc;Гильдия Алхимиков в этой провинции ведет производство дикого огня.;x
destroying_wildfire;Утилизация запасов дикого огня;x
destroying_wildfire_desc;Гильдия Алхимиков в этой провинции уничтожает старые и потенциально опасные сосуды с диким огнем.;x
wildfire_1;Мизерный запас дикого огня;x
wildfire_1_desc;Гильдия Алхимиков предоставила нам дикий огонь. Произведено его очень мало.;x
wildfire_2;Небольшие запасы дикого огня;x
wildfire_2_desc;Гильдия Алхимиков предоставила нам дикий огонь. Произведено его не очень много.;x
wildfire_3;Средние запасы дикого огня;x
wildfire_3_desc;Гильдия Алхимиков предоставила нам дикий огонь. Произведено его достаточно.;x
wildfire_4;Большие запасы дикого огня;x
wildfire54_desc;Гильдия алхимиков предоставила нам дикий огонь. Произведено его много. Среди этих запасов немало старой и нестабильной субстанции - одной маленькой искры достаточно, чтобы спалить дотла целую провинцию.;x
wildfire_5;Огромные запасы дикого огня;x
wildfire_5_desc;Гильдия алхимиков предоставила нам дикий огонь. Произведено его  очень много. Среди этих запасов немало старой и нестабильной субстанции - одной маленькой искры достаточно, чтобы спалить дотла целую провинцию.;x
wildfire_outbreak;Взрыв запасов дикого огня;x
wildfire_outbreak_desc;Один небольшой инцидент со старым сосудом дикого огня привел к чудовищному пожару, охватившему всю провинцию.;x
build_alchemist_guild;Основать Гильдию Алхимиков;x
build_alchemist_guild_desc;Огонь - абсолютное оружие. Дом [Root.GetOnlyDynastyName] мог бы извлечь большую выгоду из основания Гильдии Алхимиков в городе [Root.Capital.GetName]. Пироманты Гильдии могут предоставить то, что может помочь нам в войне с любым врагом - дикий огонь.;x
make_wildfire;Начать производство дикого огня;x
make_wildfire_desc;Отдать приказ пиромантам из города [Root.Capital.GetName] начать производство дикого огня.;x
make_wildfire_power_desc;Отдать приказ пиромантам из гильдии начать производство дикого огня.;x
destroy_wildfire;Утилизация дикого огня;x
destroy_wildfire_desc;Отдать приказ пиромантам в городе [Root.Capital.GetName] утилизировать старые и потенциально опасные сосуды с диким огнем.;x
EVTTOOLTIPwildfire.1;Вы собрали у себя величайших пиромантов со всего государства!;x
EVTDESCwildfire.1;Вы собрали у себя множество мудрейших людей, знающих секреты огня и крови. Вы поручили им организовать в регионе [Root.Capital.ProvinceName] Гильдию Алхимиков. Они говорят, что потребуется время для того, чтобы построить здание, в котором будут создавать и хранить дикий огонь.;x
EVTOPTAwildfire.1;Мы дадим вам столько времени, сколько потребуется!;x
EVTDESCwildfire.2;Пироманты основали Гильдию Алхимиков в одной из отдаленных провинций. Они предлагают вам перенести туда столицу.;x
EVTOPTAwildfire.2;Я всегда могу использовать немного дикого огня.;x
EVTOPTBwildfire.2;[Root.Capital.GetName] - не место для этого.;x
EVTOPTCwildfire.2;Я боюсь, [Root.Capital.GetName] не вместит ещё одну Гильдию Алхимиков.;x
EVTDESCwildfire.3;[alchemist_target.GetSocietyRank] [alchemist_target.GetFirstName] предстёт перед вами. - 'Мы уже закончили строительство здания нашей Гильдии, [Root.PrimaryTitle.GetFOA], теперь мы готовы начать производство субстанции.';x
EVTOPTAwildfire.3;Наконец-то!;x
EVTTOOLTIPwildfire.4;Вы собираетесь посетить Гильдию Алхимиков.;x
EVTDESCwildfire.4;Вы решили посетить Гильдию Алхимиков в городе [Root.Capital.GetName], и приказали Его Мудрости предоставить вам больше дикого огня. 'Мы всегда вам рады, [Root.PrimaryTitle.GetFOA],' - говорит он, 'Это займет у нас некоторое время, но мы предоставим вам столько субстанции, сколько сможем.';x
EVTOPTAwildfire.4;Надеюсь, вы меня не подведете.;x
EVTTOOLTIPwildfire.5;Вы собираетесь посетить Гильдию Алхимиков.;x
EVTDESCwildfire.5;Вы решили посетить Гильдию Алхимиков в городе [Root.Capital.GetName], и приказали и уничтожить лишние запасы дикого огня. 'Вы уверены, [Root.PrimaryTitle.GetFOA]?' - говорит он, - 'Субстанция, она... э-э-э... её довольно трудно... хм-м-м... просто нет безопасных способов ее утилизации. Я полагаю, мы МОГЛИ БЫ это сделать, если мы полностью сосредоточимся на этом, но вся процедура может занять многие месяцы...';x
EVTOPTAwildfire.5;Просто сделай это, пиромант.;x
EVTDESCwildfire.6;[alchemist_target.GetSocietyRank] [alchemist_target.GetFirstName] из города [Root.Capital.GetName] сообщил вам, что они произвели огромное количество дикого огня. Этого достаточно для того, чтобы дать нам преимущество в случае осады или сражения.;x
EVTOPTAwildfire.6;Хорошо.;x
EVTDESCwildfire.7;Глава Гильдии Алхимиков из города [Root.Capital.GetName] сообщает вам, что они утилизировали старые и потенциально опасные сосуды с диким огнем. В настоящий момент запасы дикого огня невелики и не представляют серьезной опасности.;x
EVTOPTAwildfire.7;Хорошо.;x
EVTDESCwildfire.9;[Root.Location.GetName] в осаде, вы встретились с Его Мудростью в Гилидии Алхимиков. Мы уже подготовили достаточно сосудов,' - уверяет он вас, - 'одно ваше слово, и все ваши враги обратятся в пепел.';x
EVTDESCwildfire.9B;[Root.Location.GetName] в осаде, вы встретились с вашими последователями из Гильдии Алхимиков. Мы уже подготовили достаточно сосудов,' - уверяют они вас, - 'одно ваше слово, и все ваши враги обратятся в пепел.';x
EVTDESCwildfire.9C;[Root.Location.GetName] в осаде, вы и [siege_alchemist.GetSocietyRank] [siege_alchemist.GetFirstName] из Гильдии Алхимиков встретились в городе [Root.Capital.GetName]. 'Мы уже подготовили достаточно сосудов,' - уверяет [siege_alchemist.GetSheHe] вас, - 'одно ваше слово, и все ваши враги обратятся в пепел.';x
EVTOPTAwildfire.9;Спалить их всех.;x
EVTOPTBwildfire.9;Вообще-то, я не думаю, что это хорошая идея...;x
EVTTOOLTIPwildfire.10;Вы применили дикий огонь против вражеских войск.;x
EVTDESCwildfire.10;Наступила ночь, и пироманты приготовили сосуды с диким огнем для ваших катапульт. По вашему сигналу они начали действовать. Зеленый огонь вспыхнул в ночи, и крики сгорающих заживо врагов эхом донеслись до ваших ушей. Вы видели, как люди бросались в воду, но, к своему ужасу, они понимали, что огонь невозможно потушить.;x
EVTOPTAwildfire.10;...О, [Root.Religion.GetRandomGodName], что же я творю?!;x
EVTOPTBwildfire.10;Да! Жги! ЖГИ!!! Гори, гори ясно!;x
EVTOPTCwildfire.10;Это война, что уж тут поделаешь...;x
EVTTOOLTIPwildfire.11;войска понесли значительный урон.;x
EVTDESCwildfire.11;Вы находились в своем шатре, когда услышали как протрубил рог. Выйдя из шатра, вы с ужасом увидели зеленые огни, падающие с крепостной стены на ваших людей. Дикий огонь достиг земли, и вашу армию поглотило зеленое пламя.;x
EVTOPTAwildfire.11;Отступаем! ОТСТУПАЕМ!!!;x
EVTTOOLTIPwildfire.12;услышит о вашем решении.;x
EVTDESCwildfire.12;К вам прилетел ворон из города [Root.Capital.GetName] с сообщением о том, что [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] использовал[From.GetEndA] часть запасов дикого огня против осаждавшей его вражеской армии.;x
EVTOPTAwildfire.12;[From.GetSheHeCap] мог[From.GetNoneE] сжечь пол-провинции!;x
EVTOPTBwildfire.12;[From.GetSheHeCap] заслуживает похвалы.;x
EVTTOOLTIPwildfire.13;охвачен пламенем!;x
EVTDESCwildfire.13;ДИКИЙ ОГОНЬ!' - крикнул кто-то из солдат. Катапульты на стенах обрушили на вашу армию дождь зеленого пламени. Испугавшись яркого света, лошадь встала на дыбы и сбросила вас на землю. Вы попытались встать на ноги и тут с ужасом увидели, что ваша рука охвачена огнем. Вы бросились на землю и принялись катиться по ней, отчаянно пытаясь потушить пламя.;x
EVTOPTAwildfire.13;Потушите его! Потушите его!;x
use_wildfire_siege_offensive;Использовать Дикий огонь в осаде;x
use_wildfire_siege_offensive_desc;Дикий огонь может использоваться пиромантами в наступательных осадах;x
TOOLTIPuse_wildfire_siege_offensiveLEADER;[Root.GetTitledFirstNameNoRegnal] является лидером в наступательной осаде;x
TOOLTIPuse_wildfire_siege_offensiveWILDFIRE;Дикий огонь доступен для транспортировки в город [Root.Capital.GetName];x
TOOLTIPuse_wildfire_siege_offensiveTRANSPORTING;[Root.GetTitledFirstNameNoRegnal] еще НЕ отправляет дикий огонь в регион [Root.Location.GetName];x
TOOLTIPwildfire.14;Дикий огонь готов...;x
EVTDESCwildfire.14;Вы встретились с одним из ваших пиромантов в своем шатре и спросили его, можно ли применить дикий огонь против стен города [Root.Location.GetName]. 'Конечно, - ответил он. - Субстанция вполне может расплавить даже камень. Правда, перевезти её сюда будет сложно и опасно. Это может занять около месяца...';x
EVTDESCwildfire.14B;Вы встретились со своими пиромантами в своем шатре и спросили его, можно ли применить дикий огонь против стен города [Root.Location.GetName]. 'Конечно, - говорит один из них, - 'Субстанция вполне может расплавить даже камень. Правда, перевезти её сюда будет сложно и опасно. Это может занять около месяца...';x
