#CODE;ENGLISH;x
emperor_job_castellan_free_folk;Высший Старейшина;x
emperor_job_chancellor_free_folk;Великий мудрец;x
job_castellan_free_folk;Старейшина;x
job_marshal_free_folk;Первый налетчик;x
job_chancellor_free_folk;Хранитель мудрости;x
job_treasurer_free_folk;Первый торговец;x
#job_physician_free_folk;Зеленовидец;x
job_physician_free_folk;Знахарь;x
LP_job_castellan_free_folk;Старейшина;x
LP_job_marshal_free_folk;Первый налетчик;x
LP_job_chancellor_free_folk;Хранитель мудрости;x
LP_job_treasurer_free_folk;Первый торговец;x
#LP_job_physician_free_folk;Зеленовидец;x
LP_job_physician_free_folk;Знахарь;x
city_job_castellan_free_folk;Старейшина;x
city_job_marshal_free_folk;Первый налетчик;x
city_job_chancellor_free_folk;Хранитель мудрости;x
city_job_treasurer_free_folk;Первый торговец;x
#city_job_physician_free_folk;Зеленовидец;x
city_job_physician_free_folk;Знахарь;x
emperor_job_castellan_thenn;Высший Старейшина;x
emperor_job_chancellor_thenn;Великий мудрец;x
job_castellan_thenn;Старейшина;x
job_marshal_thenn;Первый налетчик;x
job_chancellor_thenn;Хранитель мудрости;x
job_treasurer_thenn;Первый торговец;x
#job_physician_thenn;Зеленовидец;x
job_physician_thenn;Знахарь;x
LP_job_castellan_thenn;Старейшина;x
LP_job_marshal_thenn;Первый налетчик;x
LP_job_chancellor_thenn;Хранитель мудрости;x
LP_job_treasurer_thenn;Первый торговец;x
#LP_job_physician_thenn;Зеленовидец;x
LP_job_physician_thenn;Знахарь;x
city_job_castellan_thenn;Старейшина;x
city_job_marshal_thenn;Первый налетчик;x
city_job_chancellor_thenn;Хранитель мудрости;x
city_job_treasurer_thenn;Первый торговец;x
#city_job_physician_thenn;Зеленовидец;x
city_job_physician_thenn;Знахарь;x
wildling_desc;Этот человек — одичалый, живущий за Стеной. Одичалые — общее название для всех народов, проживающих в диких землях к северу от Стены. Сами они называют себя иначе — вольный народ.;x
wildling_invasion_desc;За стеной вы получаете только то, что заслужили. Если не можете защищать свои земли - не имеете права управлять ими.;x
create_k_beyond_wall;Стать Королем-За-Стеной;x
create_k_beyond_wall_desc;Король-за-Стеной - так называют того, кто объединяет под своим руководством большую часть вольного народа. Титул Короля-за-Стеной не передается по наследству и не придает какого-то особого статуса семье короля. Каждый новый король должен заработать титул сам.;x
employ_greenseer;Похитить Зеленовидца;x
employ_greenseer_desc;Ваши люди обыскивают соседние деревни в поисках зеленовидца, чтобы тот служил вам и вашим людям.;x
wildling_horde;Вождь Одичалых;x
wildling_horde_desc;Одичалые не приемлют правления с юга. Они смеются над понятиями крови и правом рождения. Но они с радостью сплотятся вокруг сильного лидера, формируя армию мужчин и женщин, в отличии от Семи Королевств.;x
wildling_horde_1;Вождь Одичалых;x
wildling_horde_1_desc;§GУровень 1§!, §Y100§! престижа\nОдичалые не приемлют правления с юга. Они смеются над понятиями крови и правом рождения. Но они с радостью сплотятся вокруг сильного лидера, формируя армию мужчин и женщин, в отличии от Семи Королевств.;x
wildling_horde_2;Вождь Одичалых;x
wildling_horde_2_desc;§GУровень 2§!, §Y200§! престижа\nОдичалые не приемлют правления с юга. Они смеются над понятиями крови и правом рождения. Но они с радостью сплотятся вокруг сильного лидера, формируя армию мужчин и женщин, в отличии от Семи Королевств.;x
wildling_horde_3;Вождь Одичалых;x
wildling_horde_3_desc;§GУровень 3§!, §Y300§! престижа\nОдичалые не приемлют правления с юга. Они смеются над понятиями крови и правом рождения. Но они с радостью сплотятся вокруг сильного лидера, формируя армию мужчин и женщин, в отличии от Семи Королевств.;x
wildling_horde_4;Вождь Одичалых;x
wildling_horde_4_desc;§GУровень 4§!, §Y400§! престижа\nОдичалые не приемлют правления с юга. Они смеются над понятиями крови и правом рождения. Но они с радостью сплотятся вокруг сильного лидера, формируя армию мужчин и женщин, в отличии от Семи Королевств.;x
wildling_horde_5;Вождь Одичалых;x
wildling_horde_5_desc;§GУровень 5§!, §Y500§! престижа\nОдичалые не приемлют правления с юга. Они смеются над понятиями крови и правом рождения. Но они с радостью сплотятся вокруг сильного лидера, формируя армию мужчин и женщин, в отличии от Семи Королевств.;x
