#CODE;ENGLISH;x
mesoamerican;Закатные Земли;x
nahuatl;Закатная;x
aztec;Закатные Боги;x
e_mexikha;Империя Заката;x
e_mexikha_adj;Закатн;x
emperor_nahuatl;Импетатор;x
emperor_female_nahuatl;Императрица;x
king_nahuatl;Король;x
king_female_nahuatl;Королева;x
duke_nahuatl;Верховный Лорд;x
duke_female_nahuatl;Верховная Леди;x
count_nahuatl;Лорд;x
count_female_nahuatl;Леди;x
baron_nahuatl;Господин;x
baron_female_nahuatl;Госпожа;x
GOD_HUITZILOPOCHTLI;Уицилопочтли;x
GOD_XIPE_TOTEC;Шипе-Тотек;x
GOD_TEZCATLIPOCA;Тескатлипока;x
GOD_QUETZALCOATL;Кетцалькоатль;x
GOD_MICTLANTECUHTLI;Миктлантекутли;x
GOD_TLALOC;Тлалок;x
#job_chancellor_aztec;Сиуакоатль;x
#job_marshal_aztec;Тлакатэккатль;x
#job_treasurer_aztec;Петлакалькатль;x
#job_spymaster_aztec;Тилланкальки;x
job_spiritual_aztec;Саагун;x
ISNT_TRIBAL_TYPE_TITLE;Не племенной;x
IS_TRIBAL_TYPE_TITLE;Племенной;x
HAS_HORDE_CULTURE;Относится к ордынской культуре;x
HAS_NOT_HORDE_CULTURE;Не относится к ордынской культуре;x
#DEATH_SACRIFICED;был принесен в жертву языческим богам персонажем $KILLER$;x
DEATH_SACRIFICED_NO_KILLER;[This.GetSheHe] умер[This.GetNoneE], послужив жертвой языческим богам;x
RETTYPE_CUL_NAHUA;Воины-ягуары;x
EVTDESC_SSI_001;Cегодня странно выглядящие чужаки на экзотических кораблях причалили к берегу и попросили аудиенции. С собой они привезли чудесные подарки и товары: бусы, жемчуг и разноцветные перья. Их язык не был известен никому из придворных, но похоже они хотели получить землю в обмен на свои побрякушки!;x
EVTOPTA_SSI_001;У меня плохое предчувствие...;x
EVTNAME_SSI_002;Hезнакомцы из Заморья;x
EVTDESC_SSI_002;Прошёл слух об экзотических чужаках на странных кораблях, причаливающих вдоль Закатного моря, говорящих на неизвестном языке и пытающихся купить землю за стеклянные бусы, разноцветные перья и золото. Когда им отказали, они стали угрожать местным правителям страшными проклятьями и мощью великого императора из-за Закатного моря.;x
EVTOPTA_SSI_002;Ха! Детские фантазии.;x
EVTDESC_SSI_002B;Прошёл слух об экзотических чужаках на странных кораблях, причаливающих вдоль Закатного моря, говорящих на неизвестном языке и пытающихся купить землю за стеклянные бусы, разноцветные перья и золото. Когда им отказали, они стали угрожать местным правителям страшными проклятьями и мощью великого волчьего короля из-за Закатного моря.;x
EVTDESC_SSI_003;Тысячи грозных кораблей достигли берегов земли [Root.GetName], высаживая бесчисленные орды свирепых воинов в странном облачении. Их боевые крики слышны за мили!;x
EVTOPTA_SSI_003;Это Конец Света!;x
EVTNAME_SSI_004;Bторжение с Заката!;x
EVTDESC_SSI_004;Тысячи экзотических кораблей достигли области [From.SeaZone.GetName], извергая бесчисленные орды улюлюкающих воинов в странных доспехах из перьев и костей. Эти захватчики, прибывшие с закатной стороны, поклоняются демоническим богам, принося в жертву население целых городов на алтаре возведённом на вершине  похожего на пирамиду деревянного строения. Они вырезают сердца своих жертв, осторожно сдирая с них кожу. Затем их дьявольские жрецы надевают и носят эту кожу несколько дней...;x
EVTOPTA_SSI_004;[This.Religion.GetRandomGodNameCap], помилуй!;x
EVTDESC_SSI_005;Лес парусов появился на горизонте - страшное бедствие в лице Закатников достигло наших берегов!;x
EVTOPTA_SSI_005;Седлайте моего коня!;x
EVTNAME_SSI_006;Bторжение с Запада!;x
EVTDESC_SSI_006;Ещё один огромный флот кровожадных Закатников появился в области [From.SeaZone.GetName]. Толпа бежит в страхе от жертвенного алтаря заморских демонических богов. Ужасный владыка захватчиков дал обет покорить весь мир во имя Уицилопочтли, Закатного бога солнца и войны.;x
EVTOPTA_SSI_006;[This.Religion.GetRandomGodNameCap], помилуй!;x
EVTNAME_SSI_030;Hовости из-за моря;x
EVTDESC_SSI_030;До наших берегов дошли слухи о титанической борьбе, которая ведётся за Великим морем на родине Закатников. Сами Закатники редко обсуждают это с чужаками, но, судя по всему, они на какое-то время погрязли в смертельной войне с Тавантинсуйи, великой империей за горами и джунглями далеко к югу от Теночтитлана. Ими правит Сапа, который якобы является прямым потомком некоего бога солнца.\n\nЕсли верить рассказам, воины Сапы вооружены таинственными громовыми жезлами, способными сразить человека с большого расстояния. Закатникам только недавно удалось остановить их наступление, во многом благодаря воинам на лошадях, завезенных из Вестероса.;x
EVTOPTA_SSI_030;Громовые жезлы? Боги солнца? У меня нет времени на этот бред.;x
EVTNAME_SSI_031;Падение Великих Равнин;x
EVTDESC_SSI_031;Закатники перестали бояться лошадей и увезли нескольких коннозаводчиков на свою родину в долину Ануак. У нас очень мало вестей из-за моря, но собрав информацию по крупицам, ясно одно - закатники с большим успехом использовали свои новые конные полки, чтобы окончательно усмирить своих упрямых соперников на северных равнинах.\n\nВладения Грасс и народы Шанчин уже включены в состав их растущей империи, и теперь армия закатников движется к последнему свободному городу-государству Илумминара на Закатном побережье. Это только вопрос времени, когда весь континент окажется под управлением великого города Теночтитлан.;x
EVTOPTA_SSI_031;Такое не должно случиться здесь!;x
EVTNAME_SSI_035;Pастения из далёкого запада;x
EVTDESC_SSI_035;Война и болезни, это не всё, что Закатники привезли с собой из Семанауак, их далёкой родины. Их рацион включает несколько странных растений, предположительно съедобных, и сейчас многие из них используются, как деликатес в Вестеросе и Вольных городах.\nПоторговав с закатными купцами, предприимчивые крестьяне стали засеивать свои поля семенами растения, называемого картофель, а в это время другие экспериментировали с томатами и кукурузой. Многих дворян очаровал чудесный напиток под названием "Чоколатль", сделанным из бобов дерева Какао.;x
EVTOPTA_SSI_035;Минутная прихоть. Это никогда не станет популярным.;x
EVTDESC_SSI_040;Bся Исландия сейчас - колония Закатной империи. Викинги, приплывшие в Винландию, встретили местное население, которое предостерегало их о могущественной империи на юге, но эти предостережения не были услышаны. Теперь же закатная знать, попавшая в немилость к императору, была назначена управлять этим холодным и бесплодным островом;x
EVTOPTA_SSI_040;Если бы кто-нибудь умел слушать...;x
EVTDESC_SSI_041;Bероломные закатники теперь полностью контролируют Ирландию. По случаю успеха тысячи ирландцев принесены в жертву. Их новый сюзерен теперь воздвигает храмы и пирамиды, в которых в будущем будут проводиться ритуалы в угоду их богам.;x
EVTOPTA_SSI_041;Нужно сбросить их обратно в море!;x
EVTDESC_SSI_042;Bся Британия от Северо-Шотландского нагорья до Белых скал Дувра на юге, включена в состав великой ацтекской нации. Новая процветающая колония станет жемчужиной колониальной империи ацтеков, и плацдармом для будущих атак на континентальную Европу.;x
EVTOPTA_SSI_042;Гнусные империалисты!;x
EVTDESC_SSI_043;Закатники завладели Лондоном. По случаю успеха пять девственниц и пятьдесят священников принесены в жертву, и теперь закатный жрец воздвигает большую церемониальную пирамиду на берегу Темзы.;x
EVTOPTA_SSI_043;*В замешательстве*.;x
EVTDESC_SSI_044;Закатное иго распространяется... Париж перешёл под их управление и теперь Сена стала красной от крови сотен несчастных душ, которые были принесены в жертву, чтобы удовлетворить демонов маскирующихся под богов. Император лично разослал награды из Теночтитлана всем командирам причастным к этому.;x
EVTDESC_SSI_045;Aрмия закатников достигла Рима, и теперь город включён в их империю. Ужасные крики раздаются из Апостольского дворца в момент осквернения человеческой жертвой, в то время, как закатные командиры изучают древние римские памятники, сетуя на то, что у них нет шанса проявить себя в бою против такого достойного противника.;x
EVTDESC_SSI_046;Bеликий город Константинополь пал перед закатниками. Великая столица произвела впечатление на воинов, хотя она и не может конкурировать с великолепием Теночтитлана. Закатные жрецы уже подготовили план сноса собора Святой Софии и возведения пирамиды на её месте.;x
EVTDESC_SSI_047;Kордова, город, который иногда называют "Жемчужиной Мира", был захвачен закатниками и не впечатлил их. Он выглядел бедно в сравнении с великими имперскими метрополиями долин Мехико и Юкатана. Они принесли в жертву сотни жителей Кордовы за их бесстыдную наглость.;x
EVTDESC_SSI_048;Закатники достигли Каира и нашли Великие пирамиды Гизы непохожими на всё то, что они видели ранее. Они превосходят даже самые большие пирамиды в Семанауаке. Верховный жрец Закатников провозгласил окружающие земли священными за пределами Теночтитлана.;x
EVTDESC_SSI_060;Закатные завоеватели решили, что [From.GetTitledName] послужит новой жертвой их демоническим богам! Они принесли [From.GetHersHis] на однин из своих алтарей, на котором их мерзкий жрец вскрыл [From.GetHersHis] с помощью церемониального кинжала. Потом он вырвал всё ещё бьющееся сердце, поздравляя собравшихся вокруг воинов.;x
EVTOPTA_SSI_060;Да упокоится [From.GetHersHis] несчастная душа.;x
EVTNAME_SSI_105;Закатники терпят поражение;x
EVTDESC_SSI_105;Oгромная орда Закатников, которая пересекла океан в своём безумном стремлении завоевать всё сотворённое человеком, отброшена назад в море. Их колонии  потеряны, а армии побеждены. Жалкие остатки войск уплыли назад на родину в Семанауак, зализывать свои раны и сообщить императору о позорном поражении.\nВозможно придёт время, когда их собственные берега навестят флоты из Старого Света, и когда это произойдёт, их бывшие жертвы воздадут долги сполна.;x
EVTOPTA_SSI_105;Возмездие придёт.;x
EVTNAME_SSI_070;Закатники распространяют болезнь;x
EVTDESC_SSI_070;Hет конца бедам, которые принесли закатники этой земле. Странная эпидемия из захваченных территорий начала распространяться по всему Вестеросу. Симптомы схожи с ужасной оспой, но эта болезнь кажется ещё более смертоносной. Специалисты в области медицины прозвали её "Сифилис" и все попытки её лечения до сих пор не увенчались успехом.\nТеперь даже те, кто находятся за пределами досягаемости закатной армии, остаются в опасности, так как болезнь распространяется беженцами и купцами, идущими через Вестерос и Вольные города нескончаемым потоком.;x
EVTOPTA_SSI_070;Это наказание за наши грехи.;x
EVTNAME_SSI_071;Oспа распространяется через море.;x
EVTDESC_SSI_071;Kажется, что трофеи и рабы это не всё, что закатные моряки привезли назад с собой. По Вестеросу пошли слухи рассказывающие о пандемии оспы, захлестнувшей Закатную империю и её соседей.\nУлицы и переулки Теночтитлана, как говорят, усыпаны трупами и умирающими. Император Заката приказал немедленно казнить всех рабов и заключённых, захваченных на великом восточном континенте в попытке остановить распространение болезни.;x
EVTOPTA_SSI_071;Пожалуй, в этом мире ещё осталась справедливость.;x
has_aztec_disease_death;от сифилиса;x
syphilis;Сифилис;x
has_aztec_disease;Болеет сифилисом;x
has_aztec_disease_desc;Эт[This.GetEtaEtot] [This.GetAgedPerson] страдает от смертельной формы сифилиса, привезённого закатными захватчиками.;x
AZTEC_DISEASE_INFO;Этот округ подвергся вспышке смертельной формы сифилиса, привезённого закатниками.;x
